Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatX,QuatY,QuatZ,QuatW,DeviceName
30654,00:02:17,IMU1,0.00,0.00,-0.00,0.23,-6.47,7.39,12.19,9.25,-17.31,-0.19,-0.29,0.76,0.54,Left_Leg
30654,00:02:17,IMU2,0.00,0.00,0.00,1.88,-5.36,8.16,-6.19,14.19,-20.38,-0.29,-0.06,-0.12,0.95,Left_Leg
30654,00:02:17,IMU3,0.00,0.01,-0.01,-0.23,0.04,9.65,14.38,-11.50,-21.31,-0.01,0.01,0.88,0.47,Left_Leg
30653,00:02:17,IMU1,0.00,0.00,-0.00,0.23,-6.47,7.39,12.19,9.25,-17.31,-0.19,-0.29,0.76,0.54,Left_Leg
30653,00:02:17,IMU2,0.00,0.00,0.00,1.88,-5.36,8.16,-6.19,14.19,-20.38,-0.29,-0.06,-0.12,0.95,Left_Leg
30653,00:02:17,IMU3,0.00,0.01,-0.01,-0.23,0.04,9.65,14.38,-11.50,-21.31,-0.01,0.01,0.88,0.47,Left_Leg
30655,00:02:17,IMU1,0.01,-0.00,0.00,0.23,-6.47,7.39,12.19,9.25,-17.31,-0.19,-0.29,0.76,0.54,Left_Leg
30655,00:02:17,IMU2,0.00,0.00,0.00,1.88,-5.36,8.16,-6.19,14.19,-20.38,-0.29,-0.06,-0.12,0.95,Left_Leg
30655,00:02:17,IMU3,0.00,0.01,-0.01,-0.23,0.04,9.58,14.38,-11.50,-21.31,-0.01,0.01,0.88,0.47,Left_Leg
30656,00:02:17,IMU1,0.01,-0.00,0.00,0.23,-6.47,7.39,12.19,9.25,-17.31,-0.19,-0.29,0.76,0.54,Left_Leg
30656,00:02:17,IMU2,0.00,0.00,0.00,1.88,-5.36,8.16,-6.19,14.19,-20.38,-0.29,-0.06,-0.12,0.95,Left_Leg
30656,00:02:17,IMU3,-0.00,0.00,0.00,-0.23,0.04,9.58,14.38,-11.50,-21.31,-0.01,0.01,0.88,0.47,Left_Leg
30657,00:02:17,IMU1,0.00,0.00,-0.00,0.23,-6.47,7.39,12.19,9.25,-17.31,-0.19,-0.29,0.76,0.54,Left_Leg
30657,00:02:17,IMU2,0.00,0.00,0.00,1.88,-5.36,8.16,-6.19,14.19,-20.38,-0.29,-0.06,-0.12,0.95,Left_Leg
30657,00:02:17,IMU3,-0.00,0.00,0.00,-0.23,0.04,9.58,12.94,-11.88,-21.31,-0.01,0.01,0.88,0.47,Left_Leg
30658,00:02:17,IMU1,0.00,0.00,-0.00,0.23,-6.47,7.39,12.19,9.25,-17.31,-0.19,-0.29,0.76,0.54,Left_Leg
30658,00:02:17,IMU2,0.00,0.00,0.00,1.88,-5.36,8.16,-6.19,14.19,-20.38,-0.29,-0.06,-0.12,0.95,Left_Leg
30658,00:02:17,IMU3,-0.00,0.00,0.00,-0.23,0.04,9.58,12.94,-11.88,-21.31,-0.01,0.01,0.88,0.47,Left_Leg
30659,00:02:17,IMU1,0.00,0.00,-0.00,0.23,-6.44,7.39,12.19,9.25,-17.31,-0.19,-0.29,0.76,0.54,Left_Leg
30659,00:02:17,IMU2,0.00,0.00,0.00,1.88,-5.36,8.16,-6.19,14.19,-20.38,-0.29,-0.06,-0.12,0.95,Left_Leg
30659,00:02:17,IMU3,0.01,0.00,0.00,-0.23,0.04,9.58,12.94,-11.88,-21.31,-0.01,0.01,0.88,0.47,Left_Leg
30660,00:02:17,IMU1,0.00,0.00,0.00,0.23,-6.44,7.39,12.19,9.25,-17.31,-0.19,-0.29,0.76,0.54,Left_Leg
30660,00:02:17,IMU2,0.00,0.00,0.00,1.88,-5.36,8.16,-6.19,14.19,-20.38,-0.29,-0.06,-0.12,0.95,Left_Leg
30660,00:02:17,IMU3,0.01,0.00,0.00,-0.23,0.04,9.58,12.94,-11.88,-21.31,-0.01,0.01,0.88,0.47,Left_Leg
30661,00:02:17,IMU1,0.00,0.00,0.00,0.23,-6.44,7.39,11.06,11.06,-19.31,-0.19,-0.29,0.76,0.54,Left_Leg
30661,00:02:17,IMU2,0.00,0.00,0.00,1.88,-5.36,8.16,-6.19,14.19,-20.38,-0.29,-0.06,-0.12,0.95,Left_Leg
30661,00:02:17,IMU3,0.00,-0.00,0.00,-0.23,0.04,9.58,12.94,-11.88,-21.31,-0.01,0.01,0.88,0.47,Left_Leg
30662,00:02:17,IMU1,0.00,0.00,0.00,0.23,-6.44,7.39,11.06,11.06,-19.31,-0.19,-0.29,0.76,0.54,Left_Leg
30662,00:02:17,IMU2,0.00,0.00,0.00,1.88,-5.36,8.16,-6.19,14.19,-20.38,-0.29,-0.06,-0.12,0.95,Left_Leg
30662,00:02:17,IMU3,0.00,-0.00,0.00,-0.23,0.04,9.58,12.94,-11.88,-21.31,-0.01,0.01,0.88,0.47,Left_Leg
30663,00:02:17,IMU1,-0.01,-0.00,0.00,0.23,-6.44,7.39,11.06,11.06,-19.31,-0.19,-0.29,0.76,0.54,Left_Leg
30663,00:02:17,IMU2,0.00,0.00,0.00,1.84,-5.40,8.24,-6.19,14.19,-20.38,-0.29,-0.06,-0.12,0.95,Left_Leg
30663,00:02:17,IMU3,-0.00,-0.00,-0.00,-0.23,0.04,9.58,12.94,-11.88,-21.31,-0.01,0.01,0.88,0.47,Left_Leg
30664,00:02:17,IMU1,-0.01,-0.00,0.00,0.23,-6.44,7.39,11.06,11.06,-19.31,-0.19,-0.29,0.76,0.54,Left_Leg
30664,00:02:17,IMU2,0.00,0.00,0.00,1.84,-5.40,8.24,-5.44,15.62,-19.19,-0.29,-0.06,-0.12,0.95,Left_Leg
30664,00:02:17,IMU3,-0.00,-0.00,-0.00,-0.23,0.04,9.58,12.94,-11.88,-21.31,-0.01,0.01,0.88,0.47,Left_Leg
30665,00:02:17,IMU1,-0.01,-0.00,0.00,0.19,-6.40,7.47,11.06,11.06,-19.31,-0.19,-0.29,0.76,0.54,Left_Leg
30665,00:02:17,IMU2,0.00,0.00,0.00,1.84,-5.40,8.24,-5.44,15.62,-19.19,-0.29,-0.06,-0.12,0.95,Left_Leg
30665,00:02:17,IMU3,-0.00,-0.00,0.00,-0.23,0.04,9.58,12.94,-11.88,-21.31,-0.01,0.01,0.88,0.47,Left_Leg
30666,00:02:17,IMU1,-0.01,-0.00,0.00,0.19,-6.40,7.47,11.81,9.25,-18.12,-0.19,-0.29,0.76,0.54,Left_Leg
30666,00:02:17,IMU2,0.00,0.00,0.00,1.84,-5.40,8.24,-5.44,15.62,-19.19,-0.29,-0.06,-0.12,0.95,Left_Leg
30666,00:02:17,IMU3,-0.00,-0.00,0.00,-0.23,0.04,9.58,12.94,-11.88,-21.31,-0.01,0.01,0.88,0.47,Left_Leg
30667,00:02:17,IMU1,0.00,0.01,-0.00,0.19,-6.40,7.47,11.81,9.25,-18.12,-0.19,-0.29,0.76,0.54,Left_Leg
30667,00:02:17,IMU2,0.00,0.00,0.00,1.84,-5.40,8.24,-5.44,15.62,-19.19,-0.29,-0.06,-0.12,0.95,Left_Leg
30667,00:02:17,IMU3,-0.00,-0.00,0.00,-0.27,0.04,9.58,12.94,-11.88,-21.31,-0.01,0.01,0.88,0.47,Left_Leg
30668,00:02:17,IMU1,0.00,0.01,-0.00,0.19,-6.40,7.47,11.81,9.25,-18.12,-0.19,-0.29,0.76,0.54,Left_Leg
30668,00:02:17,IMU2,0.00,0.00,0.00,1.84,-5.40,8.24,-5.44,15.62,-19.19,-0.29,-0.06,-0.12,0.95,Left_Leg
30668,00:02:17,IMU3,0.00,0.00,0.00,-0.27,0.04,9.58,12.94,-11.88,-21.31,-0.01,0.01,0.88,0.47,Left_Leg
30669,00:02:17,IMU1,0.01,0.00,-0.01,0.19,-6.40,7.47,11.81,9.25,-18.12,-0.19,-0.29,0.76,0.54,Left_Leg
30669,00:02:17,IMU2,0.00,0.00,0.00,1.88,-5.40,8.20,-5.44,15.62,-19.19,-0.29,-0.06,-0.12,0.95,Left_Leg
30669,00:02:17,IMU3,0.00,0.00,0.00,-0.27,0.04,9.58,14.38,-11.88,-22.50,-0.01,0.01,0.88,0.47,Left_Leg
30670,00:02:17,IMU1,0.01,0.00,-0.01,0.19,-6.40,7.47,11.81,9.25,-18.12,-0.19,-0.29,0.76,0.54,Left_Leg
30670,00:02:17,IMU2,0.00,0.00,0.00,1.88,-5.40,8.20,-6.50,16.00,-19.19,-0.29,-0.06,-0.12,0.95,Left_Leg
30670,00:02:17,IMU3,0.00,0.00,0.00,-0.27,0.04,9.58,14.38,-11.88,-22.50,-0.01,0.01,0.88,0.47,Left_Leg
30671,00:02:17,IMU1,0.01,0.00,-0.01,0.19,-6.44,7.43,11.81,9.25,-18.12,-0.19,-0.29,0.76,0.54,Left_Leg
30671,00:02:17,IMU2,0.00,0.00,0.00,1.88,-5.40,8.20,-6.50,16.00,-19.19,-0.29,-0.06,-0.12,0.95,Left_Leg
30671,00:02:17,IMU3,0.00,0.00,0.00,-0.27,0.04,9.58,14.38,-11.88,-22.50,-0.01,0.01,0.88,0.47,Left_Leg
30672,00:02:17,IMU1,-0.00,0.00,-0.00,0.19,-6.44,7.43,11.81,9.25,-18.12,-0.19,-0.29,0.76,0.54,Left_Leg
30672,00:02:17,IMU2,0.00,0.00,0.00,1.88,-5.40,8.20,-6.50,16.00,-19.19,-0.29,-0.06,-0.12,0.95,Left_Leg
30672,00:02:17,IMU3,0.00,0.00,0.00,-0.27,0.04,9.58,14.38,-11.88,-22.50,-0.01,0.01,0.88,0.47,Left_Leg
30673,00:02:17,IMU1,-0.00,0.00,-0.00,0.19,-6.44,7.43,12.56,11.81,-19.31,-0.19,-0.29,0.76,0.54,Left_Leg
30673,00:02:17,IMU2,0.00,0.00,0.00,1.88,-5.40,8.20,-6.50,16.00,-19.19,-0.29,-0.06,-0.12,0.95,Left_Leg
30673,00:02:17,IMU3,0.01,-0.00,0.00,-0.27,0.04,9.58,14.38,-11.88,-22.50,-0.01,0.01,0.88,0.47,Left_Leg
30674,00:02:17,IMU1,-0.00,0.00,-0.00,0.19,-6.44,7.43,12.56,11.81,-19.31,-0.19,-0.29,0.76,0.54,Left_Leg
30674,00:02:17,IMU2,0.00,0.00,0.00,1.88,-5.40,8.20,-6.50,16.00,-19.19,-0.29,-0.06,-0.12,0.95,Left_Leg
30674,00:02:17,IMU3,0.01,-0.00,0.00,-0.27,0.04,9.58,14.38,-11.88,-22.50,-0.01,0.01,0.88,0.47,Left_Leg
30675,00:02:17,IMU1,-0.00,0.00,0.01,0.19,-6.44,7.43,12.56,11.81,-19.31,-0.19,-0.29,0.76,0.54,Left_Leg
30675,00:02:17,IMU2,0.00,0.00,0.00,1.84,-5.36,8.20,-6.50,16.00,-19.19,-0.29,-0.06,-0.12,0.95,Left_Leg
30675,00:02:17,IMU3,0.01,-0.00,0.00,-0.23,0.04,9.58,14.38,-11.88,-22.50,-0.01,0.01,0.88,0.47,Left_Leg
30676,00:02:17,IMU1,-0.00,0.00,0.01,0.19,-6.44,7.43,12.56,11.81,-19.31,-0.19,-0.29,0.76,0.54,Left_Leg
30676,00:02:17,IMU2,0.00,0.00,0.00,1.84,-5.36,8.20,-6.50,16.00,-19.19,-0.29,-0.06,-0.12,0.95,Left_Leg
30676,00:02:17,IMU3,0.01,-0.00,0.00,-0.23,0.04,9.58,13.69,-12.25,-22.12,-0.01,0.01,0.88,0.47,Left_Leg
30677,00:02:17,IMU1,0.00,0.00,0.00,0.19,-6.44,7.43,12.56,11.81,-19.31,-0.19,-0.29,0.76,0.54,Left_Leg
30677,00:02:17,IMU2,0.00,0.00,0.00,1.84,-5.36,8.20,-5.81,16.38,-17.25,-0.29,-0.06,-0.12,0.95,Left_Leg
30677,00:02:17,IMU3,-0.00,0.00,0.01,-0.23,0.04,9.58,13.69,-12.25,-22.12,-0.01,0.01,0.88,0.47,Left_Leg
30678,00:02:17,IMU1,0.00,0.00,0.00,0.19,-6.44,7.43,12.56,11.81,-19.31,-0.19,-0.29,0.76,0.54,Left_Leg
30678,00:02:17,IMU2,0.00,0.00,0.00,1.84,-5.36,8.20,-5.81,16.38,-17.25,-0.29,-0.06,-0.12,0.95,Left_Leg
30678,00:02:17,IMU3,-0.00,0.00,0.01,-0.23,0.04,9.58,13.69,-12.25,-22.12,-0.01,0.01,0.88,0.47,Left_Leg
30679,00:02:17,IMU1,0.00,0.00,0.00,0.19,-6.47,7.39,12.56,11.81,-19.31,-0.19,-0.29,0.76,0.54,Left_Leg
30679,00:02:17,IMU2,0.00,0.00,0.00,1.84,-5.36,8.20,-5.81,16.38,-17.25,-0.29,-0.06,-0.12,0.95,Left_Leg
30679,00:02:17,IMU3,-0.00,0.00,0.00,-0.23,0.04,9.58,13.69,-12.25,-22.12,-0.01,0.01,0.88,0.47,Left_Leg
30680,00:02:17,IMU1,0.00,-0.00,0.00,0.19,-6.47,7.39,12.56,11.81,-19.31,-0.19,-0.29,0.76,0.54,Left_Leg
30680,00:02:17,IMU2,0.00,0.00,0.00,1.84,-5.36,8.20,-5.81,16.38,-17.25,-0.29,-0.06,-0.12,0.95,Left_Leg
30680,00:02:17,IMU3,-0.00,0.00,0.00,-0.23,0.04,9.58,13.69,-12.25,-22.12,-0.01,0.01,0.88,0.47,Left_Leg
30681,00:02:17,IMU1,0.00,-0.00,0.00,0.19,-6.47,7.39,12.56,11.06,-19.31,-0.19,-0.29,0.76,0.54,Left_Leg
30681,00:02:17,IMU2,0.00,0.00,0.00,1.84,-5.36,8.20,-5.81,16.38,-17.25,-0.29,-0.06,-0.12,0.95,Left_Leg
30681,00:02:17,IMU3,0.00,0.00,0.00,-0.23,0.04,9.58,13.69,-12.25,-22.12,-0.01,0.01,0.88,0.47,Left_Leg
30682,00:02:17,IMU1,0.00,-0.00,0.00,0.19,-6.47,7.39,12.56,11.06,-19.31,-0.19,-0.29,0.76,0.54,Left_Leg
30682,00:02:17,IMU2,0.00,0.00,0.00,1.84,-5.36,8.20,-5.81,16.38,-17.25,-0.29,-0.06,-0.12,0.95,Left_Leg
30682,00:02:17,IMU3,0.00,0.00,0.00,-0.23,0.04,9.58,13.69,-12.25,-22.12,-0.01,0.01,0.88,0.47,Left_Leg
30683,00:02:17,IMU1,0.00,0.00,0.00,0.19,-6.47,7.39,12.56,11.06,-19.31,-0.19,-0.29,0.76,0.54,Left_Leg
30683,00:02:17,IMU2,0.00,0.00,0.00,1.84,-5.36,8.20,-5.81,16.38,-17.25,-0.29,-0.06,-0.12,0.95,Left_Leg
30683,00:02:17,IMU3,0.00,0.00,0.00,-0.27,0.04,9.58,13.69,-12.25,-22.12,-0.01,0.01,0.88,0.47,Left_Leg
30684,00:02:17,IMU1,0.00,0.00,0.00,0.19,-6.47,7.39,12.56,11.06,-19.31,-0.19,-0.29,0.76,0.54,Left_Leg
30684,00:02:17,IMU2,0.00,0.00,0.00,1.84,-5.36,8.20,-5.81,16.38,-17.25,-0.29,-0.06,-0.12,0.95,Left_Leg
