Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatX,QuatY,QuatZ,QuatW,DeviceName
2029,00:00:11,IMU4,0.00,0.00,0.00,-0.15,6.07,7.57,33.81,-14.06,-33.38,0.26,0.21,0.57,0.75,Right_Leg
2029,00:00:11,IMU5,0.00,0.00,0.00,0.27,-2.34,9.34,1.44,-27.81,-2.38,0.01,-0.12,0.99,0.02,Right_Leg
2029,00:00:11,IMU6,0.00,0.00,0.00,0.61,-0.11,9.50,11.19,-18.69,-6.50,0.03,-0.01,0.96,0.29,Right_Leg
2030,00:00:11,IMU4,0.00,0.00,0.00,-0.15,6.07,7.57,33.81,-14.06,-33.38,0.26,0.21,0.57,0.75,Right_Leg
2030,00:00:11,IMU5,0.00,0.00,0.00,0.27,-2.34,9.34,1.44,-27.81,-2.38,0.01,-0.12,0.99,0.02,Right_Leg
2030,00:00:11,IMU6,0.00,0.00,0.00,0.61,-0.11,9.50,11.19,-18.69,-6.50,0.03,-0.01,0.96,0.29,Right_Leg
2031,00:00:11,IMU4,0.00,0.00,0.00,-0.15,6.07,7.57,33.81,-14.06,-33.38,0.26,0.21,0.57,0.75,Right_Leg
2031,00:00:11,IMU5,0.00,0.00,0.00,0.27,-2.34,9.34,1.44,-27.81,-2.38,0.01,-0.12,0.99,0.02,Right_Leg
2031,00:00:11,IMU6,0.00,0.00,0.00,0.61,-0.11,9.50,11.19,-18.69,-6.50,0.03,-0.01,0.96,0.29,Right_Leg
2032,00:00:11,IMU4,0.00,0.00,0.00,-0.15,6.07,7.57,33.81,-14.06,-33.38,0.26,0.21,0.57,0.75,Right_Leg
2032,00:00:11,IMU5,0.00,0.00,0.00,0.27,-2.34,9.34,1.44,-27.81,-2.38,0.01,-0.12,0.99,0.02,Right_Leg
2032,00:00:11,IMU6,0.00,0.00,0.00,0.61,-0.11,9.50,11.19,-18.69,-6.50,0.03,-0.01,0.96,0.29,Right_Leg
2028,00:00:11,IMU4,0.00,0.00,0.00,-0.15,6.07,7.57,33.81,-14.06,-33.38,0.26,0.21,0.57,0.75,Right_Leg
2028,00:00:11,IMU5,0.00,0.00,0.00,0.27,-2.34,9.34,1.44,-27.81,-2.38,0.01,-0.12,0.99,0.02,Right_Leg
2028,00:00:11,IMU6,0.00,0.00,0.00,0.61,-0.11,9.50,11.19,-18.69,-6.50,0.03,-0.01,0.96,0.29,Right_Leg
2033,00:00:11,IMU4,0.00,0.00,0.00,-0.15,6.07,7.57,33.81,-14.06,-33.38,0.26,0.21,0.57,0.75,Right_Leg
2033,00:00:11,IMU5,0.00,0.00,0.00,0.27,-2.34,9.34,1.44,-27.81,-2.38,0.01,-0.12,0.99,0.02,Right_Leg
2033,00:00:11,IMU6,0.00,0.00,0.00,0.61,-0.11,9.50,11.19,-18.69,-6.50,0.03,-0.01,0.96,0.29,Right_Leg
2034,00:00:11,IMU4,0.00,0.00,0.00,-0.15,6.07,7.57,33.81,-14.06,-33.38,0.26,0.21,0.57,0.75,Right_Leg
2034,00:00:11,IMU5,0.00,0.00,0.00,0.30,-2.38,9.42,1.44,-27.81,-2.38,0.01,-0.12,0.99,0.02,Right_Leg
2034,00:00:11,IMU6,0.00,0.00,0.00,0.61,-0.11,9.50,11.19,-18.69,-6.50,0.03,-0.01,0.96,0.29,Right_Leg
2035,00:00:11,IMU4,0.00,0.00,0.00,-0.15,6.07,7.57,33.81,-14.06,-33.38,0.26,0.21,0.57,0.75,Right_Leg
