Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatX,QuatY,QuatZ,QuatW,DeviceName
31581,00:02:25,IMU4,0.00,0.00,0.00,-0.11,6.23,7.33,32.69,-13.38,-33.06,0.21,0.27,0.73,0.58,Right_Leg
31581,00:02:25,IMU5,-0.00,0.00,0.01,0.30,-2.80,9.27,1.75,-25.69,-5.56,0.01,-0.15,0.99,0.07,Right_Leg
31581,00:02:25,IMU6,0.00,0.00,0.00,1.30,-0.15,9.43,8.56,-17.94,-9.62,0.06,-0.03,0.95,0.30,Right_Leg
31582,00:02:25,IMU4,0.00,0.00,0.00,-0.11,6.23,7.33,32.69,-13.38,-33.06,0.21,0.27,0.73,0.58,Right_Leg
31582,00:02:25,IMU5,-0.00,0.00,0.01,0.30,-2.84,9.27,1.75,-25.69,-5.56,0.01,-0.15,0.99,0.07,Right_Leg
31582,00:02:25,IMU6,0.00,0.00,0.00,1.30,-0.15,9.43,8.56,-17.94,-9.62,0.06,-0.03,0.95,0.30,Right_Leg
31583,00:02:25,IMU4,0.00,0.00,0.00,-0.11,6.23,7.33,32.69,-13.38,-33.06,0.21,0.27,0.73,0.58,Right_Leg
31583,00:02:25,IMU5,-0.00,0.00,0.01,0.30,-2.84,9.27,0.31,-26.75,-6.75,0.01,-0.15,0.99,0.07,Right_Leg
31583,00:02:25,IMU6,0.00,0.00,0.00,1.30,-0.15,9.43,8.56,-17.94,-9.62,0.06,-0.03,0.95,0.30,Right_Leg
31584,00:02:25,IMU4,0.00,0.00,0.00,-0.11,6.23,7.33,32.69,-13.38,-33.06,0.21,0.27,0.73,0.58,Right_Leg
31584,00:02:25,IMU5,0.00,-0.00,0.00,0.30,-2.84,9.27,0.31,-26.75,-6.75,0.01,-0.15,0.99,0.07,Right_Leg
31584,00:02:25,IMU6,0.00,0.00,0.00,1.30,-0.15,9.43,8.56,-17.94,-9.62,0.06,-0.03,0.95,0.30,Right_Leg
31585,00:02:25,IMU4,0.00,0.00,0.00,-0.11,6.23,7.33,32.69,-13.38,-33.06,0.21,0.27,0.73,0.58,Right_Leg
31585,00:02:25,IMU5,0.00,-0.00,0.00,0.30,-2.84,9.27,0.31,-26.75,-6.75,0.01,-0.15,0.99,0.07,Right_Leg
31585,00:02:25,IMU6,0.00,0.00,0.00,1.30,-0.11,9.43,8.56,-17.94,-9.62,0.06,-0.03,0.95,0.30,Right_Leg
31586,00:02:25,IMU4,0.00,0.00,0.00,-0.11,6.23,7.33,32.69,-13.38,-33.06,0.21,0.27,0.73,0.58,Right_Leg
31586,00:02:25,IMU5,0.01,0.00,-0.00,0.30,-2.84,9.27,0.31,-26.75,-6.75,0.01,-0.15,0.99,0.07,Right_Leg
31586,00:02:25,IMU6,0.00,0.00,0.00,1.30,-0.11,9.43,8.56,-17.94,-9.62,0.06,-0.03,0.95,0.30,Right_Leg
31587,00:02:25,IMU4,0.00,0.00,0.00,-0.11,6.23,7.33,32.69,-13.38,-33.06,0.21,0.27,0.73,0.58,Right_Leg
31587,00:02:25,IMU5,0.01,0.00,-0.00,0.30,-2.84,9.27,0.31,-26.75,-6.75,0.01,-0.15,0.99,0.07,Right_Leg
31587,00:02:25,IMU6,0.00,0.00,0.00,1.30,-0.11,9.43,9.69,-19.81,-10.81,0.06,-0.03,0.95,0.30,Right_Leg
31588,00:02:25,IMU4,0.00,0.00,0.00,-0.11,6.23,7.33,32.69,-13.38,-33.06,0.21,0.27,0.73,0.58,Right_Leg
31588,00:02:25,IMU5,0.00,-0.00,0.00,0.30,-2.84,9.27,0.31,-26.75,-6.75,0.01,-0.15,0.99,0.07,Right_Leg
31588,00:02:25,IMU6,0.00,0.00,0.00,1.30,-0.11,9.43,9.69,-19.81,-10.81,0.06,-0.03,0.95,0.30,Right_Leg
31589,00:02:25,IMU4,0.00,0.00,0.00,-0.11,6.23,7.33,32.69,-13.38,-33.06,0.21,0.27,0.73,0.58,Right_Leg
31589,00:02:25,IMU5,0.00,-0.00,0.00,0.30,-2.84,9.27,0.31,-26.75,-6.75,0.01,-0.15,0.99,0.07,Right_Leg
31589,00:02:25,IMU6,0.00,0.00,0.00,1.30,-0.11,9.43,9.69,-19.81,-10.81,0.06,-0.03,0.95,0.30,Right_Leg
31590,00:02:25,IMU4,0.00,0.00,0.00,-0.11,6.23,7.33,32.69,-13.38,-33.06,0.21,0.27,0.73,0.58,Right_Leg
31590,00:02:25,IMU5,-0.00,0.00,0.00,0.30,-2.84,9.27,0.31,-26.75,-6.75,0.01,-0.15,0.99,0.07,Right_Leg
31590,00:02:25,IMU6,0.00,0.00,0.00,1.30,-0.11,9.43,9.69,-19.81,-10.81,0.06,-0.03,0.95,0.30,Right_Leg
31591,00:02:25,IMU4,0.00,0.00,0.00,-0.11,6.23,7.33,32.69,-13.38,-33.06,0.21,0.27,0.73,0.58,Right_Leg
31591,00:02:25,IMU5,-0.00,0.00,0.00,0.30,-2.84,9.27,0.31,-26.75,-6.75,0.01,-0.15,0.99,0.07,Right_Leg
31591,00:02:25,IMU6,0.00,0.00,0.00,1.30,-0.11,9.43,9.69,-19.81,-10.81,0.06,-0.03,0.95,0.30,Right_Leg
31592,00:02:25,IMU4,0.00,0.00,0.00,-0.11,6.23,7.33,32.69,-13.38,-33.06,0.21,0.27,0.73,0.58,Right_Leg
31592,00:02:25,IMU5,-0.00,0.00,0.00,0.30,-2.80,9.27,0.31,-26.75,-6.75,0.01,-0.15,0.99,0.07,Right_Leg
31592,00:02:25,IMU6,0.00,0.00,0.00,1.30,-0.11,9.43,9.69,-19.81,-10.81,0.06,-0.03,0.95,0.30,Right_Leg
