Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatX,QuatY,QuatZ,QuatW
37854,00:02:44,IMU2,0.0,0.0,0.0,0.65,-2.91,9.38,-18.5,-6.88,-26.81,-0.09,0.12,-0.89,0.43
37854,00:02:44,IMU3,0.0,0.0,0.0,-0.46,-1.0,9.58,-12.94,-31.31,-17.94,0.02,0.05,-0.99,0.16
37855,00:02:44,IMU1,0.01,0.0,0.0,1.46,-0.88,9.54,-1.44,-7.38,-32.69,0.06,-0.07,0.94,0.34
37855,00:02:44,IMU2,0.0,0.0,0.0,0.65,-2.91,9.38,-18.5,-6.88,-26.81,-0.09,0.12,-0.89,0.43
37855,00:02:44,IMU3,0.0,0.0,0.0,-0.46,-1.0,9.58,-12.94,-31.31,-17.94,0.02,0.05,-0.99,0.16
37856,00:02:44,IMU1,0.01,0.0,0.0,1.46,-0.88,9.54,-1.44,-7.38,-32.69,0.06,-0.07,0.94,0.34
37856,00:02:44,IMU2,0.0,0.0,0.0,0.65,-2.91,9.38,-18.5,-6.88,-26.81,-0.09,0.12,-0.89,0.43
37856,00:02:44,IMU3,0.0,0.0,0.0,-0.46,-0.92,9.61,-12.94,-31.31,-17.94,0.02,0.05,-0.99,0.16
37857,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.88,9.54,-1.44,-7.38,-32.69,0.06,-0.07,0.94,0.34
37857,00:02:44,IMU2,0.0,0.0,0.0,0.65,-2.91,9.38,-18.5,-6.88,-26.81,-0.09,0.12,-0.89,0.43
37857,00:02:44,IMU3,0.0,0.0,0.0,-0.46,-0.92,9.61,-14.0,-31.31,-13.25,0.02,0.05,-0.99,0.16
37858,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.88,9.54,-1.44,-7.38,-32.69,0.06,-0.07,0.94,0.34
37858,00:02:44,IMU2,0.0,0.0,0.0,0.69,-2.87,9.39,-18.5,-6.88,-26.81,-0.09,0.12,-0.89,0.43
37858,00:02:44,IMU3,0.0,0.0,0.0,-0.46,-0.92,9.61,-14.0,-31.31,-13.25,0.02,0.05,-0.99,0.16
37859,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.92,9.5,-1.44,-7.38,-32.69,0.06,-0.07,0.94,0.34
37859,00:02:44,IMU2,0.0,0.0,0.0,0.69,-2.87,9.39,-17.06,-6.12,-29.5,-0.09,0.12,-0.89,0.43
37859,00:02:44,IMU3,0.0,0.0,0.0,-0.46,-0.92,9.61,-14.0,-31.31,-13.25,0.02,0.05,-0.99,0.16
37860,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.92,9.5,-0.31,-6.62,-29.88,0.06,-0.07,0.94,0.34
37860,00:02:44,IMU2,0.0,0.0,0.0,0.69,-2.87,9.39,-17.06,-6.12,-29.5,-0.09,0.12,-0.89,0.43
37860,00:02:44,IMU3,0.0,0.0,0.0,-0.46,-0.92,9.61,-14.0,-31.31,-13.25,0.02,0.05,-0.99,0.16
37861,00:02:44,IMU1,0.0,0.0,0.01,1.46,-0.92,9.5,-0.31,-6.62,-29.88,0.06,-0.07,0.94,0.34
37861,00:02:44,IMU2,0.0,0.0,0.0,0.69,-2.87,9.39,-17.06,-6.12,-29.5,-0.09,0.12,-0.89,0.43
37861,00:02:44,IMU3,0.0,0.0,0.0,-0.46,-0.92,9.61,-14.0,-31.31,-13.25,0.02,0.05,-0.99,0.16
37862,00:02:44,IMU1,0.0,0.0,0.01,1.46,-0.92,9.5,-0.31,-6.62,-29.88,0.06,-0.07,0.94,0.34
37862,00:02:44,IMU2,0.0,0.0,0.0,0.69,-2.87,9.39,-17.06,-6.12,-29.5,-0.09,0.12,-0.89,0.43
37862,00:02:44,IMU3,0.0,0.0,0.0,-0.46,-0.92,9.61,-14.0,-31.31,-13.25,0.02,0.05,-0.99,0.16
37863,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.92,9.5,-0.31,-6.62,-29.88,0.06,-0.07,0.94,0.34
37863,00:02:44,IMU2,0.0,0.0,0.0,0.69,-2.87,9.39,-17.06,-6.12,-29.5,-0.09,0.12,-0.89,0.43
37863,00:02:44,IMU3,0.0,0.0,0.0,-0.46,-0.92,9.61,-14.0,-31.31,-13.25,0.02,0.05,-0.99,0.16
37864,00:02:44,IMU1,0.0,0.0,0.0,1.46,-0.92,9.5,-0.31,-6.62,-29.88,0.06,-0.07,0.94,0.34
37864,00:02:44,IMU2,0.0,0.0,0.0,0.61,-2.87,9.34,-17.06,-6.12,-29.5,-0.09,0.12,-0.89,0.43
37864,00:02:44,IMU3,0.0,0.0,0.0,-0.5,-0.96,9.58,-14.0,-31.31,-13.25,0.02,0.05,-0.99,0.16
37865,00:02:44,IMU1,0.0,0.0,0.0,1.42,-0.88,9.5,-0.31,-6.62,-29.88,0.06,-0.07,0.94,0.34
37865,00:02:44,IMU2,0.0,0.0,0.0,0.61,-2.87,9.34,-18.5,-7.62,-28.38,-0.09,0.12,-0.89,0.43
37865,00:02:44,IMU3,0.0,0.0,0.0,-0.5,-0.96,9.58,-13.69,-36.0,-14.81,0.02,0.05,-0.99,0.16
37866,00:02:44,IMU1,0.0,0.0,0.0,1.42,-0.88,9.5,-0.31,-6.62,-29.88,0.06,-0.07,0.94,0.34
37866,00:02:44,IMU2,0.0,0.0,0.0,0.61,-2.87,9.34,-18.5,-7.62,-28.38,-0.09,0.12,-0.89,0.43
37866,00:02:44,IMU3,0.0,0.0,0.0,-0.5,-0.96,9.58,-13.69,-36.0,-14.81,0.02,0.05,-0.99,0.16
