Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatX,QuatY,QuatZ,QuatW,DeviceName
6359,00:00:27,IMU1,0.00,0.00,0.00,0.30,-5.82,7.86,11.06,20.69,-26.12,-0.22,-0.22,0.62,0.72,Left_Leg
6359,00:00:27,IMU2,0.00,0.00,0.00,5.25,-3.95,7.74,-13.81,25.50,-25.88,-0.14,-0.32,0.21,0.91,Left_Leg
6359,00:00:27,IMU3,0.00,0.00,0.00,-1.27,0.08,9.54,21.62,-5.75,-22.06,-0.05,0.04,0.82,0.57,Left_Leg
6360,00:00:27,IMU1,0.00,0.00,0.00,0.30,-5.82,7.86,11.06,20.69,-26.12,-0.22,-0.22,0.62,0.72,Left_Leg
6360,00:00:27,IMU2,0.00,0.00,0.00,5.25,-3.95,7.74,-13.81,26.56,-26.25,-0.14,-0.32,0.21,0.91,Left_Leg
6360,00:00:27,IMU3,0.00,0.00,0.00,-1.27,0.08,9.54,21.62,-5.75,-22.06,-0.05,0.04,0.82,0.57,Left_Leg
6361,00:00:27,IMU1,0.00,0.00,0.00,0.27,-5.82,7.89,11.06,20.69,-26.12,-0.22,-0.22,0.62,0.72,Left_Leg
6361,00:00:27,IMU2,0.00,0.00,0.00,5.25,-3.95,7.74,-13.81,26.56,-26.25,-0.14,-0.32,0.21,0.91,Left_Leg
6361,00:00:27,IMU3,0.00,0.00,0.00,-1.27,0.08,9.54,21.62,-5.75,-22.06,-0.05,0.04,0.82,0.57,Left_Leg
6362,00:00:27,IMU1,0.00,0.00,0.00,0.27,-5.82,7.89,11.44,20.31,-24.94,-0.22,-0.22,0.62,0.72,Left_Leg
6362,00:00:27,IMU2,0.00,0.00,0.00,5.25,-3.95,7.74,-13.81,26.56,-26.25,-0.14,-0.32,0.21,0.91,Left_Leg
6362,00:00:27,IMU3,0.00,0.00,0.00,-1.27,0.08,9.54,21.62,-5.75,-22.06,-0.05,0.04,0.82,0.57,Left_Leg
6363,00:00:27,IMU1,0.00,0.00,0.00,0.27,-5.82,7.89,11.44,20.31,-24.94,-0.22,-0.22,0.62,0.72,Left_Leg
6363,00:00:27,IMU2,0.00,0.00,0.00,5.25,-3.95,7.74,-13.81,26.56,-26.25,-0.14,-0.32,0.21,0.91,Left_Leg
6363,00:00:27,IMU3,0.00,0.00,0.00,-1.30,0.08,9.54,21.62,-5.75,-22.06,-0.05,0.04,0.82,0.57,Left_Leg
6364,00:00:27,IMU1,0.00,0.00,0.00,0.27,-5.82,7.89,11.44,20.31,-24.94,-0.22,-0.22,0.62,0.72,Left_Leg
6364,00:00:27,IMU2,0.00,0.00,0.00,5.25,-3.95,7.74,-13.81,26.56,-26.25,-0.14,-0.32,0.21,0.91,Left_Leg
6364,00:00:27,IMU3,0.00,0.00,0.00,-1.30,0.08,9.54,21.62,-5.75,-22.06,-0.05,0.04,0.82,0.57,Left_Leg
6365,00:00:27,IMU1,0.00,0.00,0.00,0.27,-5.82,7.89,11.44,20.31,-24.94,-0.22,-0.22,0.62,0.72,Left_Leg
6365,00:00:27,IMU2,0.00,0.00,0.00,5.25,-3.95,7.74,-13.81,26.56,-26.25,-0.14,-0.32,0.21,0.91,Left_Leg
6365,00:00:27,IMU3,0.00,0.00,0.00,-1.30,0.08,9.54,21.25,-5.75,-22.88,-0.05,0.04,0.82,0.57,Left_Leg
6366,00:00:27,IMU1,0.00,0.00,0.00,0.27,-5.82,7.89,11.44,20.31,-24.94,-0.22,-0.22,0.62,0.72,Left_Leg
6366,00:00:27,IMU2,0.00,0.00,0.00,5.25,-3.95,7.74,-13.81,26.56,-26.25,-0.14,-0.32,0.21,0.91,Left_Leg
6366,00:00:27,IMU3,0.00,0.00,0.00,-1.30,0.08,9.54,21.25,-5.75,-22.88,-0.05,0.04,0.82,0.57,Left_Leg
6367,00:00:27,IMU1,0.00,0.00,0.00,0.30,-5.82,7.82,11.44,20.31,-24.94,-0.22,-0.22,0.62,0.72,Left_Leg
6367,00:00:27,IMU2,0.00,0.00,0.00,5.25,-3.98,7.77,-13.81,26.56,-26.25,-0.14,-0.32,0.21,0.91,Left_Leg
6367,00:00:27,IMU3,0.00,0.00,0.00,-1.30,0.08,9.54,21.25,-5.75,-22.88,-0.05,0.04,0.82,0.57,Left_Leg
6368,00:00:27,IMU1,0.00,0.00,0.00,0.30,-5.82,7.82,11.81,22.56,-25.31,-0.22,-0.22,0.62,0.72,Left_Leg
6368,00:00:27,IMU2,0.00,0.00,0.00,5.25,-3.98,7.77,-13.81,26.56,-26.25,-0.14,-0.32,0.21,0.91,Left_Leg
6368,00:00:27,IMU3,0.00,0.00,0.00,-1.30,0.08,9.54,21.25,-5.75,-22.88,-0.05,0.04,0.82,0.57,Left_Leg
6369,00:00:27,IMU1,0.00,0.00,0.00,0.30,-5.82,7.82,11.81,22.56,-25.31,-0.22,-0.22,0.62,0.72,Left_Leg
6369,00:00:27,IMU2,0.00,0.00,0.00,5.25,-3.98,7.77,-14.94,25.50,-26.62,-0.14,-0.32,0.21,0.91,Left_Leg
6369,00:00:27,IMU3,0.00,0.00,0.00,-1.30,0.08,9.54,21.25,-5.75,-22.88,-0.05,0.04,0.82,0.57,Left_Leg
6370,00:00:27,IMU1,0.00,0.00,0.00,0.30,-5.82,7.82,11.81,22.56,-25.31,-0.22,-0.22,0.62,0.72,Left_Leg
6370,00:00:27,IMU2,0.00,0.00,0.00,5.25,-3.98,7.77,-14.94,25.50,-26.62,-0.14,-0.32,0.21,0.91,Left_Leg
6370,00:00:27,IMU3,0.00,0.00,0.00,-1.30,0.08,9.54,21.25,-5.75,-22.88,-0.05,0.04,0.82,0.57,Left_Leg
6371,00:00:27,IMU1,0.00,0.00,0.00,0.30,-5.86,7.89,11.81,22.56,-25.31,-0.22,-0.22,0.62,0.72,Left_Leg
6371,00:00:27,IMU2,0.00,0.00,0.00,5.25,-3.98,7.77,-14.94,25.50,-26.62,-0.14,-0.32,0.21,0.91,Left_Leg
6371,00:00:27,IMU3,0.00,0.00,0.00,-1.27,0.04,9.58,21.25,-5.75,-22.88,-0.05,0.04,0.82,0.57,Left_Leg
6372,00:00:27,IMU1,0.00,0.00,0.00,0.30,-5.86,7.89,11.81,22.56,-25.31,-0.22,-0.22,0.62,0.72,Left_Leg
6372,00:00:27,IMU2,0.00,0.00,0.00,5.25,-3.98,7.77,-14.94,25.50,-26.62,-0.14,-0.32,0.21,0.91,Left_Leg
6372,00:00:27,IMU3,0.00,0.00,0.00,-1.27,0.04,9.58,21.25,-5.75,-22.88,-0.05,0.04,0.82,0.57,Left_Leg
6373,00:00:27,IMU1,0.00,0.00,0.00,0.30,-5.86,7.89,12.56,21.44,-25.31,-0.22,-0.22,0.62,0.72,Left_Leg
6373,00:00:27,IMU2,0.00,0.00,0.00,5.25,-3.98,7.77,-14.94,25.50,-26.62,-0.14,-0.32,0.21,0.91,Left_Leg
6373,00:00:27,IMU3,0.00,0.00,0.00,-1.27,0.04,9.58,20.19,-7.56,-23.62,-0.05,0.04,0.82,0.57,Left_Leg
6374,00:00:27,IMU1,0.00,0.00,0.00,0.30,-5.86,7.89,12.56,21.44,-25.31,-0.22,-0.22,0.62,0.72,Left_Leg
6374,00:00:27,IMU2,0.00,0.00,0.00,5.25,-3.98,7.77,-14.94,25.50,-26.62,-0.14,-0.32,0.21,0.91,Left_Leg
6374,00:00:27,IMU3,0.00,0.00,0.00,-1.27,0.04,9.58,20.19,-7.56,-23.62,-0.05,0.04,0.82,0.57,Left_Leg
6375,00:00:27,IMU1,0.00,0.00,0.00,0.30,-5.86,7.89,12.56,21.44,-25.31,-0.22,-0.22,0.62,0.72,Left_Leg
6375,00:00:27,IMU2,0.00,0.00,0.00,5.32,-3.98,7.74,-14.94,25.50,-26.62,-0.14,-0.32,0.21,0.91,Left_Leg
6375,00:00:27,IMU3,0.00,0.00,0.00,-1.27,0.04,9.58,20.19,-7.56,-23.62,-0.05,0.04,0.82,0.57,Left_Leg
6376,00:00:27,IMU1,0.00,0.00,0.00,0.30,-5.86,7.89,12.56,21.44,-25.31,-0.22,-0.22,0.62,0.72,Left_Leg
6376,00:00:27,IMU2,0.00,0.00,0.00,5.32,-3.98,7.74,-13.44,25.12,-26.25,-0.14,-0.32,0.21,0.91,Left_Leg
6376,00:00:27,IMU3,0.00,0.00,0.00,-1.27,0.04,9.58,20.19,-7.56,-23.62,-0.05,0.04,0.82,0.57,Left_Leg
6377,00:00:27,IMU1,0.00,0.00,0.00,0.30,-5.86,7.89,12.56,21.44,-25.31,-0.22,-0.22,0.62,0.72,Left_Leg
6377,00:00:27,IMU2,0.00,0.00,0.00,5.32,-3.98,7.74,-13.44,25.12,-26.25,-0.14,-0.32,0.21,0.91,Left_Leg
6377,00:00:27,IMU3,0.00,0.00,0.00,-1.27,0.04,9.58,20.19,-7.56,-23.62,-0.05,0.04,0.82,0.57,Left_Leg
6378,00:00:27,IMU1,0.00,0.00,0.00,0.30,-5.86,7.89,12.56,21.44,-25.31,-0.22,-0.22,0.62,0.72,Left_Leg
6378,00:00:27,IMU2,0.00,0.00,0.00,5.32,-3.98,7.74,-13.44,25.12,-26.25,-0.14,-0.32,0.21,0.91,Left_Leg
6378,00:00:27,IMU3,0.00,0.00,0.00,-1.27,0.04,9.58,20.19,-7.56,-23.62,-0.05,0.04,0.82,0.57,Left_Leg
6379,00:00:27,IMU1,0.00,0.00,0.00,0.30,-5.86,7.89,12.56,21.44,-25.31,-0.22,-0.22,0.62,0.72,Left_Leg
