Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatX,QuatY,QuatZ,QuatW,DeviceName
4260,00:00:20,IMU4,0.00,0.00,0.00,3.30,0.29,9.02,17.50,3.69,-35.12,0.12,-0.13,0.62,0.76,Left_Leg
4260,00:00:20,IMU5,0.00,0.00,0.00,-0.30,-5.67,8.08,13.00,8.69,-29.81,-0.13,-0.27,0.88,0.37,Left_Leg
4260,00:00:20,IMU6,0.00,0.00,0.00,0.61,-0.34,9.50,10.44,17.19,-20.75,-0.00,-0.04,0.41,0.91,Left_Leg
4259,00:00:20,IMU4,0.00,0.00,0.00,3.30,0.29,9.02,17.50,3.69,-35.12,0.12,-0.13,0.62,0.76,Left_Leg
4259,00:00:20,IMU5,0.00,0.00,0.00,-0.30,-5.67,8.08,13.00,8.69,-29.81,-0.13,-0.27,0.88,0.37,Left_Leg
4259,00:00:20,IMU6,0.00,0.00,0.00,0.61,-0.34,9.50,10.44,17.19,-20.75,-0.00,-0.04,0.41,0.91,Left_Leg
4261,00:00:20,IMU4,0.00,0.00,0.00,3.30,0.32,8.98,17.50,3.69,-35.12,0.12,-0.13,0.62,0.76,Left_Leg
4261,00:00:20,IMU5,0.00,0.00,0.00,-0.30,-5.67,8.08,13.00,8.69,-29.81,-0.13,-0.27,0.88,0.37,Left_Leg
4261,00:00:20,IMU6,-0.00,0.00,0.00,0.61,-0.34,9.50,10.44,17.19,-20.75,-0.00,-0.04,0.41,0.91,Left_Leg
4262,00:00:20,IMU4,0.00,0.00,0.00,3.30,0.32,8.98,17.88,4.44,-34.38,0.12,-0.13,0.62,0.76,Left_Leg
4262,00:00:20,IMU5,0.00,0.00,0.00,-0.30,-5.67,8.08,13.00,8.69,-29.81,-0.13,-0.27,0.88,0.37,Left_Leg
4262,00:00:20,IMU6,-0.00,0.00,0.00,0.61,-0.34,9.50,10.44,17.19,-20.75,-0.00,-0.04,0.41,0.91,Left_Leg
4263,00:00:20,IMU4,0.00,0.00,0.00,3.30,0.32,8.98,17.88,4.44,-34.38,0.12,-0.13,0.62,0.76,Left_Leg
4263,00:00:20,IMU5,0.00,0.00,0.00,-0.30,-5.67,8.08,13.00,8.69,-29.81,-0.13,-0.27,0.88,0.37,Left_Leg
4263,00:00:20,IMU6,-0.00,0.00,0.00,0.61,-0.34,9.50,10.44,17.19,-20.75,-0.00,-0.04,0.41,0.91,Left_Leg
4264,00:00:20,IMU4,0.00,0.00,0.00,3.30,0.32,8.98,17.88,4.44,-34.38,0.12,-0.13,0.62,0.76,Left_Leg
4264,00:00:20,IMU5,0.00,0.00,0.00,-0.27,-5.67,8.08,13.00,8.69,-29.81,-0.13,-0.27,0.88,0.37,Left_Leg
4264,00:00:20,IMU6,-0.00,0.00,0.00,0.61,-0.34,9.50,10.44,17.19,-20.75,-0.00,-0.04,0.41,0.91,Left_Leg
4265,00:00:20,IMU4,0.00,0.00,0.00,3.30,0.29,8.98,17.88,4.44,-34.38,0.12,-0.13,0.62,0.76,Left_Leg
4265,00:00:20,IMU5,0.00,0.00,0.00,-0.27,-5.67,8.08,13.00,8.69,-29.81,-0.13,-0.27,0.88,0.37,Left_Leg
4265,00:00:20,IMU6,0.00,0.00,-0.00,0.61,-0.34,9.50,10.44,17.19,-20.75,-0.00,-0.04,0.41,0.91,Left_Leg
4266,00:00:20,IMU4,0.00,0.00,0.00,3.30,0.29,8.98,17.88,2.56,-36.31,0.12,-0.13,0.62,0.76,Left_Leg
4266,00:00:20,IMU5,0.00,0.00,0.00,-0.27,-5.67,8.08,13.00,7.94,-29.44,-0.13,-0.27,0.88,0.37,Left_Leg
4266,00:00:20,IMU6,0.00,0.00,-0.00,0.61,-0.34,9.50,10.44,17.19,-20.75,-0.00,-0.04,0.41,0.91,Left_Leg
4267,00:00:20,IMU4,0.00,0.00,0.00,3.30,0.29,8.98,17.88,2.56,-36.31,0.12,-0.13,0.62,0.76,Left_Leg
4267,00:00:20,IMU5,0.00,0.00,0.00,-0.27,-5.67,8.08,13.00,7.94,-29.44,-0.13,-0.27,0.88,0.37,Left_Leg
4267,00:00:20,IMU6,0.01,0.00,-0.00,0.61,-0.34,9.50,10.44,17.19,-20.75,-0.00,-0.04,0.41,0.91,Left_Leg
4268,00:00:20,IMU4,0.00,0.00,0.00,3.30,0.29,8.98,17.88,2.56,-36.31,0.12,-0.13,0.62,0.76,Left_Leg
4268,00:00:20,IMU5,0.00,0.00,0.00,-0.27,-5.67,8.08,13.00,7.94,-29.44,-0.13,-0.27,0.88,0.37,Left_Leg
