Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatX,QuatY,QuatZ,QuatW,DeviceName
6648,00:00:28,IMU1,0.00,0.00,0.00,0.46,-5.52,8.04,13.69,15.94,-17.06,-0.26,-0.14,0.37,0.88,Right_Leg
6648,00:00:28,IMU2,0.00,0.00,0.00,1.53,-3.87,9.00,-1.81,17.50,-18.62,-0.19,-0.09,0.07,0.97,Right_Leg
6648,00:00:28,IMU3,0.00,0.00,0.00,0.38,-0.54,9.65,18.38,-11.88,-21.88,0.00,-0.03,0.87,0.50,Right_Leg
6647,00:00:28,IMU1,0.00,0.00,0.00,0.46,-5.52,8.04,13.69,15.94,-17.06,-0.26,-0.14,0.37,0.88,Right_Leg
6647,00:00:28,IMU2,0.00,0.00,0.00,1.53,-3.87,9.00,-1.81,17.50,-18.62,-0.19,-0.09,0.07,0.97,Right_Leg
6647,00:00:28,IMU3,0.00,0.00,0.00,0.38,-0.54,9.65,18.38,-11.88,-21.88,0.00,-0.03,0.87,0.50,Right_Leg
6649,00:00:28,IMU1,0.00,0.00,0.00,0.46,-5.52,8.04,13.69,15.94,-17.06,-0.26,-0.14,0.37,0.88,Right_Leg
6649,00:00:28,IMU2,0.00,0.00,0.00,1.53,-3.87,9.00,-1.81,17.50,-18.62,-0.19,-0.09,0.07,0.97,Right_Leg
6649,00:00:28,IMU3,0.00,0.00,0.00,0.38,-0.54,9.65,18.38,-11.88,-21.88,0.00,-0.03,0.87,0.50,Right_Leg
6650,00:00:28,IMU1,0.00,0.00,0.00,0.46,-5.55,8.08,13.69,15.94,-17.06,-0.26,-0.14,0.37,0.88,Right_Leg
6650,00:00:28,IMU2,0.00,0.00,0.00,1.53,-3.87,9.00,-1.81,17.50,-18.62,-0.19,-0.09,0.07,0.97,Right_Leg
6650,00:00:28,IMU3,0.00,0.00,0.00,0.38,-0.54,9.65,18.38,-11.88,-21.88,0.00,-0.03,0.87,0.50,Right_Leg
6651,00:00:28,IMU1,0.00,0.00,0.00,0.46,-5.55,8.08,16.69,17.38,-18.25,-0.26,-0.14,0.37,0.88,Right_Leg
6651,00:00:28,IMU2,0.00,0.00,0.00,1.53,-3.87,9.00,-1.81,17.50,-18.62,-0.19,-0.09,0.07,0.97,Right_Leg
6651,00:00:28,IMU3,0.00,0.00,0.00,0.34,-0.54,9.61,18.38,-11.88,-21.88,0.00,-0.03,0.87,0.50,Right_Leg
6652,00:00:28,IMU1,0.00,0.00,0.00,0.46,-5.55,8.08,16.69,17.38,-18.25,-0.26,-0.14,0.37,0.88,Right_Leg
6652,00:00:28,IMU2,0.00,0.00,0.00,1.53,-3.87,9.00,-1.81,17.50,-18.62,-0.19,-0.09,0.07,0.97,Right_Leg
6652,00:00:28,IMU3,0.00,0.00,0.00,0.34,-0.54,9.61,18.38,-11.88,-21.88,0.00,-0.03,0.87,0.50,Right_Leg
6653,00:00:28,IMU1,0.00,0.00,0.00,0.46,-5.55,8.08,16.69,17.38,-18.25,-0.26,-0.14,0.37,0.88,Right_Leg
6653,00:00:28,IMU2,0.00,0.00,0.00,1.53,-3.87,9.00,-1.81,17.50,-18.62,-0.19,-0.09,0.07,0.97,Right_Leg
6653,00:00:28,IMU3,0.00,0.00,0.00,0.34,-0.54,9.61,18.38,-11.50,-22.31,0.00,-0.03,0.87,0.50,Right_Leg
6654,00:00:28,IMU1,0.00,0.00,0.00,0.46,-5.55,8.08,16.69,17.38,-18.25,-0.26,-0.14,0.37,0.88,Right_Leg
6654,00:00:28,IMU2,0.00,0.00,0.00,1.53,-3.87,9.00,-1.81,17.50,-18.62,-0.19,-0.09,0.07,0.97,Right_Leg
6654,00:00:28,IMU3,0.00,0.00,0.00,0.34,-0.54,9.61,18.38,-11.50,-22.31,0.00,-0.03,0.87,0.50,Right_Leg
6655,00:00:28,IMU1,0.00,0.00,0.00,0.46,-5.55,8.08,16.69,17.38,-18.25,-0.26,-0.14,0.37,0.88,Right_Leg
6655,00:00:28,IMU2,0.00,0.00,0.00,1.53,-3.87,9.00,-1.81,17.50,-18.62,-0.19,-0.09,0.07,0.97,Right_Leg
6655,00:00:28,IMU3,0.00,0.00,0.00,0.34,-0.54,9.61,18.38,-11.50,-22.31,0.00,-0.03,0.87,0.50,Right_Leg
6656,00:00:28,IMU1,0.00,0.00,0.00,0.42,-5.48,8.04,16.69,17.38,-18.25,-0.26,-0.14,0.37,0.88,Right_Leg
6656,00:00:28,IMU2,0.00,0.00,0.00,1.53,-3.83,9.00,-1.81,17.50,-18.62,-0.19,-0.09,0.07,0.97,Right_Leg
6656,00:00:28,IMU3,0.00,0.00,0.00,0.34,-0.54,9.61,18.38,-11.50,-22.31,0.00,-0.03,0.87,0.50,Right_Leg
6657,00:00:28,IMU1,0.00,0.00,0.00,0.42,-5.48,8.04,16.69,17.38,-18.25,-0.26,-0.14,0.37,0.88,Right_Leg
6657,00:00:28,IMU2,0.00,0.00,0.00,1.53,-3.83,9.00,-1.81,17.50,-18.62,-0.19,-0.09,0.07,0.97,Right_Leg
6657,00:00:28,IMU3,0.00,0.00,0.00,0.34,-0.54,9.61,18.38,-11.50,-22.31,0.00,-0.03,0.87,0.50,Right_Leg
6658,00:00:28,IMU1,0.00,0.00,0.00,0.42,-5.48,8.04,14.81,17.00,-19.06,-0.26,-0.14,0.37,0.88,Right_Leg
6658,00:00:28,IMU2,0.00,0.00,0.00,1.53,-3.83,9.00,-2.50,16.38,-19.00,-0.19,-0.09,0.07,0.97,Right_Leg
6658,00:00:28,IMU3,0.00,0.00,0.00,0.34,-0.54,9.61,18.38,-11.50,-22.31,0.00,-0.03,0.87,0.50,Right_Leg
6659,00:00:28,IMU1,0.00,0.00,0.00,0.42,-5.48,8.04,14.81,17.00,-19.06,-0.26,-0.14,0.37,0.88,Right_Leg
6659,00:00:28,IMU2,0.00,0.00,0.00,1.53,-3.83,9.00,-2.50,16.38,-19.00,-0.19,-0.09,0.07,0.97,Right_Leg
6659,00:00:28,IMU3,0.00,0.00,0.00,0.34,-0.50,9.65,18.38,-11.50,-22.31,0.00,-0.03,0.87,0.50,Right_Leg
6660,00:00:28,IMU1,0.00,0.00,0.00,0.42,-5.48,8.04,14.81,17.00,-19.06,-0.26,-0.14,0.37,0.88,Right_Leg
6660,00:00:28,IMU2,0.00,0.00,0.00,1.53,-3.83,9.00,-2.50,16.38,-19.00,-0.19,-0.09,0.07,0.97,Right_Leg
6660,00:00:28,IMU3,0.00,0.00,0.00,0.34,-0.50,9.65,19.12,-11.19,-23.06,0.00,-0.03,0.87,0.50,Right_Leg
6661,00:00:28,IMU1,0.00,0.00,0.00,0.42,-5.48,8.04,14.81,17.00,-19.06,-0.26,-0.14,0.37,0.88,Right_Leg
6661,00:00:28,IMU2,0.00,0.00,0.00,1.53,-3.83,9.00,-2.50,16.38,-19.00,-0.19,-0.09,0.07,0.97,Right_Leg
6661,00:00:28,IMU3,0.00,0.00,0.00,0.34,-0.50,9.65,19.12,-11.19,-23.06,0.00,-0.03,0.87,0.50,Right_Leg
6662,00:00:28,IMU1,0.00,0.00,0.00,0.42,-5.52,8.12,14.81,17.00,-19.06,-0.26,-0.14,0.37,0.88,Right_Leg
6662,00:00:28,IMU2,0.00,0.00,0.00,1.53,-3.83,9.00,-2.50,16.38,-19.00,-0.19,-0.09,0.07,0.97,Right_Leg
6662,00:00:28,IMU3,0.00,0.00,0.00,0.34,-0.50,9.65,19.12,-11.19,-23.06,0.00,-0.03,0.87,0.50,Right_Leg
6663,00:00:28,IMU1,0.00,0.00,0.00,0.42,-5.52,8.12,14.81,17.00,-19.06,-0.26,-0.14,0.37,0.88,Right_Leg
6663,00:00:28,IMU2,0.00,0.00,0.00,1.53,-3.83,9.00,-2.50,16.38,-19.00,-0.19,-0.09,0.07,0.97,Right_Leg
6663,00:00:28,IMU3,0.00,0.00,0.00,0.34,-0.50,9.65,19.12,-11.19,-23.06,0.00,-0.03,0.87,0.50,Right_Leg
6664,00:00:28,IMU1,0.00,0.00,0.00,0.42,-5.52,8.12,15.19,18.88,-17.88,-0.26,-0.14,0.37,0.88,Right_Leg
6664,00:00:28,IMU2,0.00,0.00,0.00,1.53,-3.91,8.96,-2.50,16.38,-19.00,-0.19,-0.09,0.07,0.97,Right_Leg
6664,00:00:28,IMU3,0.00,0.00,0.00,0.34,-0.50,9.65,19.12,-11.19,-23.06,0.00,-0.03,0.87,0.50,Right_Leg
6665,00:00:28,IMU1,0.00,0.00,0.00,0.42,-5.52,8.12,15.19,18.88,-17.88,-0.26,-0.14,0.37,0.88,Right_Leg
6665,00:00:28,IMU2,0.00,0.00,0.00,1.53,-3.91,8.96,-2.19,17.50,-19.00,-0.19,-0.09,0.07,0.97,Right_Leg
6665,00:00:28,IMU3,0.00,0.00,0.00,0.34,-0.54,9.58,19.12,-11.19,-23.06,0.00,-0.03,0.87,0.50,Right_Leg
6666,00:00:28,IMU1,0.00,0.00,0.00,0.42,-5.52,8.12,15.19,18.88,-17.88,-0.26,-0.14,0.37,0.88,Right_Leg
