Timestamp_us,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatW,QuatX,QuatY,QuatZ
1474503, 4.20,-0.94,-8.81,-0.00,-0.01,-0.00,14.56,10.06,55.56,0.23,-0.25,-0.94,-0.00
1480909, 4.25,-0.90,-8.89,-0.01,-0.01,0.00,14.56,10.06,55.56,0.23,-0.25,-0.94,-0.00
1488151, 4.22,-0.85,-8.87,-0.00,-0.02,0.03,14.56,10.06,55.56,0.23,-0.25,-0.94,-0.00
1492592, 4.22,-0.85,-8.87,-0.00,-0.02,0.03,14.56,10.06,55.56,0.23,-0.25,-0.94,-0.00
1499705, 4.22,-0.90,-8.85,-0.01,-0.02,0.04,14.56,10.06,55.56,0.23,-0.25,-0.94,-0.00
1515499, 4.21,-0.85,-8.87,-0.01,-0.02,0.04,14.56,10.06,57.88,0.23,-0.25,-0.94,-0.00
1520174, 4.18,-0.90,-8.92,-0.01,-0.03,0.06,14.56,10.06,57.88,0.23,-0.25,-0.94,-0.00
1524615, 4.18,-0.90,-8.92,-0.01,-0.03,0.06,14.56,10.06,57.88,0.23,-0.25,-0.94,-0.00
1539501, 4.21,-1.09,-8.97,-0.01,-0.04,0.08,14.56,10.06,57.88,0.23,-0.26,-0.94,-0.00
1544940, 4.21,-1.09,-8.97,-0.01,-0.04,0.08,14.56,10.06,57.88,0.23,-0.26,-0.94,-0.00
1551091, 4.27,-1.18,-8.89,-0.01,-0.03,0.08,14.56,10.06,57.88,0.23,-0.26,-0.94,-0.00
1558200, 4.23,-1.17,-8.89,-0.00,-0.02,0.06,14.56,10.06,57.88,0.23,-0.26,-0.94,-0.00
1572859, 4.24,-1.13,-8.87,-0.00,-0.00,-0.01,7.69,6.50,34.88,0.23,-0.26,-0.94,-0.00
1580062, 4.30,-1.10,-8.86,-0.00,-0.00,-0.01,7.69,6.50,34.88,0.23,-0.26,-0.94,-0.00
1585875, 4.30,-1.10,-8.86,-0.00,0.00,-0.03,7.69,6.50,34.88,0.23,-0.26,-0.94,-0.00
1591445, 4.21,-0.91,-8.94,-0.00,0.00,-0.03,7.69,6.50,34.88,0.23,-0.26,-0.94,-0.00
1598845, 4.22,-0.94,-8.96,-0.00,0.00,-0.05,7.69,6.50,34.88,0.23,-0.26,-0.94,-0.00
1613538, 4.16,-0.91,-8.93,-0.00,0.00,-0.05,7.69,6.50,34.88,0.23,-0.26,-0.94,-0.00
1619005, 4.20,-0.99,-8.93,0.00,0.01,-0.02,8.06,6.19,34.88,0.23,-0.26,-0.94,-0.00
1623440, 4.20,-0.99,-8.93,0.00,0.01,-0.02,8.06,6.19,34.88,0.23,-0.25,-0.94,-0.00
1630341, 4.21,-1.00,-8.91,0.00,0.01,-0.02,8.06,6.19,34.88,0.23,-0.25,-0.94,-0.00
1636738, 4.21,-1.00,-8.91,0.00,0.01,-0.02,8.06,6.19,34.88,0.23,-0.25,-0.94,-0.00
1652047, 4.25,-0.94,-8.93,0.00,0.01,-0.03,8.06,6.19,34.88,0.23,-0.25,-0.94,-0.00
1659722, 4.20,-0.96,-8.89,0.00,0.01,-0.03,8.06,6.19,34.88,0.23,-0.25,-0.94,-0.00
1664170, 4.20,-0.96,-8.89,0.00,0.01,-0.03,8.06,6.19,34.88,0.23,-0.25,-0.94,-0.00
1679986, 4.21,-0.93,-8.89,0.00,0.00,-0.02,7.00,6.50,35.69,0.23,-0.25,-0.94,-0.00
1686072, 4.21,-0.93,-8.89,0.00,0.00,-0.03,7.00,6.50,35.69,0.23,-0.25,-0.94,-0.00
1691646, 4.16,-0.85,-8.94,0.00,0.00,-0.03,7.00,6.50,35.69,0.23,-0.25,-0.94,-0.00
1699069, 4.20,-1.08,-8.91,0.00,0.00,-0.02,7.00,6.50,35.69,0.23,-0.25,-0.94,-0.00
1703808, 4.20,-1.08,-8.91,0.00,0.00,-0.02,7.00,6.50,35.69,0.23,-0.25,-0.94,-0.00
1710701, 4.23,-1.04,-8.88,-0.00,-0.01,0.02,7.00,6.50,35.69,0.23,-0.25,-0.94,-0.00
