Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ,TimeAligned
1304,9.92,2.51,-0.71,0.19,-0.58,-0.2,-37.06,5.87,4.06,0.79,-0.01,-0.61,-0.02,221
1305,9.87,1.83,-0.57,0.34,-0.48,-0.07,-37.06,5.87,4.06,0.79,-0.0,-0.61,-0.02,222
1306,9.75,0.54,-0.37,0.46,-0.42,0.02,-37.06,5.87,4.06,0.79,-0.0,-0.62,-0.02,223
1307,9.88,0.18,0.14,0.55,-0.35,0.03,-37.06,5.87,4.06,0.79,-0.0,-0.62,-0.02,224
1308,9.99,0.0,0.48,0.58,-0.27,0.02,-37.0,4.5,3.69,0.79,0.0,-0.62,-0.02,225
1309,10.01,-0.15,0.54,0.54,-0.24,0.01,-37.0,4.5,3.69,0.79,0.0,-0.62,-0.02,226
1310,9.8,-0.21,0.94,0.45,-0.2,0.01,-37.0,4.5,3.69,0.79,0.01,-0.62,-0.01,227
1311,9.7,0.1,1.4,0.33,-0.15,-0.0,-37.0,4.5,3.69,0.78,0.01,-0.62,-0.01,228
1312,9.6,0.51,1.63,0.2,-0.11,-0.02,-37.0,4.5,3.69,0.78,0.01,-0.62,-0.01,229
1313,9.49,0.69,1.69,0.13,-0.12,-0.02,-36.56,5.87,4.75,0.78,0.01,-0.62,-0.01,230
1314,9.58,0.7,2.08,0.11,-0.11,-0.0,-36.56,5.87,4.75,0.78,0.01,-0.62,-0.01,231
1315,9.58,0.7,2.08,0.09,-0.1,0.02,-36.56,5.87,4.75,0.78,0.01,-0.62,-0.01,232
1316,9.56,0.36,2.48,0.08,-0.09,0.03,-36.56,5.87,4.75,0.78,0.01,-0.62,-0.01,233
1317,9.4,0.23,2.54,0.05,-0.1,0.02,-36.56,5.87,4.75,0.78,0.01,-0.62,-0.01,234
1318,9.12,0.42,2.75,-0.04,-0.09,0.01,-36.06,5.5,5.69,0.78,0.01,-0.62,-0.01,235
1319,9.0,0.46,2.58,-0.14,-0.09,0.03,-36.06,5.5,5.69,0.78,0.01,-0.62,-0.01,236
1320,9.0,0.46,2.58,-0.2,-0.1,0.04,-36.06,5.5,5.69,0.78,0.01,-0.62,-0.01,237
1321,9.18,0.63,2.57,-0.22,-0.1,0.03,-36.06,5.5,5.69,0.78,0.01,-0.62,-0.01,238
1322,9.26,0.66,2.44,-0.24,-0.12,0.0,-36.06,5.5,5.69,0.78,0.01,-0.62,-0.01,239
1323,9.26,0.54,2.15,-0.26,-0.13,-0.01,-37.56,5.0,6.87,0.78,0.0,-0.62,-0.01,240
1324,9.15,0.41,1.95,-0.3,-0.11,0.0,-37.56,5.0,6.87,0.78,0.0,-0.63,-0.01,241
1325,9.31,0.38,1.88,-0.36,-0.08,0.03,-37.56,5.0,6.87,0.78,0.0,-0.63,-0.02,242
1326,9.46,0.4,1.86,-0.41,-0.08,0.03,-37.56,5.0,6.87,0.78,0.0,-0.63,-0.02,243
1327,9.62,0.48,1.86,-0.45,-0.09,0.03,-37.56,5.0,6.87,0.78,-0.0,-0.63,-0.02,244
1328,9.72,0.55,1.84,-0.47,-0.09,0.03,-37.69,5.0,7.19,0.78,-0.0,-0.63,-0.02,245
1329,9.72,0.55,1.84,-0.49,-0.08,0.04,-37.69,5.0,7.19,0.78,-0.01,-0.63,-0.02,246
1330,9.61,0.61,1.6,-0.48,-0.05,0.06,-37.69,5.0,7.19,0.78,-0.01,-0.63,-0.02,247
1331,9.58,0.63,1.67,-0.45,-0.04,0.08,-37.69,5.0,7.19,0.78,-0.01,-0.63,-0.02,248
1332,9.58,0.63,1.67,-0.42,-0.04,0.09,-37.69,5.0,7.19,0.78,-0.01,-0.63,-0.02,249
1333,9.61,0.65,2.42,-0.39,-0.03,0.09,-36.75,6.56,6.37,0.78,-0.01,-0.63,-0.02,250
1334,9.61,0.65,2.42,-0.39,-0.03,0.09,-36.75,6.56,6.37,0.78,-0.01,-0.63,-0.03,251
1335,9.48,0.85,2.88,-0.39,-0.03,0.12,-36.75,6.56,6.37,0.78,-0.02,-0.63,-0.03,252
1336,9.0,0.62,3.16,-0.37,-0.03,0.11,-36.75,6.56,6.37,0.78,-0.02,-0.63,-0.03,253
1337,8.95,0.45,3.32,-0.33,-0.05,0.1,-36.75,6.56,6.37,0.78,-0.02,-0.63,-0.03,254
1338,9.06,0.27,3.47,-0.3,-0.07,0.1,-37.75,6.19,6.69,0.78,-0.02,-0.63,-0.03,255
1339,9.24,0.17,3.59,-0.29,-0.1,0.1,-37.75,6.19,6.69,0.78,-0.02,-0.63,-0.03,256
1340,9.34,-0.11,3.4,-0.3,-0.15,0.09,-37.75,6.19,6.69,0.78,-0.02,-0.63,-0.03,257
1341,9.24,-0.43,3.21,-0.28,-0.17,0.08,-37.75,6.19,6.69,0.78,-0.03,-0.63,-0.03,258
1342,9.19,-0.67,2.94,-0.26,-0.2,0.07,-37.75,6.19,6.69,0.78,-0.03,-0.63,-0.03,259
1343,9.19,-0.67,2.94,-0.26,-0.23,0.05,-37.38,6.19,6.69,0.78,-0.03,-0.63,-0.03,260
1344,9.77,-0.67,1.59,-0.36,-0.28,0.01,-37.38,6.19,6.69,0.77,-0.03,-0.63,-0.03,261
1345,9.95,-0.58,1.33,-0.4,-0.28,0.0,-37.38,6.19,6.69,0.77,-0.03,-0.63,-0.03,262
1346,9.94,-0.26,1.19,-0.42,-0.27,-0.0,-37.38,6.19,6.69,0.77,-0.03,-0.63,-0.03,263
1347,9.96,-0.13,1.18,-0.43,-0.25,0.01,-36.0,6.06,7.75,0.77,-0.04,-0.64,-0.04,264
