Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ,TimeAligned
1083,10.26,0.89,-2.64,0.37,0.36,-0.02,-35.19,8.38,15.88,0.71,-0.13,-0.69,-0.05,0
1084,9.81,-0.58,-1.79,0.58,0.23,0.04,-36.19,8.19,13.5,0.71,-0.12,-0.69,-0.05,1
1085,9.64,-1.3,-1.48,0.78,0.14,0.11,-36.19,8.19,13.5,0.71,-0.12,-0.69,-0.05,2
1086,9.52,-2.03,-1.18,0.9,0.0,0.21,-36.19,8.19,13.5,0.72,-0.11,-0.69,-0.04,3
1087,9.48,-1.76,-0.61,0.9,0.0,0.21,-36.19,8.19,13.5,0.72,-0.11,-0.69,-0.04,4
1088,9.38,-1.62,-0.35,0.6,0.01,0.12,-38.25,8.69,13.56,0.72,-0.11,-0.69,-0.03,5
1089,9.35,-1.41,-0.11,0.6,0.01,0.12,-38.25,8.69,13.56,0.72,-0.11,-0.69,-0.03,6
1090,9.51,-1.38,0.01,0.44,0.01,0.07,-38.25,8.69,13.56,0.72,-0.11,-0.69,-0.03,7
1091,9.46,-1.53,0.36,0.29,0.01,0.01,-38.25,8.69,13.56,0.72,-0.11,-0.69,-0.03,8
1092,9.37,-1.59,0.53,0.16,0.03,-0.02,-38.25,8.69,13.56,0.72,-0.11,-0.69,-0.03,9
1093,9.25,-1.3,0.67,-0.07,0.1,-0.01,-35.56,9.06,12.19,0.72,-0.11,-0.69,-0.03,10
1094,9.21,-0.91,0.7,-0.07,0.1,-0.01,-35.56,9.06,12.19,0.72,-0.11,-0.69,-0.03,11
1095,9.04,-0.57,0.84,-0.33,0.16,0.01,-35.56,9.06,12.19,0.72,-0.11,-0.69,-0.03,12
1096,8.99,-0.63,0.91,-0.37,0.12,0.03,-35.56,9.06,12.19,0.72,-0.11,-0.68,-0.03,13
1097,9.03,-0.73,0.83,-0.4,0.11,0.05,-35.56,9.06,12.19,0.72,-0.11,-0.68,-0.03,14
1098,9.05,-0.79,0.81,-0.43,0.09,0.06,-35.75,9.19,11.69,0.72,-0.12,-0.68,-0.04,15
1099,9.28,-0.78,0.3,-0.5,0.07,0.07,-35.75,9.19,11.69,0.72,-0.12,-0.68,-0.04,16
1100,9.41,-0.41,0.16,-0.52,0.06,0.07,-35.75,9.19,11.69,0.72,-0.12,-0.68,-0.04,17
1101,9.41,-0.41,0.16,-0.52,0.06,0.07,-35.75,9.19,11.69,0.72,-0.12,-0.68,-0.04,18
1102,9.64,-0.39,-0.03,-0.36,0.03,0.09,-36.75,8.88,13.19,0.72,-0.13,-0.68,-0.04,19
1103,9.64,-0.39,-0.03,-0.36,0.03,0.09,-36.75,8.88,13.19,0.72,-0.13,-0.68,-0.04,20
1104,9.72,-0.43,-0.06,-0.36,-0.0,0.11,-36.75,8.88,13.19,0.72,-0.13,-0.68,-0.04,21
1105,9.59,-0.68,0.03,-0.3,0.0,0.15,-36.75,8.88,13.19,0.72,-0.13,-0.68,-0.04,22
1106,9.59,-0.68,0.03,-0.3,0.0,0.15,-36.75,8.88,13.19,0.72,-0.13,-0.68,-0.04,23
1107,9.55,-0.67,0.25,-0.22,0.0,0.15,-36.25,8.88,12.37,0.72,-0.13,-0.68,-0.05,24
1108,9.58,-0.65,0.52,-0.22,0.0,0.15,-36.25,8.88,12.37,0.72,-0.13,-0.68,-0.05,25
1109,9.39,-0.53,1.02,-0.22,0.03,0.14,-36.25,8.88,12.37,0.72,-0.13,-0.68,-0.05,26
1110,9.1,-0.55,1.32,-0.15,0.02,0.17,-36.25,8.88,12.37,0.72,-0.14,-0.68,-0.05,27
1111,8.99,-0.59,1.4,-0.15,0.02,0.17,-36.25,8.88,12.37,0.72,-0.14,-0.68,-0.05,28
1112,8.9,-0.67,1.59,-0.15,0.0,0.16,-37.19,8.88,13.56,0.72,-0.14,-0.68,-0.05,29
1113,8.98,-0.9,1.88,-0.18,0.02,0.12,-37.19,8.88,13.56,0.72,-0.14,-0.68,-0.05,30
1114,9.0,-1.16,1.94,-0.18,0.07,0.1,-37.19,8.88,13.56,0.72,-0.14,-0.68,-0.05,31
1115,8.99,-1.45,1.91,-0.15,0.08,0.12,-37.19,8.88,13.56,0.72,-0.14,-0.68,-0.05,32
1116,8.84,-2.14,1.55,-0.17,0.07,0.13,-37.19,8.88,13.56,0.72,-0.14,-0.68,-0.05,33
1117,8.81,-2.49,1.24,-0.27,0.07,0.12,-35.88,9.25,12.75,0.72,-0.14,-0.68,-0.05,34
1118,8.91,-2.61,0.86,-0.41,0.08,0.12,-35.88,9.25,12.75,0.72,-0.14,-0.68,-0.05,35
1119,8.91,-2.61,0.86,-0.51,0.1,0.11,-35.88,9.25,12.75,0.72,-0.15,-0.68,-0.05,36
1120,9.64,-2.18,0.01,-0.57,0.1,0.09,-35.88,9.25,12.75,0.72,-0.15,-0.68,-0.05,37
1121,9.78,-1.88,-0.23,-0.62,0.06,0.06,-35.88,9.25,12.75,0.72,-0.15,-0.68,-0.05,38
1122,9.84,-1.63,-0.44,-0.66,0.03,0.03,-35.56,9.38,12.75,0.72,-0.15,-0.68,-0.05,39
1123,9.86,-1.46,-0.44,-0.66,0.01,0.02,-35.56,9.38,12.75,0.72,-0.16,-0.68,-0.06,40
1124,9.86,-1.29,-0.27,-0.6,-0.01,0.02,-35.56,9.38,12.75,0.72,-0.16,-0.68,-0.06,41
1125,9.84,-1.21,-0.19,-0.5,-0.01,0.02,-35.56,9.38,12.75,0.72,-0.16,-0.68,-0.06,42
1126,9.78,-1.17,-0.1,-0.36,-0.03,0.02,-35.56,9.38,12.75,0.72,-0.16,-0.68,-0.06,43
1127,9.77,-1.24,0.02,-0.21,-0.07,0.03,-35.56,9.0,13.5,0.72,-0.16,-0.68,-0.06,44
1128,9.77,-1.24,0.02,-0.08,-0.1,0.04,-35.56,9.0,13.5,0.72,-0.16,-0.68,-0.06,45
1129,9.52,-1.55,0.24,0.05,-0.11,0.05,-35.56,9.0,13.5,0.71,-0.16,-0.68,-0.06,46
1130,9.33,-1.66,0.33,0.21,-0.09,0.06,-35.56,9.0,13.5,0.71,-0.16,-0.68,-0.06,47
1131,9.33,-1.66,0.33,0.35,-0.09,0.08,-35.56,9.0,13.5,0.71,-0.16,-0.68,-0.06,48
1132,9.06,-1.83,0.3,0.43,-0.11,0.09,-36.25,9.06,13.5,0.71,-0.16,-0.68,-0.06,49
1133,9.06,-1.83,0.3,0.43,-0.11,0.09,-36.25,9.06,13.5,0.71,-0.16,-0.68,-0.06,50
1134,9.15,-1.94,0.18,0.47,-0.12,0.1,-36.25,9.06,13.5,0.71,-0.16,-0.68,-0.05,51
1135,9.3,-1.83,-0.26,0.45,-0.14,0.09,-36.25,9.06,13.5,0.71,-0.16,-0.68,-0.05,52
1136,9.44,-1.9,-0.35,0.38,-0.15,0.06,-36.25,9.06,13.5,0.71,-0.15,-0.68,-0.05,53
1137,9.49,-2.03,-0.32,0.3,-0.13,0.01,-37.06,10.19,13.06,0.71,-0.15,-0.68,-0.05,54
1138,9.46,-2.1,-0.28,0.22,-0.09,-0.02,-37.06,10.19,13.06,0.71,-0.15,-0.68,-0.05,55
1139,9.16,-2.09,-0.45,0.13,-0.06,-0.04,-37.06,10.19,13.06,0.71,-0.15,-0.68,-0.05,56
1140,9.16,-2.09,-0.45,-0.0,-0.04,-0.06,-37.06,10.19,13.06,0.71,-0.15,-0.68,-0.05,57
1141,9.33,-1.82,-0.53,-0.13,-0.02,-0.09,-37.06,10.19,13.06,0.71,-0.15,-0.68,-0.05,58
1142,9.33,-1.82,-0.53,-0.13,-0.02,-0.09,-35.56,9.75,13.5,0.71,-0.15,-0.68,-0.05,59
1143,9.72,-1.45,-0.16,-0.16,-0.02,-0.14,-35.56,9.75,13.5,0.71,-0.15,-0.68,-0.05,60
1144,9.46,-1.4,-0.01,-0.03,-0.02,-0.12,-35.56,9.75,13.5,0.71,-0.15,-0.68,-0.05,61
1145,9.46,-1.4,-0.01,0.11,-0.03,-0.1,-35.56,9.75,13.5,0.71,-0.15,-0.68,-0.05,62
1146,9.11,-1.34,0.43,0.23,-0.04,-0.1,-35.56,9.06,13.88,0.71,-0.15,-0.68,-0.05,63
1147,9.11,-1.34,0.43,0.29,-0.06,-0.1,-35.56,9.06,13.88,0.71,-0.15,-0.68,-0.05,64
