Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ,TimeAligned
1625,9.74,-3.59,0.02,-0.21,-0.2,-0.17,-35.88,17.06,13.38,0.73,-0.14,-0.66,0.03,542
1626,8.98,-2.38,0.66,-0.68,-0.08,-0.24,-35.88,17.06,13.38,0.73,-0.14,-0.66,0.03,543
1627,8.69,-1.48,1.13,-0.77,-0.0,-0.27,-35.88,17.06,13.38,0.73,-0.14,-0.66,0.02,544
1628,8.88,-2.01,1.03,-0.77,-0.0,-0.27,-35.88,17.06,13.38,0.73,-0.14,-0.66,0.02,545
1629,9.14,-2.71,0.96,-0.62,-0.04,-0.24,-35.88,17.06,13.38,0.73,-0.14,-0.67,0.02,546
1630,9.25,-2.96,0.91,-0.53,-0.04,-0.18,-35.88,17.06,13.38,0.73,-0.15,-0.67,0.02,547
1631,9.12,-2.87,0.89,-0.48,-0.03,-0.16,-36.5,17.37,14.5,0.73,-0.15,-0.67,0.01,548
1632,8.86,-2.89,1.07,-0.42,-0.0,-0.17,-36.5,17.37,14.5,0.73,-0.15,-0.67,0.01,549
1633,8.99,-3.14,1.14,-0.28,-0.01,-0.16,-36.5,17.37,14.5,0.73,-0.15,-0.67,0.01,550
1634,9.2,-3.31,1.35,-0.17,-0.03,-0.14,-36.5,17.37,14.5,0.73,-0.15,-0.67,0.01,551
1635,9.53,-3.29,1.44,-0.11,-0.06,-0.15,-36.5,17.37,14.5,0.73,-0.15,-0.67,0.01,552
1636,9.53,-3.29,1.44,-0.1,-0.08,-0.18,-37.0,17.87,13.69,0.73,-0.15,-0.67,0.01,553
1637,10.04,-1.75,1.54,-0.11,-0.09,-0.19,-37.0,17.87,13.69,0.73,-0.15,-0.67,0.01,554
1638,9.97,-1.24,1.54,-0.05,-0.1,-0.19,-37.0,17.87,13.69,0.73,-0.15,-0.67,0.01,555
1639,9.73,-1.14,1.33,0.23,-0.15,-0.15,-37.0,17.87,13.69,0.73,-0.15,-0.67,0.01,556
1640,9.61,-1.46,1.12,0.23,-0.15,-0.15,-37.0,17.87,13.69,0.73,-0.15,-0.67,0.01,557
1641,9.56,-1.83,0.92,0.32,-0.17,-0.13,-36.25,17.37,14.25,0.73,-0.14,-0.67,0.01,558
1642,9.56,-2.11,0.78,0.29,-0.17,-0.13,-36.25,17.37,14.25,0.73,-0.14,-0.67,0.01,559
1643,9.75,-2.62,0.12,0.14,-0.14,-0.15,-36.25,17.37,14.25,0.73,-0.14,-0.67,0.01,560
1644,9.79,-2.65,0.08,0.07,-0.11,-0.15,-36.25,17.37,14.25,0.73,-0.14,-0.67,0.01,561
1645,9.73,-2.71,-0.11,0.03,-0.09,-0.15,-35.5,16.0,13.88,0.73,-0.14,-0.67,0.01,562
1646,9.54,-2.51,-0.19,-0.03,-0.05,-0.15,-35.5,16.0,13.88,0.73,-0.14,-0.67,0.01,563
1647,9.51,-2.34,-0.18,-0.1,-0.01,-0.15,-35.5,16.0,13.88,0.73,-0.14,-0.67,0.0,564
1648,9.58,-2.21,-0.1,-0.14,0.01,-0.15,-35.5,16.0,13.88,0.73,-0.14,-0.67,0.0,565
1649,9.73,-1.84,-0.05,-0.17,0.05,-0.15,-36.88,15.5,13.06,0.73,-0.14,-0.67,0.0,566
1650,9.75,-1.54,0.12,-0.17,0.05,-0.15,-36.88,15.5,13.06,0.73,-0.14,-0.67,0.0,567
1651,9.76,-1.34,0.27,-0.17,0.09,-0.15,-36.88,15.5,13.06,0.73,-0.14,-0.67,0.0,568
1652,9.7,-1.27,0.38,-0.17,0.09,-0.15,-36.88,15.5,13.06,0.73,-0.14,-0.67,0.0,569
1653,9.56,-1.2,0.8,-0.13,0.1,-0.12,-36.88,15.5,13.06,0.73,-0.14,-0.67,-0.0,570
1654,9.47,-1.37,0.91,-0.06,0.11,-0.1,-36.88,15.5,13.06,0.73,-0.14,-0.67,-0.0,571
1655,9.4,-1.57,0.96,0.01,0.11,-0.09,-36.19,15.5,15.0,0.73,-0.14,-0.67,-0.0,572
1656,9.43,-1.73,1.03,0.02,0.11,-0.09,-36.19,15.5,15.0,0.73,-0.14,-0.67,-0.0,573
1657,9.69,-1.84,1.35,0.0,0.11,-0.09,-36.19,15.5,15.0,0.73,-0.14,-0.67,-0.0,574
1658,9.81,-1.83,1.44,0.0,0.09,-0.08,-36.19,15.5,15.0,0.73,-0.14,-0.67,-0.0,575
1659,9.82,-1.86,1.45,0.02,0.07,-0.08,-36.19,15.5,15.0,0.73,-0.14,-0.67,-0.0,576
1660,9.82,-1.86,1.45,0.05,0.06,-0.07,-36.5,14.87,14.56,0.73,-0.14,-0.67,-0.0,577
1661,9.47,-2.03,1.48,0.08,0.04,-0.06,-36.5,14.87,14.56,0.73,-0.14,-0.67,-0.0,578
1662,9.54,-2.03,1.45,0.08,0.03,-0.06,-36.5,14.87,14.56,0.73,-0.14,-0.67,-0.0,579
1663,9.6,-1.97,1.31,0.1,0.0,-0.05,-36.5,14.87,14.56,0.73,-0.13,-0.67,-0.0,580
1664,9.55,-1.72,1.07,0.1,0.0,-0.05,-36.5,14.87,14.56,0.73,-0.13,-0.67,-0.0,581
1665,9.49,-1.71,0.95,0.1,-0.0,-0.04,-36.56,14.87,13.06,0.73,-0.13,-0.67,-0.0,582
1666,9.46,-1.68,0.86,0.1,0.0,-0.03,-36.56,14.87,13.06,0.73,-0.13,-0.67,-0.0,583
1667,9.52,-1.68,0.7,0.07,0.01,-0.03,-36.56,14.87,13.06,0.73,-0.13,-0.67,-0.0,584
1668,9.67,-1.67,0.69,0.05,0.02,-0.02,-36.56,14.87,13.06,0.73,-0.13,-0.67,-0.0,585
1669,9.71,-1.67,0.8,0.03,0.03,-0.02,-36.56,14.87,13.06,0.73,-0.13,-0.67,-0.0,586
1670,9.74,-1.71,0.97,0.04,0.04,-0.01,-37.38,16.0,14.56,0.73,-0.13,-0.67,-0.0,587
1671,9.66,-1.72,1.02,0.05,0.04,-0.0,-37.38,16.0,14.56,0.73,-0.13,-0.67,-0.0,588
1672,9.43,-1.72,1.0,0.07,0.04,0.01,-37.38,16.0,14.56,0.73,-0.13,-0.67,-0.0,589
1673,9.4,-1.77,0.97,0.08,0.04,0.02,-37.38,16.0,14.56,0.73,-0.13,-0.67,-0.0,590
1674,9.42,-1.82,0.95,0.1,0.04,0.03,-37.38,16.0,14.56,0.73,-0.13,-0.67,-0.0,591
1675,9.65,-1.97,0.99,0.12,0.04,0.03,-36.88,15.56,13.5,0.73,-0.13,-0.67,-0.0,592
1676,9.71,-2.07,1.03,0.13,0.04,0.03,-36.88,15.56,13.5,0.73,-0.13,-0.67,-0.0,593
1677,9.7,-2.14,1.07,0.13,0.04,0.04,-36.88,15.56,13.5,0.73,-0.13,-0.67,0.0,594
1678,9.67,-2.12,1.19,0.1,0.04,0.04,-36.88,15.56,13.5,0.73,-0.13,-0.67,0.0,595
1679,9.59,-1.9,1.29,0.06,0.04,0.03,-36.88,15.56,13.5,0.73,-0.13,-0.67,0.0,596
1680,9.5,-1.79,1.25,0.04,0.03,0.04,-36.88,14.56,13.88,0.73,-0.13,-0.67,0.0,597
1681,9.5,-1.79,1.25,0.03,0.02,0.05,-36.88,14.56,13.88,0.73,-0.13,-0.67,0.0,598
1682,9.39,-1.69,1.23,0.03,0.02,0.05,-36.88,14.56,13.88,0.73,-0.13,-0.67,0.0,599
1683,9.58,-1.8,1.19,0.03,0.01,0.05,-36.88,14.56,13.88,0.73,-0.13,-0.67,0.0,600
1684,9.58,-1.8,1.19,0.04,0.01,0.05,-36.88,14.56,13.88,0.73,-0.13,-0.67,0.0,601
1685,9.55,-1.87,1.17,0.04,0.0,0.05,-36.19,15.56,13.5,0.73,-0.13,-0.67,0.0,602
1686,9.54,-2.1,1.15,0.03,-0.01,0.05,-36.19,15.56,13.5,0.73,-0.13,-0.67,0.0,603
1687,9.55,-2.17,1.14,0.03,-0.01,0.05,-36.19,15.56,13.5,0.73,-0.13,-0.67,0.0,604
1688,9.56,-2.18,1.14,0.02,-0.02,0.05,-36.19,15.56,13.5,0.73,-0.13,-0.67,0.0,605
1689,9.53,-2.14,1.15,0.01,-0.02,0.04,-36.88,15.56,14.56,0.73,-0.13,-0.67,0.0,606
1690,9.5,-1.96,1.05,-0.01,-0.02,0.04,-36.88,15.56,14.56,0.73,-0.13,-0.67,0.0,607
1691,9.53,-1.86,1.02,0.0,-0.03,0.05,-36.88,15.56,14.56,0.73,-0.13,-0.67,0.0,608
