Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ,TimeAligned
1851,9.94,-1.17,-2.27,-0.2,0.24,-0.09,-32.5,8.69,20.5,0.67,0.01,-0.74,0.05,768
1852,9.76,-0.67,-2.0,-0.28,0.21,-0.09,-32.5,8.69,20.5,0.67,0.01,-0.74,0.05,769
1853,9.69,-0.34,-1.86,-0.31,0.21,-0.09,-32.5,8.69,20.5,0.67,0.01,-0.74,0.05,770
1854,9.87,-0.02,-1.89,-0.29,0.18,-0.09,-32.5,9.38,19.69,0.67,0.01,-0.74,0.05,771
1855,9.96,0.0,-1.66,-0.24,0.16,-0.08,-32.5,9.38,19.69,0.67,0.01,-0.74,0.05,772
1856,9.97,0.0,-1.41,-0.21,0.16,-0.07,-32.5,9.38,19.69,0.67,0.01,-0.74,0.05,773
1857,9.97,0.0,-1.41,-0.23,0.13,-0.08,-32.5,9.38,19.69,0.67,0.01,-0.74,0.04,774
1858,9.65,0.32,-0.79,-0.21,0.11,-0.09,-32.5,9.38,19.69,0.67,0.01,-0.74,0.04,775
1859,9.65,0.32,-0.79,-0.21,0.11,-0.09,-33.56,8.69,19.25,0.67,0.01,-0.74,0.04,776
1860,9.57,0.2,-0.67,-0.08,0.07,-0.09,-33.56,8.69,19.25,0.67,0.01,-0.74,0.04,777
1861,9.68,-0.09,-0.44,-0.04,0.08,-0.09,-33.56,8.69,19.25,0.67,0.01,-0.74,0.04,778
1862,9.75,-0.22,-0.17,-0.01,0.1,-0.09,-33.56,8.69,19.25,0.67,0.01,-0.74,0.04,779
1863,9.83,-0.24,-0.06,-0.01,0.1,-0.07,-33.56,8.69,19.25,0.67,0.01,-0.74,0.04,780
1864,9.82,-0.25,-0.09,0.02,0.09,-0.06,-32.5,8.38,19.69,0.67,0.01,-0.74,0.04,781
1865,9.75,-0.31,-0.1,0.06,0.1,-0.05,-32.5,8.38,19.69,0.67,0.01,-0.74,0.04,782
1866,9.75,-0.31,-0.1,0.07,0.13,-0.04,-32.5,8.38,19.69,0.67,0.01,-0.74,0.04,783
1867,9.71,-0.32,-0.16,0.09,0.15,-0.03,-32.5,8.38,19.69,0.67,0.01,-0.74,0.04,784
1868,9.68,-0.24,-0.34,0.1,0.16,-0.02,-32.5,8.38,19.69,0.67,0.01,-0.74,0.04,785
1869,9.69,-0.21,-0.56,0.09,0.16,-0.01,-32.75,8.25,18.87,0.68,0.01,-0.74,0.04,786
1870,9.68,-0.19,-0.76,0.1,0.14,-0.0,-32.75,8.25,18.87,0.68,0.01,-0.74,0.04,787
1871,9.75,-0.17,-0.93,0.12,0.13,-0.01,-32.75,8.25,18.87,0.68,0.01,-0.74,0.04,788
1872,9.81,-0.21,-1.0,0.11,0.12,-0.01,-32.75,8.25,18.87,0.68,0.01,-0.74,0.04,789
1873,9.81,-0.21,-1.0,0.08,0.1,-0.02,-32.75,8.25,18.87,0.68,0.01,-0.73,0.04,790
1874,9.85,-0.28,-0.84,0.07,0.1,-0.01,-33.19,7.87,19.25,0.68,0.01,-0.73,0.04,791
1875,9.85,-0.28,-0.84,0.05,0.11,0.0,-33.19,7.87,19.25,0.68,0.01,-0.73,0.04,792
1876,9.79,-0.23,-0.59,0.03,0.11,0.01,-33.19,7.87,19.25,0.68,0.01,-0.73,0.04,793
1877,9.65,-0.23,-0.56,0.04,0.1,-0.0,-33.19,7.87,19.25,0.68,0.01,-0.73,0.04,794
1878,9.58,-0.23,-0.63,0.07,0.09,-0.01,-33.19,7.87,19.25,0.68,0.02,-0.73,0.04,795
1879,9.73,-0.24,-0.62,0.09,0.08,0.0,-34.0,7.56,18.87,0.68,0.02,-0.73,0.04,796
1880,9.81,-0.33,-0.63,0.1,0.06,0.01,-34.0,7.56,18.87,0.68,0.02,-0.73,0.05,797
1881,9.89,-0.49,-0.58,0.11,0.05,0.02,-34.0,7.56,18.87,0.68,0.02,-0.73,0.05,798
1882,9.91,-0.71,-0.44,0.1,0.06,0.03,-34.0,7.56,18.87,0.68,0.02,-0.73,0.05,799
1883,9.91,-0.65,-0.35,0.06,0.06,0.04,-34.0,7.56,18.87,0.68,0.02,-0.73,0.05,800
1884,9.8,-0.56,-0.25,0.02,0.05,0.04,-33.19,7.87,18.5,0.68,0.02,-0.73,0.05,801
1885,9.68,-0.38,-0.24,-0.01,0.04,0.04,-33.19,7.87,18.5,0.68,0.02,-0.73,0.05,802
1886,9.66,-0.24,-0.25,-0.03,0.03,0.03,-33.19,7.87,18.5,0.68,0.02,-0.73,0.05,803
1887,9.69,-0.24,-0.21,-0.01,0.01,0.03,-33.19,7.87,18.5,0.68,0.02,-0.73,0.05,804
1888,9.74,-0.25,-0.26,-0.01,0.01,0.03,-33.19,7.87,18.5,0.68,0.02,-0.73,0.05,805
1889,9.76,-0.36,-0.33,0.02,-0.0,0.02,-32.75,7.87,18.87,0.68,0.02,-0.73,0.05,806
1890,9.76,-0.42,-0.35,0.02,-0.0,0.02,-32.75,7.87,18.87,0.68,0.02,-0.73,0.05,807
1891,9.74,-0.51,-0.37,0.03,0.0,0.03,-32.75,7.87,18.87,0.68,0.02,-0.73,0.05,808
1892,9.76,-0.55,-0.33,0.03,0.0,0.04,-32.75,7.87,18.87,0.68,0.02,-0.73,0.05,809
1893,9.79,-0.64,-0.39,0.03,0.0,0.04,-32.75,7.87,18.87,0.68,0.02,-0.73,0.05,810
1894,9.77,-0.63,-0.46,0.02,0.0,0.05,-32.75,7.87,18.5,0.68,0.01,-0.73,0.05,811
1895,9.69,-0.56,-0.52,0.01,-0.0,0.04,-32.75,7.87,18.5,0.68,0.01,-0.73,0.05,812
1896,9.74,-0.59,-0.58,0.01,-0.01,0.04,-32.75,7.87,18.5,0.68,0.01,-0.73,0.05,813
1897,9.79,-0.54,-0.62,0.0,-0.01,0.05,-32.75,7.87,18.5,0.68,0.01,-0.73,0.05,814
1898,9.79,-0.54,-0.62,-0.02,-0.02,0.06,-32.75,7.87,18.5,0.68,0.01,-0.73,0.05,815
1899,9.77,-0.65,-0.63,-0.03,-0.03,0.05,-33.56,7.56,18.5,0.68,0.01,-0.73,0.05,816
1900,9.77,-0.62,-0.63,-0.05,-0.04,0.05,-33.56,7.56,18.5,0.68,0.01,-0.73,0.05,817
1901,9.75,-0.59,-0.55,-0.05,-0.04,0.05,-33.56,7.56,18.5,0.68,0.01,-0.73,0.05,818
1902,9.76,-0.62,-0.48,-0.07,-0.05,0.06,-33.56,7.56,18.5,0.68,0.01,-0.73,0.05,819
1903,9.7,-0.52,-0.49,-0.07,-0.06,0.07,-33.56,7.56,18.5,0.68,0.01,-0.73,0.05,820
1904,9.66,-0.49,-0.4,-0.06,-0.05,0.06,-33.19,8.69,18.06,0.68,0.01,-0.73,0.05,821
1905,9.67,-0.48,-0.4,-0.05,-0.04,0.05,-33.19,8.69,18.06,0.68,0.01,-0.73,0.05,822
1906,9.69,-0.55,-0.43,-0.04,-0.05,0.05,-33.19,8.69,18.06,0.68,0.01,-0.73,0.05,823
1907,9.72,-0.66,-0.63,-0.03,-0.05,0.05,-33.19,8.69,18.06,0.68,0.01,-0.73,0.05,824
1908,9.69,-0.69,-0.54,-0.01,-0.05,0.05,-33.19,8.69,18.06,0.68,0.01,-0.73,0.05,825
1909,9.72,-0.71,-0.56,-0.01,-0.04,0.05,-33.25,9.38,17.69,0.68,0.01,-0.73,0.05,826
1910,9.77,-0.72,-0.68,-0.02,-0.03,0.05,-33.25,9.38,17.69,0.68,0.01,-0.73,0.05,827
1911,9.83,-0.82,-0.62,-0.03,-0.02,0.05,-33.25,9.38,17.69,0.68,0.01,-0.73,0.05,828
1912,9.85,-0.78,-0.64,-0.03,-0.02,0.06,-33.25,9.38,17.69,0.68,0.01,-0.73,0.05,829
1913,9.85,-0.78,-0.64,-0.05,-0.02,0.06,-33.25,9.38,17.69,0.68,0.01,-0.73,0.05,830
1914,9.74,-0.61,-0.63,-0.04,-0.03,0.06,-32.88,8.69,18.5,0.68,0.01,-0.73,0.05,831
1915,9.74,-0.61,-0.63,-0.04,-0.02,0.05,-32.88,8.69,18.5,0.68,0.01,-0.73,0.05,832
1916,9.72,-0.54,-0.6,-0.03,-0.03,0.05,-32.88,8.69,18.5,0.68,0.01,-0.73,0.05,833
1917,9.74,-0.56,-0.69,-0.01,-0.02,0.05,-32.88,8.69,18.5,0.68,0.01,-0.73,0.05,834
1918,9.86,-0.76,-0.57,-0.01,-0.01,0.06,-32.88,8.69,18.5,0.68,0.01,-0.73,0.05,835
1919,9.86,-0.76,-0.57,-0.01,0.01,0.06,-32.88,8.25,18.06,0.68,0.01,-0.73,0.05,836
1920,9.97,-0.99,-0.58,-0.01,0.02,0.06,-32.88,8.25,18.06,0.68,0.01,-0.73,0.05,837
1921,9.79,-1.05,-0.64,-0.01,0.02,0.06,-32.88,8.25,18.06,0.68,0.01,-0.73,0.05,838
1922,9.79,-1.05,-0.64,-0.03,0.02,0.06,-32.88,8.25,18.06,0.68,0.01,-0.73,0.05,839
1923,9.72,-0.89,-0.58,-0.05,0.03,0.06,-32.88,8.25,18.06,0.68,0.01,-0.73,0.05,840
1924,9.72,-0.89,-0.58,-0.05,0.03,0.06,-33.25,8.69,18.06,0.68,0.01,-0.73,0.05,841
1925,9.72,-0.68,-0.5,-0.08,0.03,0.06,-33.25,8.69,18.06,0.68,0.01,-0.73,0.05,842
1926,9.76,-0.65,-0.53,-0.09,0.03,0.06,-33.25,8.69,18.06,0.68,0.0,-0.73,0.05,843
1927,9.8,-0.68,-0.48,-0.09,0.03,0.06,-33.25,8.69,18.06,0.68,0.0,-0.73,0.05,844
1928,9.79,-0.63,-0.55,-0.07,0.03,0.05,-33.25,8.69,18.06,0.68,0.0,-0.73,0.05,845
1929,9.7,-0.6,-0.55,-0.06,0.03,0.04,-32.88,8.69,18.06,0.68,0.0,-0.73,0.05,846
