Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatW,QuatX,QuatY,QuatZ
0   , 0.48, 8.99, -0.23, 0.01, -0.01, -0.01, 14.56, -35.38, 10.69, 0.70, 0.71, -0.04, -0.00
1   , 0.48, 9.03, -0.24, 0.01, -0.02, -0.00, 13.75, -35.38, 9.88, 0.70, 0.71, -0.04, -0.00
2   , 0.48, 9.03, -0.24, 0.00, -0.02, -0.01, 13.75, -35.38, 9.88, 0.70, 0.71, -0.04, -0.00
3   , 0.43, 9.03, -0.24, 0.00, -0.02, -0.01, 13.75, -35.38, 9.88, 0.70, 0.71, -0.04, -0.00
4   , 0.45, 9.01, -0.23, 0.00, -0.02, -0.00, 13.75, -35.38, 9.88, 0.70, 0.71, -0.04, -0.00
5   , 0.47, 9.03, -0.19, -0.00, -0.02, -0.00, 13.75, -35.38, 9.88, 0.70, 0.71, -0.04, -0.00
6   , 0.48, 9.03, -0.21, -0.00, -0.02, -0.00, 14.87, -35.38, 11.88, 0.70, 0.71, -0.04, -0.00
7   , 0.45, 9.02, -0.17, -0.00, -0.03, -0.00, 14.87, -35.38, 11.88, 0.70, 0.71, -0.04, -0.00
8   , 0.44, 9.01, -0.19, -0.00, -0.03, -0.00, 14.87, -35.38, 11.88, 0.70, 0.71, -0.04, -0.00
9   , 0.44, 9.01, -0.19, -0.00, -0.03, -0.00, 14.87, -35.38, 11.88, 0.70, 0.71, -0.04, -0.00
10   , 0.43, 9.06, -0.17, -0.00, -0.03, -0.00, 14.87, -35.38, 11.88, 0.70, 0.71, -0.04, -0.00
11   , 0.43, 9.06, -0.17, -0.00, -0.03, -0.00, 7.56, -20.50, 6.06, 0.70, 0.71, -0.04, -0.00
12   , 0.40, 9.02, -0.15, -0.00, -0.03, -0.00, 7.56, -20.50, 6.06, 0.70, 0.71, -0.04, -0.00
13   , 0.45, 9.02, -0.17, -0.01, -0.03, 0.00, 7.56, -20.50, 6.06, 0.70, 0.71, -0.04, -0.00
14   , 0.45, 9.03, -0.16, -0.01, -0.03, -0.00, 7.56, -20.50, 6.06, 0.70, 0.71, -0.04, -0.00
15   , 0.46, 8.99, -0.14, -0.00, -0.02, 0.00, 7.56, -20.50, 6.06, 0.70, 0.71, -0.04, -0.00
16   , 0.47, 9.01, -0.13, -0.01, -0.02, 0.00, 9.69, -22.25, 8.06, 0.70, 0.71, -0.04, -0.00
17   , 0.50, 9.02, -0.14, -0.00, -0.02, 0.00, 9.69, -22.25, 8.06, 0.70, 0.71, -0.04, -0.00
18   , 0.49, 9.04, -0.18, -0.00, -0.03, 0.00, 9.69, -22.25, 8.06, 0.70, 0.71, -0.04, -0.00
19   , 0.48, 9.04, -0.16, -0.00, -0.03, 0.00, 9.69, -22.25, 8.06, 0.70, 0.71, -0.04, -0.00
20   , 0.43, 9.03, -0.13, -0.00, -0.04, -0.00, 9.69, -22.25, 8.06, 0.70, 0.71, -0.04, -0.00
21   , 0.43, 9.03, -0.14, -0.00, -0.03, 0.00, 9.25, -22.00, 7.37, 0.70, 0.71, -0.04, -0.00
22   , 0.40, 9.05, -0.11, -0.00, -0.02, 0.00, 9.25, -22.00, 7.37, 0.70, 0.71, -0.04, -0.00
23   , 0.44, 9.04, -0.15, -0.00, -0.02, 0.00, 9.25, -22.00, 7.37, 0.70, 0.71, -0.04, -0.00
24   , 0.48, 9.02, -0.11, 0.00, -0.02, 0.00, 9.25, -22.00, 7.37, 0.70, 0.71, -0.04, -0.00
25   , 0.48, 9.02, -0.11, 0.00, -0.02, 0.00, 9.25, -22.00, 7.37, 0.70, 0.71, -0.04, -0.00
26   , 0.46, 9.01, -0.10, 0.00, -0.03, -0.00, 10.00, -21.50, 7.37, 0.70, 0.71, -0.04, -0.00
27   , 0.46, 9.01, -0.10, 0.00, -0.03, -0.00, 10.00, -21.50, 7.37, 0.70, 0.71, -0.04, -0.00
28   , 0.45, 9.05, -0.14, 0.00, -0.02, 0.00, 10.00, -21.50, 7.37, 0.70, 0.71, -0.04, -0.00
29   , 0.44, 9.03, -0.15, 0.00, -0.03, -0.00, 10.00, -21.50, 7.37, 0.70, 0.71, -0.04, -0.00
30   , 0.44, 9.06, -0.15, 0.00, -0.02, 0.00, 10.00, -21.50, 7.37, 0.70, 0.71, -0.04, -0.01
31   , 0.42, 9.03, -0.15, 0.00, -0.02, 0.00, 9.00, -21.37, 6.87, 0.70, 0.71, -0.04, -0.01
32   , 0.43, 9.00, -0.18, 0.00, -0.02, -0.00, 9.00, -21.37, 6.87, 0.70, 0.71, -0.04, -0.01
33   , 0.46, 9.05, -0.18, 0.00, -0.01, 0.00, 9.00, -21.37, 6.87, 0.70, 0.71, -0.04, -0.01
34   , 0.46, 9.05, -0.18, 0.00, -0.01, 0.00, 9.00, -21.37, 6.87, 0.70, 0.71, -0.04, -0.01
35   , 0.43, 9.04, -0.16, 0.00, -0.01, 0.00, 9.00, -21.37, 6.87, 0.70, 0.71, -0.04, -0.01
36   , 0.45, 9.03, -0.16, 0.00, -0.01, 0.00, 8.25, -21.75, 8.00, 0.70, 0.71, -0.04, -0.01
37   , 0.46, 9.02, -0.16, 0.00, -0.01, 0.00, 8.25, -21.75, 8.00, 0.70, 0.71, -0.04, -0.01
38   , 0.47, 9.04, -0.20, 0.00, -0.00, 0.01, 8.25, -21.75, 8.00, 0.70, 0.71, -0.04, -0.01
39   , 0.47, 9.04, -0.20, 0.00, -0.01, 0.00, 8.25, -21.75, 8.00, 0.70, 0.71, -0.04, -0.01
40   , 0.47, 9.04, -0.15, 0.00, -0.01, 0.00, 8.25, -21.75, 8.00, 0.70, 0.71, -0.04, -0.01
41   , 0.47, 9.04, -0.15, 0.01, -0.01, -0.00, 7.87, -21.75, 6.50, 0.70, 0.71, -0.04, -0.01
42   , 0.47, 9.04, -0.12, 0.01, -0.01, -0.00, 7.87, -21.75, 6.50, 0.70, 0.71, -0.04, -0.01
43   , 0.47, 9.06, -0.15, 0.00, -0.02, 0.00, 7.87, -21.75, 6.50, 0.70, 0.71, -0.04, -0.01
44   , 0.45, 9.04, -0.13, 0.01, -0.02, 0.00, 7.87, -21.75, 6.50, 0.70, 0.71, -0.04, -0.01
45   , 0.45, 9.01, -0.14, 0.01, -0.02, 0.00, 7.87, -21.75, 6.50, 0.70, 0.71, -0.04, -0.01
46   , 0.46, 9.04, -0.14, 0.00, -0.02, -0.00, 8.25, -21.37, 6.50, 0.70, 0.71, -0.04, -0.01
47   , 0.47, 9.02, -0.18, 0.00, -0.02, -0.00, 8.25, -21.37, 6.50, 0.70, 0.71, -0.04, -0.01
48   , 0.45, 9.02, -0.19, 0.01, -0.02, 0.00, 8.25, -21.37, 6.50, 0.70, 0.71, -0.04, -0.01
49   , 0.45, 9.03, -0.17, 0.01, -0.02, -0.00, 8.25, -21.37, 6.50, 0.70, 0.71, -0.04, -0.01
50   , 0.43, 9.04, -0.16, 0.01, -0.02, 0.00, 8.25, -21.37, 6.50, 0.70, 0.71, -0.04, -0.01
51   , 0.45, 9.05, -0.12, 0.01, -0.02, -0.00, 8.25, -20.69, 6.06, 0.70, 0.71, -0.04, -0.01
52   , 0.44, 9.05, -0.15, 0.01, -0.01, -0.00, 8.25, -20.69, 6.06, 0.70, 0.71, -0.04, -0.01
53   , 0.45, 9.03, -0.15, 0.01, -0.01, 0.00, 8.25, -20.69, 6.06, 0.70, 0.71, -0.04, -0.01
54   , 0.43, 9.03, -0.15, 0.01, -0.01, 0.00, 8.25, -20.69, 6.06, 0.70, 0.71, -0.04, -0.01
55   , 0.44, 9.01, -0.14, 0.01, 0.00, 0.00, 8.25, -20.69, 6.06, 0.70, 0.71, -0.04, -0.01
56   , 0.45, 9.01, -0.18, 0.01, 0.01, 0.00, 7.87, -21.37, 7.69, 0.70, 0.71, -0.04, -0.01
57   , 0.48, 9.03, -0.19, 0.01, 0.01, 0.00, 7.87, -21.37, 7.69, 0.70, 0.71, -0.04, -0.01
58   , 0.47, 9.04, -0.21, 0.01, 0.01, 0.00, 7.87, -21.37, 7.69, 0.70, 0.71, -0.04, -0.01
59   , 0.47, 9.04, -0.21, 0.01, 0.01, 0.00, 7.87, -21.37, 7.69, 0.70, 0.71, -0.04, -0.01
60   , 0.47, 9.03, -0.21, 0.01, 0.00, 0.00, 7.87, -21.37, 7.69, 0.70, 0.71, -0.04, -0.01
61   , 0.46, 9.03, -0.25, 0.01, -0.00, 0.00, 8.25, -21.75, 6.06, 0.70, 0.71, -0.04, -0.01
62   , 0.46, 9.03, -0.21, 0.01, -0.01, 0.00, 8.25, -21.75, 6.06, 0.70, 0.71, -0.04, -0.01
