Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 1.18, 8.71, 2.73, -0.26, -0.05, -0.04, -11.38, -45.56, -24.19, 1.00, -0.05, -0.01, -0.00
1   , 1.18, 8.71, 2.73, -0.26, -0.05, -0.04, -11.38, -45.56, -24.19, 1.00, -0.05, -0.01, -0.00
2   , 1.01, 8.66, 2.75, -0.24, -0.05, -0.04, -11.38, -45.56, -24.19, 0.81, 0.59, -0.09, -0.01
3   , 0.99, 8.69, 2.79, -0.23, -0.03, -0.04, -5.19, -27.00, -14.38, 0.81, 0.59, -0.09, -0.01
4   , 0.92, 8.73, 2.82, -0.22, -0.01, -0.04, -5.19, -27.00, -14.38, 0.81, 0.58, -0.09, -0.01
5   , 0.92, 8.73, 2.82, -0.22, -0.01, -0.04, -5.19, -27.00, -14.38, 0.81, 0.58, -0.09, -0.01
6   , 0.85, 8.72, 3.04, -0.22, 0.03, -0.04, -5.19, -27.00, -14.38, 0.81, 0.58, -0.09, -0.01
7   , 0.89, 8.72, 3.07, -0.22, 0.05, -0.03, -5.19, -27.00, -14.38, 0.81, 0.58, -0.09, -0.01
8   , 0.90, 8.71, 3.11, -0.21, 0.05, -0.03, -6.06, -25.88, -13.25, 0.81, 0.58, -0.09, -0.01
9   , 0.93, 8.70, 3.16, -0.19, 0.06, -0.03, -6.06, -25.88, -13.25, 0.81, 0.58, -0.08, -0.01
10   , 0.93, 8.64, 3.25, -0.18, 0.04, -0.03, -6.06, -25.88, -13.25, 0.81, 0.58, -0.08, -0.01
11   , 0.90, 8.63, 3.31, -0.17, 0.03, -0.03, -6.06, -25.88, -13.25, 0.81, 0.58, -0.08, -0.01
12   , 0.87, 8.63, 3.33, -0.14, 0.02, -0.03, -6.06, -25.88, -13.25, 0.81, 0.58, -0.08, -0.01
13   , 0.71, 8.55, 3.34, -0.13, 0.02, -0.02, -6.06, -25.00, -15.00, 0.81, 0.58, -0.08, -0.01
14   , 0.71, 8.55, 3.34, -0.10, 0.01, -0.02, -6.06, -25.00, -15.00, 0.81, 0.58, -0.08, -0.01
15   , 0.54, 8.67, 3.31, -0.07, -0.00, -0.01, -6.06, -25.00, -15.00, 0.81, 0.58, -0.08, -0.01
16   , 0.44, 8.65, 3.34, -0.04, 0.02, 0.00, -6.06, -25.00, -15.00, 0.81, 0.58, -0.08, -0.01
17   , 0.44, 8.65, 3.34, -0.03, 0.04, 0.01, -6.06, -25.00, -15.00, 0.81, 0.58, -0.08, -0.01
18   , 0.37, 8.64, 3.62, -0.04, 0.08, 0.03, -6.87, -25.19, -15.56, 0.81, 0.58, -0.08, -0.01
19   , 0.37, 8.64, 3.62, -0.04, 0.08, 0.03, -6.87, -25.19, -15.56, 0.81, 0.58, -0.08, -0.01
20   , 0.59, 8.70, 3.78, -0.04, 0.19, 0.07, -6.87, -25.19, -15.56, 0.81, 0.58, -0.08, -0.01
21   , 0.87, 8.63, 3.69, -0.03, 0.21, 0.07, -6.87, -25.19, -15.56, 0.81, 0.58, -0.08, -0.01
22   , 0.94, 8.59, 3.64, -0.03, 0.22, 0.08, -6.87, -25.19, -15.56, 0.81, 0.58, -0.08, -0.01
23   , 0.97, 8.51, 3.56, -0.02, 0.21, 0.07, -6.00, -26.37, -15.56, 0.81, 0.58, -0.08, -0.01
24   , 1.00, 8.46, 3.48, -0.02, 0.20, 0.06, -6.00, -26.37, -15.56, 0.81, 0.58, -0.08, -0.01
25   , 1.08, 8.43, 3.31, -0.03, 0.17, 0.05, -6.00, -26.37, -15.56, 0.81, 0.58, -0.08, -0.01
26   , 1.08, 8.43, 3.31, -0.04, 0.14, 0.04, -6.00, -26.37, -15.56, 0.81, 0.58, -0.08, -0.01
27   , 1.18, 8.44, 3.21, -0.04, 0.11, 0.03, -6.00, -26.37, -15.56, 0.81, 0.58, -0.08, -0.01
28   , 1.18, 8.44, 3.21, -0.04, 0.11, 0.03, -4.25, -26.06, -15.50, 0.81, 0.58, -0.08, -0.01
29   , 1.47, 8.52, 2.97, -0.02, 0.05, -0.00, -4.25, -26.06, -15.50, 0.81, 0.58, -0.08, -0.01
30   , 1.49, 8.68, 2.90, -0.02, 0.00, -0.02, -4.25, -26.06, -15.50, 0.81, 0.58, -0.08, -0.01
31   , 1.49, 8.68, 2.90, -0.02, 0.00, -0.02, -4.25, -26.06, -15.50, 0.81, 0.58, -0.08, -0.01
32   , 1.33, 8.79, 3.02, -0.02, -0.09, -0.04, -4.25, -26.06, -15.50, 0.81, 0.58, -0.08, -0.01
33   , 1.33, 8.79, 3.02, -0.02, -0.09, -0.04, -4.25, -26.06, -15.50, 0.81, 0.58, -0.08, -0.01
34   , 1.08, 8.77, 3.09, -0.03, -0.17, -0.07, -5.69, -26.25, -16.06, 0.81, 0.58, -0.08, -0.01
35   , 0.92, 8.76, 3.15, -0.03, -0.18, -0.08, -5.69, -26.25, -16.06, 0.81, 0.57, -0.08, -0.01
36   , 0.76, 8.70, 3.23, -0.03, -0.17, -0.08, -5.69, -26.25, -16.06, 0.81, 0.57, -0.08, -0.01
37   , 0.74, 8.67, 3.18, -0.01, -0.15, -0.07, -5.69, -26.25, -16.06, 0.81, 0.57, -0.08, -0.01
38   , 0.69, 8.67, 3.15, 0.01, -0.13, -0.05, -6.19, -26.75, -16.00, 0.81, 0.57, -0.08, -0.01
39   , 0.66, 8.61, 3.16, 0.01, -0.11, -0.05, -6.19, -26.75, -16.00, 0.81, 0.57, -0.08, -0.01
40   , 0.53, 8.60, 3.26, 0.01, -0.09, -0.04, -6.19, -26.75, -16.00, 0.81, 0.58, -0.08, -0.01
41   , 0.45, 8.58, 3.25, 0.02, -0.06, -0.03, -6.19, -26.75, -16.00, 0.81, 0.58, -0.08, -0.01
42   , 0.45, 8.58, 3.28, 0.03, -0.03, -0.02, -6.19, -26.75, -16.00, 0.81, 0.58, -0.08, -0.01
43   , 0.62, 8.64, 3.37, 0.07, 0.10, 0.03, -7.00, -26.37, -14.69, 0.81, 0.58, -0.08, -0.01
44   , 0.68, 8.69, 3.35, 0.07, 0.10, 0.03, -7.00, -26.37, -14.69, 0.81, 0.58, -0.08, -0.01
45   , 0.72, 8.73, 3.34, 0.07, 0.13, 0.04, -7.00, -26.37, -14.69, 0.81, 0.58, -0.08, -0.01
46   , 0.82, 8.71, 3.26, 0.08, 0.13, 0.04, -7.00, -26.37, -14.69, 0.81, 0.58, -0.08, -0.01
47   , 0.82, 8.71, 3.26, 0.08, 0.11, 0.04, -8.06, -26.69, -14.25, 0.81, 0.58, -0.08, -0.01
48   , 0.88, 8.60, 3.22, 0.07, 0.10, 0.03, -8.06, -26.69, -14.25, 0.81, 0.58, -0.08, -0.01
49   , 0.88, 8.56, 3.16, 0.06, 0.08, 0.02, -8.06, -26.69, -14.25, 0.81, 0.58, -0.08, -0.01
50   , 0.89, 8.51, 3.13, 0.04, 0.08, 0.02, -8.06, -26.69, -14.25, 0.81, 0.58, -0.08, -0.01
51   , 0.88, 8.55, 3.09, 0.05, 0.08, 0.02, -8.06, -26.69, -14.25, 0.81, 0.58, -0.08, -0.01
52   , 0.88, 8.55, 3.04, 0.06, 0.10, 0.02, -6.19, -26.50, -14.75, 0.81, 0.58, -0.08, -0.01
53   , 0.87, 8.63, 3.00, 0.07, 0.10, 0.02, -6.19, -26.50, -14.75, 0.81, 0.58, -0.08, -0.01
54   , 0.91, 8.73, 2.88, 0.08, 0.09, 0.02, -6.19, -26.50, -14.75, 0.81, 0.58, -0.08, -0.01
55   , 0.90, 8.74, 2.89, 0.09, 0.09, 0.02, -6.19, -26.50, -14.75, 0.81, 0.58, -0.08, -0.01
56   , 0.90, 8.74, 2.89, 0.09, 0.09, 0.02, -6.19, -26.50, -14.75, 0.81, 0.58, -0.08, -0.01
57   , 0.89, 8.87, 2.90, 0.08, 0.08, 0.03, -5.19, -26.06, -15.88, 0.81, 0.58, -0.07, -0.01
58   , 0.89, 8.87, 2.90, 0.08, 0.08, 0.03, -5.19, -26.06, -15.88, 0.81, 0.58, -0.07, -0.01
59   , 0.95, 8.79, 2.80, 0.10, 0.09, 0.03, -5.19, -26.06, -15.88, 0.81, 0.58, -0.07, -0.01
