Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , -0.42, 8.65, 0.27, -0.14, 0.11, 0.02, 2.87, -34.50, -2.75, 0.71, 0.70, 0.03, -0.00
1   , -0.33, 8.66, 0.13, -0.10, 0.10, 0.01, 2.87, -34.50, -2.75, 0.71, 0.70, 0.03, -0.00
2   , -0.33, 8.66, 0.13, -0.10, 0.10, 0.01, 2.87, -34.50, -2.75, 0.71, 0.70, 0.03, -0.00
3   , -0.38, 8.64, 0.22, 0.03, 0.14, -0.00, 3.25, -34.88, -4.25, 0.71, 0.70, 0.03, 0.00
4   , -0.51, 8.66, 0.21, 0.04, 0.14, -0.01, 3.25, -34.88, -4.25, 0.71, 0.70, 0.03, 0.00
5   , -0.60, 8.68, 0.19, 0.01, 0.13, -0.00, 3.25, -34.88, -4.25, 0.71, 0.70, 0.03, 0.00
6   , -0.51, 8.56, 0.26, -0.01, 0.12, -0.00, 3.25, -34.88, -4.25, 0.71, 0.70, 0.03, 0.00
7   , -0.51, 8.56, 0.26, -0.04, 0.11, -0.01, 3.25, -34.88, -4.25, 0.71, 0.70, 0.03, 0.00
8   , -0.51, 8.48, 0.34, -0.09, 0.08, -0.02, 3.25, -34.06, -4.75, 0.71, 0.70, 0.03, 0.00
9   , -0.51, 8.48, 0.34, -0.09, 0.08, -0.02, 3.25, -34.06, -4.75, 0.71, 0.70, 0.03, 0.00
10   , -0.51, 8.48, 0.32, -0.13, 0.07, -0.02, 3.25, -34.06, -4.75, 0.71, 0.70, 0.03, 0.00
11   , -0.43, 8.57, 0.22, -0.14, 0.10, -0.01, 3.25, -34.06, -4.75, 0.71, 0.70, 0.03, 0.00
12   , -0.43, 8.57, 0.22, -0.14, 0.10, -0.01, 3.25, -34.06, -4.75, 0.71, 0.70, 0.03, 0.00
13   , -0.41, 8.63, 0.25, -0.11, 0.11, -0.01, 3.25, -34.06, -4.75, 0.71, 0.70, 0.03, 0.00
14   , -0.42, 8.59, 0.25, -0.08, 0.13, -0.02, 2.00, -20.06, -2.87, 0.71, 0.70, 0.03, 0.00
15   , -0.41, 8.66, 0.25, -0.06, 0.15, -0.01, 2.00, -20.06, -2.87, 0.71, 0.70, 0.03, 0.00
16   , -0.40, 8.59, 0.22, -0.05, 0.16, -0.01, 2.00, -20.06, -2.87, 0.71, 0.70, 0.03, 0.00
17   , -0.33, 8.55, 0.22, -0.05, 0.16, -0.01, 2.00, -20.06, -2.87, 0.71, 0.70, 0.03, 0.00
18   , -0.33, 8.55, 0.22, -0.06, 0.16, -0.01, 2.00, -20.06, -2.87, 0.71, 0.70, 0.03, 0.01
19   , -0.48, 8.55, 0.21, -0.08, 0.15, -0.01, 1.56, -20.50, -2.87, 0.71, 0.70, 0.04, 0.01
20   , -0.48, 8.55, 0.21, -0.08, 0.15, -0.01, 1.56, -20.50, -2.87, 0.71, 0.70, 0.04, 0.01
21   , -0.46, 8.53, 0.32, -0.12, 0.12, -0.01, 1.56, -20.50, -2.87, 0.71, 0.70, 0.04, 0.01
22   , -0.45, 8.51, 0.28, -0.13, 0.13, -0.02, 1.56, -20.50, -2.87, 0.71, 0.70, 0.04, 0.01
23   , -0.49, 8.55, 0.25, -0.14, 0.14, -0.02, 1.56, -20.50, -2.87, 0.72, 0.70, 0.04, 0.01
24   , -0.49, 8.55, 0.25, -0.11, 0.17, -0.02, 2.06, -19.69, -2.87, 0.72, 0.70, 0.04, 0.01
25   , -0.52, 8.90, 0.24, -0.05, 0.21, -0.02, 2.06, -19.69, -2.87, 0.72, 0.70, 0.04, 0.01
26   , -0.47, 8.83, 0.22, 0.04, 0.22, 0.01, 2.06, -19.69, -2.87, 0.72, 0.70, 0.04, 0.01
27   , -0.43, 8.06, 0.27, 0.05, 0.18, 0.02, 2.06, -19.69, -2.87, 0.72, 0.70, 0.04, 0.01
28   , -0.39, 8.40, 0.62, -0.16, 0.10, -0.00, 2.06, -19.69, -2.87, 0.72, 0.70, 0.04, 0.01
29   , -0.35, 9.53, 0.63, -0.33, 0.03, -0.01, 1.69, -20.37, -3.56, 0.72, 0.70, 0.04, 0.01
30   , -0.32, 9.28, 0.38, -0.16, 0.06, 0.01, 1.69, -20.37, -3.56, 0.72, 0.70, 0.04, 0.01
31   , -0.32, 9.28, 0.38, 0.05, 0.09, 0.00, 1.69, -20.37, -3.56, 0.72, 0.70, 0.04, 0.01
32   , -0.34, 8.64, 0.53, -0.00, 0.08, 0.01, 1.69, -20.37, -3.56, 0.72, 0.70, 0.04, 0.01
33   , -0.34, 8.94, 0.45, -0.05, 0.08, 0.02, 1.69, -20.37, -3.56, 0.72, 0.70, 0.04, 0.01
34   , -0.23, 8.87, 0.28, -0.01, 0.11, 0.05, 3.06, -20.50, -2.25, 0.72, 0.70, 0.04, 0.01
35   , -0.37, 8.59, 0.44, 0.04, 0.11, 0.03, 3.06, -20.50, -2.25, 0.72, 0.70, 0.04, 0.01
36   , -0.39, 8.60, 0.46, 0.03, 0.08, 0.02, 3.06, -20.50, -2.25, 0.72, 0.70, 0.04, 0.01
37   , -0.42, 8.60, 0.48, 0.01, 0.08, 0.02, 3.06, -20.50, -2.25, 0.72, 0.70, 0.04, 0.01
38   , -0.42, 8.60, 0.48, -0.03, 0.07, 0.01, 3.06, -20.50, -2.25, 0.72, 0.70, 0.04, 0.01
