Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 1.63, 8.95, -0.57, -0.00, 0.02, 0.00, 18.25, -35.00, 17.37, 0.68, 0.72, -0.13, 0.00
1   , 1.59, 8.94, -0.57, -0.00, 0.02, 0.00, 18.25, -35.00, 17.37, 0.68, 0.72, -0.13, 0.00
2   , 1.58, 8.92, -0.58, 0.00, 0.02, -0.00, 18.25, -35.00, 17.37, 0.68, 0.72, -0.13, 0.00
3   , 1.59, 8.93, -0.64, 0.01, 0.03, 0.00, 18.25, -35.00, 17.37, 0.68, 0.72, -0.13, 0.00
4   , 1.62, 8.89, -0.68, 0.01, 0.03, 0.00, 18.25, -35.00, 17.37, 0.68, 0.72, -0.13, 0.00
5   , 1.62, 8.89, -0.68, 0.01, 0.02, -0.00, 18.25, -35.00, 17.37, 0.68, 0.72, -0.13, 0.00
6   , 1.63, 8.92, -0.69, 0.01, 0.02, -0.00, 18.56, -34.69, 18.56, 0.68, 0.72, -0.13, 0.00
7   , 1.67, 8.95, -0.72, 0.01, 0.01, -0.00, 18.56, -34.69, 18.56, 0.68, 0.72, -0.13, 0.00
8   , 1.67, 8.95, -0.72, 0.01, 0.00, -0.00, 18.56, -34.69, 18.56, 0.68, 0.72, -0.13, 0.00
9   , 1.80, 8.83, -0.75, 0.01, -0.03, -0.00, 18.56, -34.69, 18.56, 0.68, 0.72, -0.13, 0.00
10   , 1.74, 8.88, -0.75, 0.00, -0.08, -0.00, 18.56, -34.69, 18.56, 0.68, 0.72, -0.13, 0.00
11   , 1.54, 9.00, -0.70, -0.01, -0.11, -0.00, 17.87, -35.38, 18.25, 0.68, 0.72, -0.13, 0.00
12   , 1.47, 9.00, -0.67, -0.01, -0.12, 0.00, 17.87, -35.38, 18.25, 0.68, 0.72, -0.13, 0.00
13   , 1.46, 8.98, -0.69, -0.01, -0.10, -0.00, 17.87, -35.38, 18.25, 0.68, 0.72, -0.13, 0.00
14   , 1.44, 8.95, -0.68, -0.00, -0.09, -0.01, 17.87, -35.38, 18.25, 0.68, 0.72, -0.13, 0.00
15   , 1.44, 8.95, -0.68, 0.00, -0.07, -0.00, 17.87, -35.38, 18.25, 0.68, 0.72, -0.13, 0.00
