Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.60, -1.12, -0.43, -0.04, 0.09, -0.00, -21.06, 23.25, 35.06, 0.70, -0.08, -0.71, -0.01
1   , 9.52, -1.16, -0.44, -0.05, 0.10, -0.00, -21.06, 23.25, 35.06, 0.70, -0.08, -0.71, -0.01
2   , 9.44, -1.18, -0.45, -0.05, 0.11, -0.00, -21.06, 23.25, 35.06, 0.70, -0.09, -0.71, -0.01
3   , 9.51, -1.19, -0.35, -0.06, 0.12, -0.01, -21.06, 23.25, 35.06, 0.70, -0.09, -0.71, -0.01
4   , 9.61, -1.17, -0.27, -0.05, 0.13, -0.01, -21.06, 23.25, 35.06, 0.70, -0.09, -0.71, -0.01
5   , 9.61, -1.15, -0.18, -0.06, 0.14, -0.01, -13.69, 15.00, 19.06, 0.70, -0.09, -0.71, -0.01
6   , 9.46, -1.13, -0.21, -0.07, 0.15, -0.01, -13.69, 15.00, 19.06, 0.70, -0.09, -0.71, -0.01
7   , 9.47, -1.11, -0.19, -0.07, 0.16, -0.02, -13.69, 15.00, 19.06, 0.70, -0.09, -0.71, -0.01
8   , 9.55, -1.03, -0.22, -0.06, 0.16, -0.02, -13.69, 15.00, 19.06, 0.70, -0.09, -0.71, -0.01
9   , 9.58, -1.04, -0.27, -0.06, 0.17, -0.02, -13.69, 15.00, 19.06, 0.70, -0.09, -0.71, -0.01
10   , 9.58, -1.04, -0.27, -0.05, 0.18, -0.02, -13.50, 14.25, 20.50, 0.70, -0.09, -0.71, -0.01
11   , 9.47, -0.98, -0.35, -0.02, 0.20, -0.02, -13.50, 14.25, 20.50, 0.70, -0.09, -0.71, -0.01
12   , 9.50, -1.02, -0.40, 0.00, 0.21, -0.02, -13.50, 14.25, 20.50, 0.70, -0.09, -0.70, -0.01
13   , 9.55, -1.09, -0.34, 0.03, 0.22, -0.01, -13.50, 14.25, 20.50, 0.71, -0.09, -0.70, -0.01
14   , 9.53, -1.17, -0.25, 0.03, 0.24, -0.02, -13.50, 14.25, 20.50, 0.71, -0.09, -0.70, -0.01
15   , 9.53, -1.16, -0.06, 0.02, 0.25, -0.02, -13.75, 15.00, 20.50, 0.71, -0.09, -0.70, -0.01
16   , 9.52, -1.13, 0.04, 0.01, 0.26, -0.02, -13.75, 15.00, 20.50, 0.71, -0.09, -0.70, -0.01
17   , 9.40, -0.97, 0.18, 0.00, 0.26, -0.03, -13.75, 15.00, 20.50, 0.71, -0.09, -0.70, -0.01
18   , 9.37, -0.93, 0.30, 0.00, 0.27, -0.03, -13.75, 15.00, 20.50, 0.71, -0.09, -0.70, -0.01
19   , 9.39, -0.96, 0.34, 0.01, 0.29, -0.03, -13.75, 15.00, 20.50, 0.71, -0.09, -0.70, -0.01
20   , 9.42, -0.95, 0.34, 0.01, 0.31, -0.03, -13.25, 14.19, 19.69, 0.71, -0.09, -0.70, -0.01
21   , 9.42, -0.95, 0.34, 0.01, 0.34, -0.04, -13.25, 14.19, 19.69, 0.71, -0.09, -0.70, -0.01
22   , 9.51, -0.98, 0.42, 0.01, 0.38, -0.04, -13.25, 14.19, 19.69, 0.71, -0.08, -0.69, -0.01
23   , 9.49, -1.01, 0.39, 0.02, 0.41, -0.04, -13.25, 14.19, 19.69, 0.71, -0.08, -0.69, -0.01
24   , 9.38, -1.04, 0.40, 0.03, 0.44, -0.04, -13.25, 14.19, 19.69, 0.72, -0.08, -0.69, -0.01
25   , 9.05, -1.11, 0.19, 0.03, 0.47, -0.04, -13.75, 13.38, 19.25, 0.72, -0.08, -0.69, -0.01
26   , 9.06, -1.14, 0.08, 0.04, 0.51, -0.05, -13.75, 13.38, 19.25, 0.72, -0.08, -0.69, -0.01
27   , 9.16, -1.15, -0.05, 0.05, 0.55, -0.04, -13.75, 13.38, 19.25, 0.72, -0.08, -0.69, -0.01
28   , 9.34, -1.24, -0.27, 0.06, 0.60, -0.04, -13.75, 13.38, 19.25, 0.72, -0.08, -0.69, -0.01
29   , 9.38, -1.24, -0.15, 0.05, 0.66, -0.05, -13.75, 13.38, 19.25, 0.73, -0.08, -0.68, -0.01
30   , 9.46, -1.26, 0.01, 0.03, 0.69, -0.06, -14.19, 14.19, 17.25, 0.73, -0.08, -0.68, -0.01
31   , 9.63, -1.15, 0.24, 0.02, 0.69, -0.07, -14.19, 14.19, 17.25, 0.73, -0.08, -0.68, -0.01
32   , 9.76, -0.90, 0.95, 0.02, 0.66, -0.09, -14.19, 14.19, 17.25, 0.73, -0.08, -0.68, -0.01
33   , 9.76, -0.90, 0.95, 0.03, 0.60, -0.10, -14.19, 14.19, 17.25, 0.73, -0.08, -0.67, -0.01
34   , 9.69, -0.87, 1.32, 0.03, 0.54, -0.09, -14.19, 14.19, 17.25, 0.74, -0.08, -0.67, -0.01
35   , 9.69, -0.87, 1.32, 0.03, 0.54, -0.09, -15.50, 13.75, 16.25, 0.74, -0.08, -0.67, -0.01
