Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.33, 1.27, 1.71, 0.14, -0.02, -0.01, -26.37, 8.19, 37.69, 0.75, 0.06, -0.65, -0.00
1   , 9.26, 1.20, 1.61, 0.14, -0.02, -0.01, -26.37, 8.19, 37.69, 0.75, 0.06, -0.65, -0.00
2   , 9.20, 1.11, 1.58, 0.15, -0.01, -0.00, -26.37, 8.19, 37.69, 0.75, 0.06, -0.65, -0.00
3   , 9.20, 0.99, 1.50, 0.15, -0.01, -0.00, -26.37, 8.19, 37.69, 0.75, 0.06, -0.65, -0.00
4   , 9.28, 0.91, 1.46, 0.15, -0.02, -0.00, -26.37, 8.19, 37.69, 0.75, 0.06, -0.65, -0.00
5   , 9.28, 0.91, 1.46, 0.14, -0.03, 0.00, -26.37, 8.19, 37.69, 0.75, 0.06, -0.65, -0.00
6   , 9.39, 1.02, 1.40, 0.13, -0.03, 0.00, -15.75, 5.37, 23.38, 0.75, 0.06, -0.65, -0.00
7   , 9.39, 1.02, 1.40, 0.13, -0.04, 0.00, -15.75, 5.37, 23.38, 0.75, 0.06, -0.65, -0.00
8   , 9.20, 0.90, 1.28, 0.13, -0.04, 0.00, -15.75, 5.37, 23.38, 0.75, 0.06, -0.65, -0.00
9   , 9.15, 0.85, 1.23, 0.13, -0.02, 0.00, -15.75, 5.37, 23.38, 0.75, 0.06, -0.65, -0.00
10   , 9.15, 0.85, 1.23, 0.13, -0.02, 0.00, -15.75, 5.37, 23.38, 0.75, 0.06, -0.65, -0.00
11   , 9.29, 0.81, 1.24, 0.11, -0.03, 0.00, -15.75, 5.37, 23.38, 0.75, 0.06, -0.65, -0.00
12   , 9.37, 0.90, 1.29, 0.08, -0.03, -0.00, -16.37, 5.25, 23.56, 0.75, 0.06, -0.66, -0.00
13   , 9.26, 1.00, 1.26, 0.04, -0.04, 0.00, -16.37, 5.25, 23.56, 0.75, 0.06, -0.66, -0.00
14   , 9.26, 1.00, 1.26, 0.04, -0.04, 0.00, -16.37, 5.25, 23.56, 0.75, 0.06, -0.66, -0.00
15   , 9.17, 1.09, 1.30, 0.02, -0.03, 0.00, -16.37, 5.25, 23.56, 0.75, 0.06, -0.66, -0.00
16   , 9.29, 1.09, 1.32, 0.03, -0.03, 0.00, -16.37, 5.25, 23.56, 0.75, 0.06, -0.66, -0.00
17   , 9.33, 1.04, 1.29, 0.04, -0.03, 0.00, -15.19, 4.75, 23.75, 0.75, 0.06, -0.66, 0.00
18   , 9.33, 1.04, 1.29, 0.04, -0.03, 0.00, -15.19, 4.75, 23.75, 0.75, 0.06, -0.66, 0.00
19   , 9.22, 0.97, 1.24, 0.03, -0.03, 0.00, -15.19, 4.75, 23.75, 0.75, 0.06, -0.66, 0.00
20   , 9.20, 0.99, 1.23, 0.01, -0.03, 0.00, -15.19, 4.75, 23.75, 0.75, 0.06, -0.66, 0.00
21   , 9.20, 0.99, 1.23, 0.00, -0.03, 0.01, -15.19, 4.75, 23.75, 0.75, 0.06, -0.66, 0.00
22   , 9.30, 1.03, 1.21, -0.00, -0.02, 0.01, -16.37, 4.75, 23.69, 0.75, 0.06, -0.66, 0.00
23   , 9.27, 0.98, 1.18, -0.00, -0.02, 0.01, -16.37, 4.75, 23.69, 0.75, 0.06, -0.66, 0.00
24   , 9.27, 0.86, 1.18, 0.01, -0.01, 0.00, -16.37, 4.75, 23.69, 0.75, 0.06, -0.66, 0.00
25   , 9.28, 0.80, 1.20, 0.02, -0.01, 0.00, -16.37, 4.75, 23.69, 0.75, 0.06, -0.66, 0.00
26   , 9.35, 0.81, 1.23, 0.00, -0.01, 0.01, -16.37, 4.75, 23.69, 0.75, 0.06, -0.66, 0.00
27   , 9.38, 0.90, 1.32, -0.01, -0.01, 0.00, -14.19, 4.75, 23.69, 0.75, 0.06, -0.66, 0.00
28   , 9.31, 1.05, 1.35, -0.03, -0.01, 0.00, -14.19, 4.75, 23.69, 0.75, 0.06, -0.66, 0.00
29   , 9.31, 1.05, 1.35, -0.03, -0.01, 0.00, -14.19, 4.75, 23.69, 0.75, 0.06, -0.66, -0.00
30   , 9.29, 1.13, 1.33, -0.01, -0.01, 0.00, -14.19, 4.75, 23.69, 0.75, 0.06, -0.66, -0.00
31   , 9.29, 1.08, 1.28, 0.01, -0.01, 0.00, -14.19, 4.75, 23.69, 0.75, 0.06, -0.66, -0.00
32   , 9.29, 1.01, 1.28, 0.02, -0.01, -0.00, -16.37, 5.19, 23.25, 0.75, 0.06, -0.66, -0.00
33   , 9.27, 0.98, 1.24, 0.02, -0.00, -0.00, -16.37, 5.19, 23.25, 0.75, 0.06, -0.66, -0.00
34   , 9.27, 0.98, 1.24, -0.00, -0.00, -0.00, -16.37, 5.19, 23.25, 0.75, 0.06, -0.66, -0.00
