Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.24, -0.80, -2.37, -0.03, -0.01, 0.01, -40.75, 5.50, 25.06, 0.61, -0.07, -0.79, 0.00
1   , 9.29, -0.68, -2.38, -0.03, -0.02, 0.01, -40.75, 5.50, 25.06, 0.61, -0.07, -0.79, 0.00
2   , 9.29, -0.68, -2.38, -0.02, -0.02, 0.00, -40.75, 5.50, 25.06, 0.61, -0.07, -0.79, 0.00
3   , 9.28, -0.74, -2.35, 0.00, -0.03, 0.00, -40.75, 5.50, 25.06, 0.61, -0.07, -0.79, 0.00
4   , 9.28, -0.74, -2.35, 0.00, -0.01, 0.00, -24.87, 4.19, 16.06, 0.61, -0.07, -0.79, 0.00
5   , 9.25, -0.93, -2.38, 0.01, -0.00, 0.01, -24.87, 4.19, 16.06, 0.61, -0.07, -0.79, 0.00
6   , 9.27, -0.95, -2.40, -0.00, -0.01, 0.00, -24.87, 4.19, 16.06, 0.61, -0.07, -0.79, 0.00
7   , 9.27, -0.95, -2.40, -0.00, -0.01, 0.00, -24.87, 4.19, 16.06, 0.61, -0.07, -0.79, 0.00
8   , 9.24, -0.85, -2.42, -0.03, -0.00, 0.00, -24.87, 4.19, 16.06, 0.61, -0.07, -0.79, 0.00
9   , 9.24, -0.85, -2.42, -0.03, -0.00, 0.00, -24.87, 4.19, 16.06, 0.61, -0.07, -0.79, 0.00
10   , 9.26, -0.82, -2.48, -0.03, -0.01, 0.00, -24.87, 3.75, 16.06, 0.61, -0.07, -0.79, 0.00
11   , 9.26, -0.82, -2.48, -0.03, -0.01, 0.00, -24.87, 3.75, 16.06, 0.61, -0.07, -0.79, -0.00
12   , 9.28, -0.85, -2.41, -0.03, -0.01, 0.00, -24.87, 3.75, 16.06, 0.61, -0.07, -0.79, -0.00
13   , 9.26, -0.83, -2.35, -0.03, -0.00, 0.00, -24.87, 3.75, 16.06, 0.61, -0.07, -0.79, -0.00
14   , 9.28, -0.74, -2.25, -0.03, -0.01, 0.00, -23.50, 3.69, 15.00, 0.61, -0.07, -0.79, -0.00
