Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 8.27, 0.28, 4.15, -0.00, 0.10, -0.01, -37.75, -19.56, -56.88, 0.84, 0.02, -0.53, -0.01
1   , 8.32, 0.28, 4.17, -0.01, 0.10, -0.01, -37.75, -19.56, -56.88, 0.84, 0.02, -0.53, -0.01
2   , 8.32, 0.28, 4.17, -0.01, 0.09, 0.00, -37.75, -19.56, -56.88, 0.85, 0.02, -0.53, -0.01
3   , 8.33, 0.25, 4.16, -0.02, 0.07, 0.00, -37.75, -19.56, -56.88, 0.85, 0.02, -0.53, -0.01
4   , 8.27, 0.22, 4.13, -0.02, 0.07, 0.00, -37.75, -19.56, -56.88, 0.85, 0.02, -0.53, -0.01
5   , 8.23, 0.23, 4.07, -0.02, 0.07, 0.01, -23.06, -12.75, -33.06, 0.85, 0.02, -0.53, -0.01
6   , 8.19, 0.28, 4.12, -0.02, 0.09, -0.00, -23.06, -12.75, -33.06, 0.85, 0.02, -0.53, -0.01
7   , 8.24, 0.27, 4.13, -0.01, 0.11, 0.00, -23.06, -12.75, -33.06, 0.85, 0.02, -0.53, -0.01
8   , 8.27, 0.30, 4.18, 0.00, 0.13, 0.01, -23.06, -12.75, -33.06, 0.85, 0.02, -0.53, -0.01
9   , 8.27, 0.30, 4.18, 0.01, 0.15, 0.00, -23.06, -12.75, -33.06, 0.85, 0.02, -0.53, -0.01
10   , 8.36, 0.35, 4.25, 0.01, 0.15, 0.01, -22.50, -11.38, -34.75, 0.85, 0.02, -0.53, -0.01
11   , 8.36, 0.35, 4.25, 0.01, 0.15, 0.01, -22.50, -11.38, -34.75, 0.85, 0.02, -0.53, -0.01
12   , 8.32, 0.28, 4.29, 0.02, 0.13, 0.01, -22.50, -11.38, -34.75, 0.85, 0.02, -0.53, -0.01
13   , 8.31, 0.25, 4.29, 0.01, 0.11, 0.01, -22.50, -11.38, -34.75, 0.85, 0.02, -0.53, -0.01
14   , 8.31, 0.26, 4.29, 0.01, 0.09, 0.01, -22.50, -11.38, -34.75, 0.85, 0.02, -0.53, -0.01
15   , 8.31, 0.26, 4.29, 0.01, 0.08, 0.01, -22.50, -12.19, -34.06, 0.85, 0.02, -0.53, -0.01
16   , 8.25, 0.29, 4.27, 0.01, 0.07, 0.02, -22.50, -12.19, -34.06, 0.85, 0.02, -0.53, -0.01
17   , 8.21, 0.31, 4.29, 0.00, 0.07, 0.02, -22.50, -12.19, -34.06, 0.85, 0.02, -0.53, -0.01
18   , 8.22, 0.30, 4.32, 0.00, 0.08, 0.01, -22.50, -12.19, -34.06, 0.85, 0.02, -0.53, -0.01
19   , 8.19, 0.30, 4.35, 0.00, 0.08, 0.01, -22.50, -12.19, -34.06, 0.85, 0.02, -0.53, -0.01
20   , 8.16, 0.30, 4.39, 0.01, 0.09, 0.01, -21.69, -11.69, -32.88, 0.85, 0.02, -0.53, -0.01
21   , 8.23, 0.33, 4.37, 0.01, 0.09, 0.01, -21.69, -11.69, -32.88, 0.85, 0.02, -0.53, -0.01
22   , 8.22, 0.35, 4.37, 0.02, 0.09, 0.01, -21.69, -11.69, -32.88, 0.85, 0.02, -0.52, -0.01
23   , 8.20, 0.34, 4.40, 0.03, 0.08, 0.01, -21.69, -11.69, -32.88, 0.85, 0.02, -0.52, -0.01
24   , 8.20, 0.34, 4.40, 0.02, 0.08, 0.01, -21.69, -11.69, -32.88, 0.85, 0.02, -0.52, -0.01
25   , 8.19, 0.38, 4.36, 0.02, 0.08, 0.02, -22.75, -11.00, -33.75, 0.85, 0.02, -0.52, -0.01
26   , 8.19, 0.38, 4.36, 0.02, 0.08, 0.02, -22.75, -11.00, -33.75, 0.85, 0.02, -0.52, -0.01
