Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.33, -1.35, 0.44, 0.05, 0.02, 0.02, -21.75, 25.88, 29.87, 0.71, -0.11, -0.70, 0.01
1   , 9.33, -1.35, 0.44, 0.08, 0.02, 0.02, -21.75, 25.88, 29.87, 0.71, -0.11, -0.70, 0.01
2   , 9.34, -1.47, 0.49, 0.08, 0.02, 0.02, -21.75, 25.88, 29.87, 0.71, -0.11, -0.70, 0.01
3   , 9.46, -1.67, 0.42, 0.09, 0.02, 0.01, -21.75, 25.88, 29.87, 0.71, -0.11, -0.70, 0.01
4   , 9.46, -1.67, 0.42, 0.09, 0.02, 0.01, -21.75, 25.88, 29.87, 0.71, -0.11, -0.70, 0.01
5   , 9.49, -1.63, 0.47, 0.07, 0.02, 0.01, -21.75, 25.88, 29.87, 0.71, -0.11, -0.70, 0.01
6   , 9.54, -1.56, 0.47, 0.05, 0.02, 0.00, -13.25, 13.88, 19.00, 0.71, -0.11, -0.70, 0.01
7   , 9.49, -1.46, 0.51, 0.05, 0.02, 0.00, -13.25, 13.88, 19.00, 0.71, -0.11, -0.70, 0.01
8   , 9.49, -1.46, 0.51, 0.06, 0.02, 0.00, -13.25, 13.88, 19.00, 0.71, -0.11, -0.70, 0.01
9   , 9.44, -1.55, 0.61, 0.07, 0.01, 0.01, -13.25, 13.88, 19.00, 0.71, -0.11, -0.70, 0.01
10   , 9.45, -1.60, 0.76, 0.09, 0.01, 0.02, -13.25, 13.88, 19.00, 0.71, -0.11, -0.70, 0.01
11   , 9.48, -1.62, 0.77, 0.09, 0.01, 0.01, -13.56, 14.87, 18.25, 0.71, -0.11, -0.70, 0.01
12   , 9.46, -1.60, 0.70, 0.07, 0.01, 0.00, -13.56, 14.87, 18.25, 0.71, -0.11, -0.70, 0.01
13   , 9.45, -1.51, 0.65, 0.05, -0.00, 0.00, -13.56, 14.87, 18.25, 0.71, -0.10, -0.69, 0.01
14   , 9.39, -1.38, 0.58, 0.04, -0.02, 0.01, -13.56, 14.87, 18.25, 0.71, -0.10, -0.69, 0.01
15   , 9.39, -1.38, 0.58, 0.04, -0.03, 0.01, -13.56, 14.87, 18.25, 0.71, -0.10, -0.69, 0.01
16   , 9.43, -1.55, 0.52, 0.04, -0.04, 0.01, -12.75, 15.19, 17.50, 0.71, -0.10, -0.69, 0.01
17   , 9.43, -1.55, 0.52, 0.04, -0.04, 0.01, -12.75, 15.19, 17.50, 0.71, -0.10, -0.69, 0.01
18   , 9.55, -1.55, 0.42, 0.01, -0.04, 0.00, -12.75, 15.19, 17.50, 0.71, -0.10, -0.69, 0.01
19   , 9.51, -1.45, 0.40, 0.00, -0.04, -0.00, -12.75, 15.19, 17.50, 0.71, -0.10, -0.69, 0.01
20   , 9.42, -1.42, 0.37, 0.01, -0.04, -0.00, -12.75, 15.19, 17.50, 0.71, -0.10, -0.69, 0.01
21   , 9.42, -1.42, 0.37, 0.03, -0.04, 0.01, -14.19, 15.19, 18.69, 0.71, -0.10, -0.69, 0.01
22   , 9.50, -1.59, 0.22, 0.05, -0.04, 0.01, -14.19, 15.19, 18.69, 0.71, -0.10, -0.69, 0.01
