Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.47, -0.83, -2.18, 0.03, 0.00, -0.01, -33.25, 19.87, 36.56, 0.63, -0.08, -0.78, -0.00
1   , 9.41, -0.86, -2.15, 0.04, 0.00, 0.00, -33.25, 19.87, 36.56, 0.63, -0.08, -0.78, -0.00
2   , 9.41, -0.86, -2.15, 0.04, 0.00, 0.00, -33.25, 19.87, 36.56, 0.63, -0.08, -0.78, -0.00
3   , 9.44, -0.89, -2.22, 0.03, -0.00, 0.00, -33.25, 19.87, 36.56, 0.63, -0.08, -0.78, 0.00
4   , 9.42, -0.89, -2.25, 0.03, -0.01, 0.00, -33.69, 19.56, 36.19, 0.63, -0.08, -0.78, 0.00
5   , 9.43, -0.94, -2.27, 0.03, -0.02, 0.00, -33.69, 19.56, 36.19, 0.63, -0.08, -0.78, 0.00
6   , 9.50, -1.00, -2.21, 0.03, -0.01, 0.01, -33.69, 19.56, 36.19, 0.63, -0.08, -0.78, 0.00
7   , 9.50, -1.00, -2.21, 0.02, -0.01, 0.01, -33.69, 19.56, 36.19, 0.63, -0.08, -0.78, 0.00
8   , 9.48, -1.00, -2.16, 0.00, -0.01, 0.00, -33.69, 19.56, 36.19, 0.63, -0.08, -0.78, 0.00
9   , 9.48, -1.00, -2.16, -0.00, -0.01, -0.00, -34.38, 20.25, 37.25, 0.63, -0.08, -0.78, 0.00
10   , 9.40, -0.93, -2.12, -0.01, -0.01, -0.01, -34.38, 20.25, 37.25, 0.63, -0.08, -0.78, 0.00
11   , 9.42, -0.88, -2.10, -0.02, -0.01, -0.01, -34.38, 20.25, 37.25, 0.63, -0.08, -0.78, 0.00
12   , 9.48, -0.84, -2.05, -0.01, 0.00, -0.01, -34.38, 20.25, 37.25, 0.63, -0.08, -0.78, 0.00
13   , 9.51, -0.75, -2.07, -0.01, 0.00, -0.01, -34.38, 20.25, 37.25, 0.63, -0.08, -0.78, 0.00
14   , 9.46, -0.73, -2.14, 0.03, 0.01, -0.01, -33.69, 19.87, 36.19, 0.63, -0.08, -0.78, 0.00
15   , 9.43, -0.79, -2.15, 0.03, 0.01, -0.01, -33.69, 19.87, 36.19, 0.63, -0.08, -0.78, 0.00
16   , 9.45, -0.86, -2.17, 0.03, 0.01, -0.00, -33.69, 19.87, 36.19, 0.63, -0.08, -0.78, 0.00
17   , 9.45, -0.99, -2.23, 0.02, -0.00, 0.00, -33.69, 19.87, 36.19, 0.63, -0.08, -0.78, 0.00
18   , 9.43, -1.03, -2.23, 0.01, -0.02, 0.01, -33.69, 19.87, 36.19, 0.63, -0.08, -0.78, 0.00
19   , 9.42, -0.99, -2.23, -0.00, -0.02, 0.01, -33.25, 19.56, 36.56, 0.63, -0.08, -0.78, 0.00
20   , 9.42, -0.89, -2.20, -0.01, -0.01, -0.00, -33.25, 19.56, 36.56, 0.63, -0.08, -0.78, 0.00
21   , 9.43, -0.78, -2.14, -0.02, -0.00, -0.00, -33.25, 19.56, 36.56, 0.63, -0.08, -0.78, 0.00
22   , 9.48, -0.76, -2.13, -0.00, 0.01, 0.00, -33.25, 19.56, 36.56, 0.63, -0.08, -0.78, 0.00
23   , 9.50, -0.72, -2.07, 0.01, 0.02, 0.00, -33.25, 19.56, 36.56, 0.63, -0.08, -0.78, 0.00
24   , 9.48, -0.82, -2.03, 0.02, 0.02, 0.00, -33.69, 19.87, 36.56, 0.63, -0.08, -0.78, 0.00
25   , 9.43, -0.87, -2.08, 0.03, 0.01, 0.01, -33.69, 19.87, 36.56, 0.63, -0.08, -0.78, 0.00
26   , 9.43, -0.87, -2.08, 0.03, 0.01, 0.01, -33.69, 19.87, 36.56, 0.63, -0.08, -0.78, 0.00
27   , 9.43, -0.94, -2.15, 0.03, -0.01, 0.01, -33.69, 19.87, 36.56, 0.63, -0.08, -0.78, 0.00
28   , 9.51, -0.93, -2.26, 0.03, -0.01, 0.00, -33.69, 19.87, 36.56, 0.63, -0.08, -0.78, 0.00
29   , 9.44, -0.92, -2.13, 0.03, -0.02, -0.01, -20.19, 12.06, 22.25, 0.63, -0.08, -0.78, 0.00
30   , 9.42, -0.99, -2.07, 0.02, 0.01, -0.01, -20.19, 12.06, 22.25, 0.63, -0.08, -0.78, 0.00
31   , 9.46, -0.85, -2.08, -0.01, 0.01, 0.00, -20.19, 12.06, 22.25, 0.63, -0.08, -0.78, 0.00
32   , 9.40, -0.76, -2.06, 0.00, 0.02, -0.00, -20.19, 12.06, 22.25, 0.63, -0.08, -0.78, 0.00
33   , 9.46, -0.91, -2.03, -0.01, 0.01, 0.01, -19.69, 12.00, 22.19, 0.63, -0.08, -0.78, 0.00
34   , 9.54, -0.90, -2.06, -0.01, 0.01, 0.01, -19.69, 12.00, 22.19, 0.63, -0.08, -0.78, 0.00
35   , 9.43, -0.90, -2.12, 0.00, -0.00, 0.00, -19.69, 12.00, 22.19, 0.63, -0.08, -0.78, 0.00
