Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.24, 0.54, 1.86, 0.08, 0.06, -0.02, -25.69, 11.88, 36.88, 0.78, 0.03, -0.62, 0.01
1   , 9.24, 0.47, 1.81, 0.07, 0.06, -0.02, -26.06, 11.88, 35.00, 0.78, 0.03, -0.62, 0.01
2   , 9.27, 0.39, 1.72, 0.06, 0.06, -0.02, -26.06, 11.88, 35.00, 0.78, 0.03, -0.62, 0.01
3   , 9.19, 0.12, 1.45, 0.03, 0.07, -0.03, -26.06, 11.88, 35.00, 0.78, 0.03, -0.62, 0.01
4   , 9.20, 0.00, 1.40, -0.03, 0.07, -0.03, -26.06, 11.88, 35.00, 0.78, 0.03, -0.62, 0.01
5   , 9.29, -0.03, 1.48, -0.09, 0.07, -0.03, -26.06, 11.88, 35.00, 0.78, 0.03, -0.62, 0.01
6   , 9.30, 0.15, 1.75, -0.15, 0.07, -0.04, -14.00, 6.87, 23.69, 0.78, 0.03, -0.62, 0.01
7   , 9.16, 0.16, 1.78, -0.17, 0.07, -0.03, -14.00, 6.87, 23.69, 0.78, 0.03, -0.62, 0.00
8   , 9.11, 0.30, 1.83, -0.16, 0.07, -0.02, -14.00, 6.87, 23.69, 0.78, 0.03, -0.62, 0.00
9   , 9.11, 0.30, 1.83, -0.12, 0.08, -0.02, -14.00, 6.87, 23.69, 0.78, 0.03, -0.62, 0.00
10   , 9.17, 0.30, 2.04, -0.08, 0.08, -0.02, -14.00, 6.87, 23.69, 0.78, 0.03, -0.62, 0.00
11   , 9.17, 0.30, 2.04, -0.08, 0.08, -0.02, -14.87, 8.25, 23.38, 0.78, 0.03, -0.62, 0.00
12   , 9.18, 0.30, 2.08, -0.08, 0.08, -0.02, -14.87, 8.25, 23.38, 0.78, 0.03, -0.62, 0.00
13   , 9.24, 0.41, 2.08, -0.11, 0.08, -0.02, -14.87, 8.25, 23.38, 0.78, 0.03, -0.62, 0.00
14   , 9.24, 0.41, 2.08, -0.11, 0.08, -0.02, -14.87, 8.25, 23.38, 0.78, 0.03, -0.62, 0.00
15   , 9.24, 0.45, 2.07, -0.10, 0.08, -0.01, -14.87, 8.25, 23.38, 0.78, 0.03, -0.62, 0.00
16   , 9.24, 0.45, 2.07, -0.10, 0.08, -0.01, -14.87, 8.25, 23.38, 0.79, 0.03, -0.62, 0.00
17   , 9.16, 0.19, 2.14, -0.10, 0.06, -0.01, -16.75, 7.75, 22.69, 0.79, 0.03, -0.62, 0.00
18   , 9.16, 0.19, 2.14, -0.10, 0.06, -0.01, -16.75, 7.75, 22.69, 0.79, 0.02, -0.62, 0.00
19   , 9.17, 0.19, 2.19, -0.11, 0.06, -0.01, -16.75, 7.75, 22.69, 0.79, 0.02, -0.62, 0.00
20   , 9.22, 0.28, 2.31, -0.12, 0.04, -0.01, -16.75, 7.75, 22.69, 0.79, 0.02, -0.62, 0.00
21   , 9.22, 0.28, 2.31, -0.12, 0.04, -0.01, -16.75, 7.75, 22.69, 0.79, 0.02, -0.62, 0.00
22   , 9.21, 0.62, 2.33, -0.10, 0.02, -0.01, -15.06, 7.06, 21.56, 0.79, 0.02, -0.62, -0.00
23   , 9.09, 0.76, 2.32, -0.10, 0.02, -0.01, -15.06, 7.06, 21.56, 0.79, 0.02, -0.62, -0.00
24   , 9.08, 0.79, 2.38, -0.04, 0.02, -0.00, -15.06, 7.06, 21.56, 0.79, 0.02, -0.62, -0.00
25   , 9.12, 0.70, 2.41, 0.03, 0.01, 0.00, -15.06, 7.06, 21.56, 0.79, 0.02, -0.62, -0.00
26   , 9.22, 0.33, 2.38, 0.09, -0.01, 0.00, -15.06, 7.06, 21.56, 0.79, 0.02, -0.62, -0.00
27   , 9.24, 0.19, 2.39, 0.12, -0.01, 0.00, -15.50, 5.87, 22.25, 0.79, 0.02, -0.62, 0.00
28   , 9.28, 0.22, 2.43, 0.13, -0.02, 0.01, -15.50, 5.87, 22.25, 0.79, 0.02, -0.62, 0.00
29   , 9.17, 0.51, 2.51, 0.12, -0.01, 0.01, -15.50, 5.87, 22.25, 0.79, 0.02, -0.62, 0.00
30   , 9.10, 0.61, 2.49, 0.13, -0.00, 0.00, -15.50, 5.87, 22.25, 0.79, 0.03, -0.62, 0.00
31   , 9.10, 0.55, 2.40, 0.15, -0.01, -0.00, -15.50, 5.87, 22.25, 0.79, 0.03, -0.62, 0.00
32   , 9.12, 0.40, 2.35, 0.15, -0.01, -0.01, -15.50, 6.69, 22.75, 0.79, 0.03, -0.62, 0.00
33   , 9.22, 0.16, 2.14, 0.13, -0.01, -0.01, -15.50, 6.69, 22.75, 0.79, 0.03, -0.62, 0.00
34   , 9.19, 0.13, 2.02, 0.09, -0.02, -0.01, -15.50, 6.69, 22.75, 0.79, 0.03, -0.62, 0.00
35   , 9.17, 0.18, 1.92, 0.07, -0.01, -0.01, -15.50, 6.69, 22.75, 0.79, 0.03, -0.62, 0.00
36   , 9.19, 0.20, 1.87, 0.05, -0.01, -0.01, -15.50, 6.69, 22.75, 0.79, 0.03, -0.62, 0.00
37   , 9.24, 0.12, 1.79, 0.03, -0.01, -0.01, -14.69, 6.06, 22.37, 0.79, 0.03, -0.62, 0.00
