Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.38, -0.55, -1.35, -0.04, -0.00, 0.00, -43.25, 4.06, 23.87, 0.65, -0.05, -0.75, -0.00
1   , 9.42, -0.52, -1.38, -0.04, -0.00, 0.00, -43.25, 4.06, 23.87, 0.65, -0.05, -0.75, -0.00
2   , 9.44, -0.51, -1.36, -0.04, 0.01, 0.01, -43.25, 4.06, 23.87, 0.65, -0.05, -0.75, -0.00
3   , 9.43, -0.49, -1.34, -0.04, 0.01, 0.01, -43.25, 4.06, 23.87, 0.65, -0.05, -0.75, -0.00
4   , 9.42, -0.50, -1.32, -0.03, 0.01, 0.01, -25.69, 1.69, 15.00, 0.65, -0.05, -0.75, -0.00
5   , 9.41, -0.54, -1.32, -0.02, -0.00, 0.01, -25.69, 1.69, 15.00, 0.65, -0.05, -0.75, -0.00
6   , 9.41, -0.54, -1.32, -0.01, -0.01, 0.01, -25.69, 1.69, 15.00, 0.65, -0.05, -0.75, -0.00
7   , 9.38, -0.63, -1.30, -0.01, -0.02, 0.01, -25.69, 1.69, 15.00, 0.65, -0.05, -0.75, -0.00
8   , 9.38, -0.63, -1.31, -0.01, -0.02, 0.01, -25.69, 1.69, 15.00, 0.65, -0.05, -0.75, -0.00
9   , 9.37, -0.64, -1.32, -0.00, -0.02, 0.01, -26.25, 2.19, 14.75, 0.65, -0.05, -0.75, -0.00
10   , 9.36, -0.62, -1.36, -0.01, -0.00, 0.01, -26.25, 2.19, 14.75, 0.65, -0.05, -0.75, -0.00
11   , 9.36, -0.62, -1.36, -0.01, -0.00, 0.01, -26.25, 2.19, 14.75, 0.65, -0.05, -0.75, -0.00
12   , 9.40, -0.65, -1.35, -0.01, -0.00, 0.00, -26.25, 2.19, 14.75, 0.65, -0.05, -0.75, -0.00
13   , 9.42, -0.66, -1.37, -0.01, -0.00, 0.01, -26.25, 2.19, 14.75, 0.65, -0.05, -0.75, -0.00
14   , 9.42, -0.64, -1.38, -0.03, -0.00, 0.01, -26.25, 1.06, 14.75, 0.65, -0.05, -0.75, -0.00
15   , 9.41, -0.60, -1.36, -0.04, -0.00, 0.01, -26.25, 1.06, 14.75, 0.65, -0.05, -0.75, -0.00
16   , 9.39, -0.58, -1.35, -0.04, -0.00, 0.01, -26.25, 1.06, 14.75, 0.65, -0.05, -0.75, -0.00
17   , 9.36, -0.60, -1.34, -0.04, -0.00, 0.01, -26.25, 1.06, 14.75, 0.65, -0.05, -0.75, -0.00
18   , 9.36, -0.60, -1.34, -0.03, -0.01, 0.01, -26.25, 1.06, 14.75, 0.65, -0.05, -0.75, -0.00
19   , 9.37, -0.59, -1.31, -0.02, 0.00, 0.01, -25.50, 1.56, 14.75, 0.65, -0.05, -0.75, -0.00
20   , 9.37, -0.59, -1.31, -0.02, 0.00, 0.01, -25.50, 1.56, 14.75, 0.65, -0.05, -0.75, -0.00
