Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.50, -1.10, -0.51, 0.01, 0.04, -0.00, -10.19, 13.75, 23.00, 0.67, -0.12, -0.73, -0.00
1   , 9.50, -1.10, -0.51, 0.01, 0.04, -0.00, -10.19, 13.75, 23.00, 0.67, -0.12, -0.73, -0.00
2   , 9.58, -1.26, -0.58, 0.06, 0.05, -0.01, -10.19, 13.75, 23.00, 0.67, -0.12, -0.73, -0.00
3   , 9.54, -1.35, -0.63, 0.08, 0.05, -0.00, -10.19, 13.75, 23.00, 0.67, -0.12, -0.73, -0.00
4   , 9.55, -1.34, -0.65, 0.08, 0.05, -0.00, -10.19, 13.75, 23.00, 0.67, -0.12, -0.73, -0.00
5   , 9.62, -1.29, -0.69, 0.08, 0.04, -0.00, -10.19, 13.75, 23.00, 0.67, -0.12, -0.73, -0.00
6   , 9.48, -1.28, -0.71, 0.09, 0.04, -0.01, -13.00, 14.75, 24.56, 0.67, -0.12, -0.73, 0.00
7   , 9.39, -1.29, -0.82, 0.10, 0.04, -0.04, -13.00, 14.75, 24.56, 0.67, -0.12, -0.73, 0.00
8   , 9.42, -1.31, -0.91, 0.12, 0.04, -0.07, -13.00, 14.75, 24.56, 0.67, -0.12, -0.73, 0.00
9   , 9.41, -1.44, -0.89, 0.11, 0.05, -0.10, -13.00, 14.75, 24.56, 0.67, -0.12, -0.73, 0.00
10   , 9.55, -1.51, -1.09, 0.09, 0.07, -0.11, -13.00, 14.75, 24.56, 0.67, -0.12, -0.73, 0.00
11   , 9.62, -1.47, -1.07, 0.06, 0.09, -0.13, -11.25, 13.88, 22.25, 0.67, -0.11, -0.73, 0.00
12   , 9.62, -1.47, -1.07, 0.02, 0.09, -0.13, -11.25, 13.88, 22.25, 0.67, -0.11, -0.73, -0.00
13   , 9.77, -1.61, -1.16, -0.03, 0.10, -0.12, -11.25, 13.88, 22.25, 0.67, -0.11, -0.73, -0.00
14   , 9.67, -1.48, -1.02, -0.09, 0.12, -0.11, -11.25, 13.88, 22.25, 0.67, -0.11, -0.73, -0.00
15   , 9.57, -1.33, -0.93, -0.13, 0.14, -0.10, -11.25, 13.88, 22.25, 0.67, -0.11, -0.73, -0.00
16   , 9.53, -1.14, -0.87, -0.12, 0.16, -0.10, -12.00, 12.75, 23.50, 0.67, -0.11, -0.73, -0.00
17   , 9.25, -1.07, -0.90, -0.12, 0.16, -0.15, -12.00, 12.75, 23.50, 0.68, -0.11, -0.73, -0.01
18   , 9.49, -1.27, -0.96, -0.13, 0.17, -0.17, -12.00, 12.75, 23.50, 0.68, -0.11, -0.73, -0.01
19   , 9.55, -1.06, -0.83, -0.15, 0.17, -0.15, -12.00, 12.75, 23.50, 0.68, -0.11, -0.73, -0.01
20   , 9.62, -1.08, -0.82, -0.12, 0.17, -0.15, -12.00, 12.75, 23.50, 0.68, -0.11, -0.73, -0.01
21   , 9.71, -1.10, -0.60, -0.12, 0.17, -0.13, -12.37, 12.50, 22.50, 0.68, -0.11, -0.73, -0.01
22   , 9.51, -1.04, -0.59, -0.10, 0.17, -0.12, -12.37, 12.50, 22.50, 0.68, -0.11, -0.73, -0.01
23   , 9.52, -1.08, -0.56, -0.07, 0.17, -0.10, -12.37, 12.50, 22.50, 0.68, -0.11, -0.73, -0.01
24   , 9.52, -1.08, -0.56, -0.05, 0.18, -0.08, -12.37, 12.50, 22.50, 0.68, -0.11, -0.73, -0.01
25   , 9.36, -0.85, -0.15, 0.01, 0.17, -0.06, -12.37, 12.50, 22.50, 0.68, -0.11, -0.72, -0.01
26   , 9.36, -0.85, -0.15, 0.01, 0.17, -0.06, -13.50, 12.19, 23.38, 0.68, -0.11, -0.72, -0.01
27   , 9.43, -0.94, -0.08, 0.15, 0.16, -0.02, -13.50, 12.19, 23.38, 0.68, -0.11, -0.72, -0.01
28   , 9.71, -1.09, -0.06, 0.20, 0.14, 0.00, -13.50, 12.19, 23.38, 0.68, -0.11, -0.72, -0.01
29   , 9.72, -1.11, -0.04, 0.22, 0.12, 0.03, -13.50, 12.19, 23.38, 0.68, -0.11, -0.72, -0.01
30   , 9.64, -1.17, -0.02, 0.25, 0.10, 0.05, -13.50, 12.19, 23.38, 0.68, -0.11, -0.72, -0.01
31   , 9.56, -1.36, -0.01, 0.27, 0.08, 0.06, -14.06, 13.06, 23.50, 0.68, -0.11, -0.72, -0.01
32   , 9.48, -1.42, -0.06, 0.27, 0.07, 0.09, -14.06, 13.06, 23.50, 0.68, -0.11, -0.72, -0.01
33   , 9.48, -1.42, -0.06, 0.24, 0.07, 0.11, -14.06, 13.06, 23.50, 0.68, -0.11, -0.72, -0.00
34   , 9.57, -1.19, -0.01, 0.23, 0.06, 0.10, -14.06, 13.06, 23.50, 0.68, -0.11, -0.72, -0.00
35   , 9.71, -1.01, -0.10, 0.27, 0.06, 0.14, -14.06, 13.06, 23.50, 0.68, -0.11, -0.72, -0.00
36   , 9.73, -1.54, -0.29, 0.25, 0.05, 0.10, -13.00, 13.69, 23.00, 0.69, -0.11, -0.72, -0.00
37   , 9.63, -1.45, -0.33, 0.18, 0.05, -0.02, -13.00, 13.69, 23.00, 0.69, -0.11, -0.72, -0.00
38   , 9.54, -1.87, -0.39, 0.10, 0.04, -0.11, -13.00, 13.69, 23.00, 0.69, -0.10, -0.72, -0.00
39   , 9.27, -1.73, -0.25, 0.01, 0.04, -0.20, -13.00, 13.69, 23.00, 0.69, -0.10, -0.72, -0.00
40   , 9.09, -2.04, -0.38, -0.05, 0.03, -0.10, -13.00, 13.69, 23.00, 0.69, -0.10, -0.72, -0.00
41   , 9.27, -1.32, -0.30, -0.20, 0.02, -0.08, -12.50, 13.69, 22.56, 0.69, -0.10, -0.72, -0.00
42   , 9.27, -1.32, -0.30, -0.30, 0.02, -0.17, -12.50, 13.69, 22.56, 0.69, -0.10, -0.72, -0.00
43   , 9.66, -0.39, -0.34, -0.22, 0.00, -0.09, -12.50, 13.69, 22.56, 0.69, -0.11, -0.72, -0.01
44   , 9.67, -0.44, -0.37, -0.09, -0.01, -0.07, -12.50, 13.69, 22.56, 0.69, -0.11, -0.72, -0.01
45   , 9.65, -0.55, -0.39, 0.02, -0.01, -0.03, -13.00, 13.69, 23.25, 0.69, -0.11, -0.72, -0.01
46   , 9.52, -0.94, -0.48, 0.08, -0.02, -0.02, -13.00, 13.69, 23.25, 0.69, -0.11, -0.72, -0.01
47   , 9.52, -0.94, -0.48, 0.09, -0.03, -0.03, -13.00, 13.69, 23.25, 0.69, -0.11, -0.72, -0.01
48   , 9.56, -1.04, -0.54, 0.09, -0.02, -0.02, -13.00, 13.69, 23.25, 0.69, -0.10, -0.72, -0.01
49   , 9.51, -0.97, -0.42, 0.09, -0.03, -0.01, -13.00, 13.69, 23.25, 0.69, -0.10, -0.72, -0.01
50   , 9.50, -0.87, -0.57, 0.09, -0.02, -0.02, -12.50, 12.50, 22.50, 0.69, -0.10, -0.72, -0.01
51   , 9.50, -0.96, -0.36, 0.10, -0.02, -0.03, -12.50, 12.50, 22.50, 0.69, -0.10, -0.72, -0.01
52   , 9.59, -1.13, -0.50, 0.11, -0.01, -0.02, -12.50, 12.50, 22.50, 0.69, -0.10, -0.72, -0.01
53   , 9.59, -1.33, -0.45, 0.10, -0.01, -0.01, -12.50, 12.50, 22.50, 0.69, -0.10, -0.72, -0.01
