Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.63, -0.26, -0.42, 0.00, -0.01, -0.00, -37.25, 14.75, 32.19, 0.69, -0.02, -0.72, -0.00
1   , 9.66, -0.25, -0.44, 0.00, -0.02, -0.00, -37.25, 14.75, 32.19, 0.69, -0.02, -0.72, -0.00
2   , 9.64, -0.31, -0.42, 0.01, -0.02, -0.01, -37.25, 14.75, 32.19, 0.69, -0.02, -0.72, -0.00
3   , 9.62, -0.28, -0.44, 0.02, -0.02, -0.00, -37.25, 14.06, 33.00, 0.69, -0.02, -0.72, -0.00
4   , 9.62, -0.28, -0.44, 0.01, -0.02, 0.00, -37.25, 14.06, 33.00, 0.69, -0.02, -0.72, -0.00
5   , 9.57, -0.31, -0.41, 0.01, -0.02, 0.00, -37.25, 14.06, 33.00, 0.69, -0.02, -0.72, -0.00
6   , 9.60, -0.30, -0.38, 0.01, -0.02, -0.00, -37.25, 14.06, 33.00, 0.69, -0.02, -0.72, -0.00
7   , 9.61, -0.29, -0.36, 0.00, -0.02, -0.01, -37.25, 14.06, 33.00, 0.69, -0.02, -0.72, -0.00
8   , 9.63, -0.28, -0.36, 0.00, -0.03, -0.01, -38.38, 14.75, 34.56, 0.69, -0.02, -0.72, -0.00
9   , 9.64, -0.27, -0.33, 0.01, -0.02, -0.01, -38.38, 14.75, 34.56, 0.69, -0.02, -0.72, -0.00
10   , 9.64, -0.30, -0.39, 0.01, -0.02, -0.01, -38.38, 14.75, 34.56, 0.69, -0.02, -0.72, -0.00
11   , 9.64, -0.30, -0.39, 0.01, -0.03, -0.01, -38.38, 14.75, 34.56, 0.69, -0.02, -0.72, -0.00
12   , 9.62, -0.31, -0.34, 0.01, -0.02, -0.01, -38.38, 14.75, 34.56, 0.69, -0.02, -0.72, -0.00
13   , 9.61, -0.33, -0.34, 0.00, -0.02, -0.01, -22.25, 9.00, 20.69, 0.69, -0.02, -0.72, -0.00
14   , 9.61, -0.33, -0.36, -0.00, -0.02, -0.01, -22.25, 9.00, 20.69, 0.69, -0.02, -0.72, -0.00
15   , 9.61, -0.32, -0.40, -0.01, -0.02, -0.01, -22.25, 9.00, 20.69, 0.69, -0.02, -0.72, -0.00
16   , 9.59, -0.28, -0.39, -0.01, -0.02, -0.01, -22.25, 9.00, 20.69, 0.69, -0.02, -0.72, -0.00
