Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.35, 1.47, 1.48, -0.01, 0.12, -0.01, -24.87, 9.25, 36.88, 0.77, 0.12, -0.63, 0.01
1   , 9.31, 1.46, 1.40, -0.03, 0.10, -0.02, -26.75, 8.56, 36.06, 0.77, 0.12, -0.63, 0.01
2   , 9.27, 1.55, 1.45, -0.06, 0.09, -0.02, -26.75, 8.56, 36.06, 0.77, 0.12, -0.63, 0.01
3   , 9.19, 1.81, 1.41, -0.08, 0.09, -0.03, -26.75, 8.56, 36.06, 0.77, 0.12, -0.63, 0.01
4   , 9.14, 1.85, 1.39, -0.07, 0.09, -0.03, -26.75, 8.56, 36.06, 0.77, 0.12, -0.63, 0.01
5   , 9.06, 1.87, 1.35, -0.05, 0.10, -0.02, -26.75, 8.56, 36.06, 0.77, 0.12, -0.63, 0.01
6   , 9.06, 1.87, 1.35, -0.03, 0.10, -0.02, -14.50, 5.19, 22.75, 0.77, 0.12, -0.63, 0.01
7   , 9.03, 2.11, 1.70, 0.00, 0.11, -0.01, -14.50, 5.19, 22.75, 0.77, 0.12, -0.63, 0.01
8   , 9.04, 2.03, 1.78, 0.05, 0.11, -0.00, -14.50, 5.19, 22.75, 0.77, 0.12, -0.63, 0.01
9   , 9.04, 2.03, 1.78, 0.11, 0.13, 0.01, -14.50, 5.19, 22.75, 0.77, 0.12, -0.63, 0.01
10   , 9.08, 1.47, 1.87, 0.15, 0.12, 0.00, -14.50, 5.19, 22.75, 0.77, 0.12, -0.63, 0.01
11   , 9.08, 1.47, 1.87, 0.15, 0.12, 0.00, -14.50, 5.19, 22.75, 0.77, 0.12, -0.63, 0.01
12   , 9.27, 1.29, 1.92, 0.16, 0.09, -0.02, -16.56, 5.50, 21.56, 0.77, 0.12, -0.63, 0.01
13   , 9.36, 1.33, 2.00, 0.12, 0.07, -0.02, -16.56, 5.50, 21.56, 0.77, 0.12, -0.63, 0.01
14   , 9.14, 1.42, 1.90, 0.09, 0.06, -0.03, -16.56, 5.50, 21.56, 0.77, 0.12, -0.63, 0.01
15   , 8.94, 1.47, 1.86, 0.08, 0.06, -0.03, -16.56, 5.50, 21.56, 0.77, 0.12, -0.63, 0.01
16   , 8.88, 1.50, 1.86, 0.07, 0.04, -0.04, -16.37, 5.87, 22.06, 0.77, 0.12, -0.62, 0.01
17   , 9.06, 1.76, 1.87, 0.06, 0.03, -0.05, -16.37, 5.87, 22.06, 0.77, 0.12, -0.62, 0.01
18   , 9.06, 1.76, 1.87, 0.05, 0.02, -0.04, -16.37, 5.87, 22.06, 0.77, 0.12, -0.62, 0.01
19   , 9.14, 1.94, 1.81, 0.06, 0.02, -0.03, -16.37, 5.87, 22.06, 0.77, 0.12, -0.62, 0.01
20   , 9.05, 1.85, 1.76, 0.09, 0.03, -0.02, -16.37, 5.87, 22.06, 0.77, 0.12, -0.62, 0.01
21   , 9.02, 1.60, 1.67, 0.11, 0.03, -0.03, -15.88, 5.37, 22.06, 0.77, 0.13, -0.62, 0.02
22   , 9.08, 1.55, 1.76, 0.10, 0.03, -0.03, -15.88, 5.37, 22.06, 0.77, 0.13, -0.62, 0.02
23   , 9.15, 1.50, 1.78, 0.07, 0.03, -0.03, -15.88, 5.37, 22.06, 0.77, 0.13, -0.62, 0.02
24   , 9.13, 1.52, 1.77, 0.04, 0.02, -0.02, -15.88, 5.37, 22.06, 0.77, 0.13, -0.62, 0.02
25   , 8.98, 1.52, 1.68, 0.02, 0.01, -0.02, -15.88, 5.37, 22.06, 0.77, 0.13, -0.62, 0.02
26   , 8.95, 1.59, 1.79, -0.00, 0.01, -0.02, -14.75, 5.37, 22.00, 0.77, 0.13, -0.62, 0.02
27   , 8.95, 1.59, 1.79, -0.02, 0.00, -0.02, -14.75, 5.37, 22.00, 0.77, 0.13, -0.62, 0.02
28   , 9.12, 1.83, 1.80, -0.01, 0.00, -0.02, -14.75, 5.37, 22.00, 0.77, 0.13, -0.62, 0.02
29   , 9.11, 1.69, 1.75, 0.01, -0.00, -0.02, -14.75, 5.37, 22.00, 0.77, 0.13, -0.62, 0.02
30   , 9.05, 1.64, 1.71, 0.02, 0.00, -0.02, -14.75, 5.37, 22.00, 0.77, 0.13, -0.62, 0.02
31   , 9.01, 1.62, 1.63, 0.02, 0.00, -0.02, -15.88, 5.25, 22.00, 0.77, 0.13, -0.62, 0.01
32   , 9.02, 1.69, 1.48, 0.01, 0.00, -0.03, -15.88, 5.25, 22.00, 0.77, 0.13, -0.62, 0.01
33   , 9.08, 1.72, 1.45, 0.01, -0.00, -0.03, -15.88, 5.25, 22.00, 0.77, 0.13, -0.62, 0.01
34   , 9.08, 1.72, 1.45, 0.02, 0.01, -0.02, -15.88, 5.25, 22.00, 0.77, 0.13, -0.62, 0.01
35   , 9.15, 1.65, 1.47, 0.02, 0.01, -0.02, -15.88, 5.25, 22.00, 0.77, 0.13, -0.62, 0.01
36   , 9.15, 1.65, 1.47, 0.01, 0.02, -0.02, -15.88, 5.25, 20.75, 0.77, 0.13, -0.62, 0.01
37   , 8.95, 1.59, 1.49, 0.01, 0.02, -0.02, -15.88, 5.25, 20.75, 0.77, 0.13, -0.62, 0.01
38   , 8.97, 1.76, 1.41, -0.03, 0.02, -0.01, -15.88, 5.25, 20.75, 0.77, 0.13, -0.62, 0.01
39   , 8.97, 1.76, 1.41, -0.03, 0.02, -0.01, -15.88, 5.25, 20.75, 0.77, 0.13, -0.62, 0.01
40   , 9.06, 1.85, 1.45, -0.04, 0.02, -0.01, -15.88, 5.25, 20.75, 0.77, 0.13, -0.62, 0.01
41   , 9.14, 1.87, 1.46, -0.04, 0.03, -0.00, -15.19, 5.00, 20.75, 0.77, 0.13, -0.62, 0.01
42   , 9.13, 1.85, 1.49, -0.04, 0.03, 0.01, -15.19, 5.00, 20.75, 0.77, 0.13, -0.62, 0.01
