Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.34, -0.07, -1.65, -0.08, -0.03, 0.02, -43.69, 2.19, 23.06, 0.64, -0.01, -0.77, -0.00
1   , 9.38, -0.03, -1.61, -0.09, -0.04, 0.02, -43.69, 2.19, 23.06, 0.64, -0.01, -0.77, -0.00
2   , 9.45, 0.00, -1.61, -0.09, -0.04, 0.02, -43.69, 2.19, 23.06, 0.64, -0.01, -0.77, -0.01
3   , 9.40, 0.03, -1.57, -0.08, -0.03, 0.01, -43.69, 2.19, 23.06, 0.64, -0.01, -0.77, -0.01
4   , 9.41, 0.03, -1.55, -0.07, -0.03, 0.01, -26.25, 1.25, 13.75, 0.64, -0.01, -0.77, -0.01
5   , 9.48, 0.05, -1.66, -0.06, -0.03, 0.01, -26.25, 1.25, 13.75, 0.64, -0.01, -0.77, -0.01
6   , 9.32, 0.02, -1.47, -0.05, -0.04, 0.01, -26.25, 1.25, 13.75, 0.64, -0.01, -0.77, -0.01
7   , 9.30, 0.01, -1.55, -0.04, -0.02, 0.02, -26.25, 1.25, 13.75, 0.64, -0.01, -0.77, -0.01
8   , 9.30, 0.01, -1.55, -0.04, -0.01, 0.02, -26.25, 1.25, 13.75, 0.64, -0.01, -0.77, -0.01
9   , 9.34, -0.11, -1.50, -0.05, -0.01, 0.02, -26.06, 0.88, 14.00, 0.64, -0.01, -0.77, -0.01
10   , 9.34, -0.11, -1.50, -0.05, -0.01, 0.02, -26.06, 0.88, 14.00, 0.64, -0.01, -0.77, -0.01
11   , 9.36, -0.17, -1.60, -0.07, 0.01, 0.02, -26.06, 0.88, 14.00, 0.64, -0.01, -0.77, -0.01
12   , 9.32, -0.16, -1.68, -0.08, 0.01, 0.02, -26.06, 0.88, 14.00, 0.64, -0.01, -0.77, -0.01
13   , 9.32, -0.14, -1.72, -0.11, 0.00, 0.02, -26.06, 0.88, 14.00, 0.64, -0.01, -0.77, -0.01
