Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.44, -2.07, -0.04, -0.04, 0.01, 0.01, -18.19, 29.87, 29.06, 0.71, -0.15, -0.69, 0.00
1   , 9.44, -2.07, -0.04, -0.04, 0.01, 0.01, -18.19, 29.87, 29.06, 0.71, -0.15, -0.69, 0.00
2   , 9.41, -2.08, -0.03, -0.06, 0.01, 0.00, -18.19, 29.87, 29.06, 0.71, -0.15, -0.69, 0.00
3   , 9.42, -1.98, -0.02, -0.07, 0.01, -0.00, -18.19, 29.87, 29.06, 0.71, -0.15, -0.69, 0.00
4   , 9.43, -1.87, 0.00, -0.07, 0.01, -0.01, -18.19, 29.87, 29.06, 0.71, -0.15, -0.69, 0.00
5   , 9.43, -1.87, 0.00, -0.06, 0.01, -0.00, -11.75, 17.06, 20.06, 0.71, -0.15, -0.69, 0.00
6   , 9.43, -1.91, 0.03, -0.04, 0.00, 0.00, -11.75, 17.06, 20.06, 0.71, -0.15, -0.69, 0.00
7   , 9.40, -1.99, 0.01, -0.04, 0.00, 0.00, -11.75, 17.06, 20.06, 0.71, -0.15, -0.69, 0.00
8   , 9.40, -1.99, 0.01, -0.04, -0.00, 0.00, -11.75, 17.06, 20.06, 0.71, -0.15, -0.69, 0.00
9   , 9.42, -2.08, 0.03, -0.05, -0.01, 0.00, -11.75, 17.06, 20.06, 0.71, -0.15, -0.69, 0.00
10   , 9.42, -2.08, 0.03, -0.05, -0.01, 0.00, -11.75, 17.06, 20.06, 0.71, -0.15, -0.69, 0.00
11   , 9.42, -2.06, -0.03, -0.05, -0.01, -0.00, -11.56, 18.25, 19.87, 0.71, -0.15, -0.69, 0.00
12   , 9.47, -1.99, 0.07, -0.05, -0.01, -0.01, -11.56, 18.25, 19.87, 0.71, -0.15, -0.69, 0.00
13   , 9.46, -1.98, 0.11, -0.04, -0.01, -0.00, -11.56, 18.25, 19.87, 0.71, -0.15, -0.69, 0.00
14   , 9.46, -1.96, 0.02, -0.04, -0.01, -0.00, -11.56, 18.25, 19.87, 0.71, -0.15, -0.69, 0.00
15   , 9.39, -1.92, 0.05, -0.04, -0.01, -0.00, -11.19, 18.56, 19.56, 0.71, -0.15, -0.69, 0.00
16   , 9.43, -1.92, -0.01, -0.04, -0.02, -0.00, -11.19, 18.56, 19.56, 0.71, -0.15, -0.69, 0.00
17   , 9.49, -1.94, -0.06, -0.04, -0.02, -0.00, -11.19, 18.56, 19.56, 0.71, -0.15, -0.69, 0.00
18   , 9.40, -1.98, 0.03, -0.04, -0.02, 0.00, -11.19, 18.56, 19.56, 0.71, -0.15, -0.69, 0.00
19   , 9.40, -1.98, 0.03, -0.04, -0.02, -0.01, -11.19, 18.56, 19.56, 0.71, -0.15, -0.69, 0.00
20   , 9.42, -2.04, -0.02, -0.05, -0.02, -0.00, -11.19, 17.06, 18.69, 0.71, -0.15, -0.69, 0.00
21   , 9.42, -2.04, -0.02, -0.05, -0.02, -0.00, -11.19, 17.06, 18.69, 0.71, -0.15, -0.69, 0.00
22   , 9.47, -2.01, -0.14, -0.05, -0.01, -0.01, -11.19, 17.06, 18.69, 0.71, -0.15, -0.69, 0.00
23   , 9.46, -2.00, -0.16, -0.05, -0.01, -0.00, -11.19, 17.06, 18.69, 0.71, -0.15, -0.69, 0.00
24   , 9.43, -2.02, -0.16, -0.05, -0.01, -0.00, -11.19, 17.06, 18.69, 0.71, -0.15, -0.69, 0.00
25   , 9.44, -1.96, -0.18, -0.05, -0.01, -0.01, -11.88, 17.87, 19.87, 0.71, -0.15, -0.69, 0.00
26   , 9.46, -1.92, -0.15, -0.05, -0.01, -0.01, -11.88, 17.87, 19.87, 0.71, -0.15, -0.69, -0.00
27   , 9.48, -1.86, -0.18, -0.04, -0.01, -0.01, -11.88, 17.87, 19.87, 0.71, -0.15, -0.69, -0.00
28   , 9.44, -1.93, -0.13, -0.03, -0.01, -0.00, -11.88, 17.87, 19.87, 0.71, -0.15, -0.69, -0.00
29   , 9.42, -1.92, -0.12, -0.03, -0.01, -0.00, -11.88, 17.87, 19.87, 0.71, -0.15, -0.69, -0.00
30   , 9.43, -1.95, -0.15, -0.03, -0.00, -0.01, -11.19, 18.25, 19.37, 0.71, -0.15, -0.69, -0.00
31   , 9.45, -1.96, -0.06, -0.03, 0.00, -0.00, -11.19, 18.25, 19.37, 0.71, -0.15, -0.69, -0.00
32   , 9.43, -2.01, -0.11, -0.02, -0.00, -0.00, -11.19, 18.25, 19.37, 0.71, -0.15, -0.69, -0.00
33   , 9.45, -2.03, -0.11, -0.02, -0.00, -0.00, -11.19, 18.25, 19.37, 0.71, -0.15, -0.69, -0.00
34   , 9.44, -2.00, -0.07, -0.02, -0.00, -0.00, -11.19, 18.25, 19.37, 0.71, -0.15, -0.69, -0.00
35   , 9.45, -1.98, -0.08, -0.02, -0.00, -0.00, -11.50, 17.87, 19.00, 0.71, -0.15, -0.69, -0.00
36   , 9.40, -1.98, -0.08, -0.02, 0.00, -0.00, -11.50, 17.87, 19.00, 0.71, -0.15, -0.69, -0.00
37   , 9.40, -1.98, -0.08, -0.02, -0.00, -0.00, -11.50, 17.87, 19.00, 0.71, -0.15, -0.69, -0.00
38   , 9.42, -2.00, -0.09, -0.02, -0.00, -0.01, -11.50, 17.87, 19.00, 0.71, -0.15, -0.69, -0.00
39   , 9.47, -1.97, -0.04, -0.02, -0.00, -0.01, -11.50, 17.87, 19.00, 0.71, -0.15, -0.69, -0.00
40   , 9.47, -1.99, -0.05, -0.03, 0.00, -0.01, -10.75, 16.75, 19.00, 0.71, -0.15, -0.69, -0.00
41   , 9.41, -1.97, -0.05, -0.03, 0.00, -0.01, -10.75, 16.75, 19.00, 0.71, -0.15, -0.69, -0.00
42   , 9.46, -1.90, 0.00, -0.02, -0.01, -0.01, -10.75, 16.75, 19.00, 0.71, -0.15, -0.69, -0.00
43   , 9.47, -1.91, -0.01, -0.02, -0.01, -0.01, -10.75, 16.75, 19.00, 0.71, -0.15, -0.69, -0.00
44   , 9.45, -1.94, -0.04, -0.01, -0.01, 0.00, -11.50, 17.87, 18.25, 0.71, -0.15, -0.69, -0.00
45   , 9.43, -1.97, -0.06, -0.01, -0.01, 0.00, -11.50, 17.87, 18.25, 0.71, -0.15, -0.69, -0.00
46   , 9.43, -1.97, -0.05, -0.01, -0.01, -0.00, -11.50, 17.87, 18.25, 0.71, -0.15, -0.69, -0.00
47   , 9.41, -1.97, -0.08, -0.01, -0.01, -0.00, -11.50, 17.87, 18.25, 0.71, -0.15, -0.69, -0.00
48   , 9.43, -1.99, -0.12, -0.01, -0.01, 0.00, -11.50, 17.87, 18.25, 0.71, -0.15, -0.69, -0.00
49   , 9.48, -1.94, -0.22, -0.01, -0.00, -0.00, -10.38, 17.87, 18.69, 0.71, -0.15, -0.69, -0.00
50   , 9.48, -1.95, -0.15, -0.01, -0.00, -0.00, -10.38, 17.87, 18.69, 0.71, -0.15, -0.69, -0.00
51   , 9.45, -1.96, -0.23, -0.01, -0.00, -0.00, -10.38, 17.87, 18.69, 0.71, -0.15, -0.69, -0.00
52   , 9.43, -1.95, -0.19, -0.00, 0.00, -0.00, -10.38, 17.87, 18.69, 0.71, -0.15, -0.69, -0.00
53   , 9.42, -1.94, -0.16, -0.00, 0.01, -0.00, -10.38, 17.87, 18.69, 0.71, -0.15, -0.69, -0.00
54   , 9.45, -1.96, -0.14, -0.00, 0.01, -0.00, -10.75, 17.50, 18.75, 0.71, -0.15, -0.69, -0.00
55   , 9.45, -1.94, -0.15, -0.00, 0.01, -0.00, -10.75, 17.50, 18.75, 0.71, -0.15, -0.69, -0.00
56   , 9.43, -1.92, -0.13, -0.00, 0.01, -0.00, -10.75, 17.50, 18.75, 0.71, -0.15, -0.69, -0.00
57   , 9.44, -1.92, -0.07, 0.00, 0.01, -0.00, -10.75, 17.50, 18.75, 0.71, -0.15, -0.69, -0.00
58   , 9.41, -1.96, -0.07, 0.00, 0.01, 0.00, -10.75, 17.50, 18.75, 0.71, -0.15, -0.69, -0.00
59   , 9.40, -1.97, -0.09, 0.00, 0.01, 0.00, -11.19, 17.87, 18.25, 0.71, -0.15, -0.69, -0.00
60   , 9.44, -1.91, -0.12, -0.00, 0.01, 0.00, -11.19, 17.87, 18.25, 0.71, -0.15, -0.69, -0.00
61   , 9.46, -1.88, -0.12, 0.01, 0.01, 0.00, -11.19, 17.87, 18.25, 0.71, -0.15, -0.69, -0.00
62   , 9.41, -1.92, -0.05, 0.02, 0.01, 0.00, -11.19, 17.87, 18.25, 0.71, -0.15, -0.69, -0.00
63   , 9.42, -1.99, -0.06, 0.02, 0.01, 0.00, -11.19, 17.87, 18.25, 0.71, -0.15, -0.69, -0.00
64   , 9.44, -2.03, 0.00, 0.02, 0.01, 0.01, -10.75, 17.19, 19.50, 0.71, -0.15, -0.69, -0.00
65   , 9.49, -2.00, -0.04, 0.01, 0.01, -0.00, -10.75, 17.19, 19.50, 0.71, -0.15, -0.69, -0.00
66   , 9.49, -1.94, 0.07, -0.01, 0.01, -0.00, -10.75, 17.19, 19.50, 0.71, -0.15, -0.69, -0.00
67   , 9.48, -1.87, 0.06, -0.02, 0.00, -0.00, -10.75, 17.19, 19.50, 0.71, -0.15, -0.69, -0.00
68   , 9.44, -1.85, 0.07, -0.01, 0.00, -0.00, -10.75, 17.19, 19.50, 0.71, -0.15, -0.69, -0.00
69   , 9.44, -1.87, 0.10, -0.01, 0.00, 0.00, -11.50, 17.50, 18.75, 0.71, -0.15, -0.69, -0.00
70   , 9.40, -1.93, 0.05, -0.00, -0.00, 0.01, -11.50, 17.50, 18.75, 0.71, -0.15, -0.69, -0.00
71   , 9.45, -2.00, -0.01, -0.00, -0.01, 0.01, -11.50, 17.50, 18.75, 0.71, -0.15, -0.69, -0.00
72   , 9.48, -1.99, 0.00, -0.00, -0.01, 0.01, -11.50, 17.50, 18.75, 0.71, -0.15, -0.69, -0.00
73   , 9.43, -2.03, -0.04, -0.01, -0.01, 0.01, -11.50, 17.50, 18.75, 0.71, -0.15, -0.69, -0.00
74   , 9.43, -2.01, -0.07, -0.00, -0.01, 0.01, -10.75, 17.87, 19.06, 0.71, -0.15, -0.69, -0.00
75   , 9.42, -1.96, -0.12, -0.00, -0.00, 0.01, -10.75, 17.87, 19.06, 0.71, -0.15, -0.69, -0.00
