Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.63, -1.51, -0.74, 0.02, -0.02, -0.01, -35.88, 23.19, 32.56, 0.68, -0.12, -0.72, 0.00
1   , 9.63, -1.51, -0.74, 0.02, -0.02, -0.01, -35.88, 23.19, 32.56, 0.68, -0.12, -0.72, 0.00
2   , 9.65, -1.51, -0.76, 0.03, -0.02, 0.00, -35.88, 23.19, 32.56, 0.68, -0.12, -0.72, 0.00
3   , 9.61, -1.51, -0.70, 0.02, -0.03, 0.01, -35.06, 22.37, 31.75, 0.68, -0.11, -0.72, 0.00
4   , 9.61, -1.51, -0.70, 0.02, -0.03, 0.01, -35.06, 22.37, 31.75, 0.68, -0.11, -0.72, 0.00
5   , 9.59, -1.49, -0.68, 0.02, -0.03, 0.01, -35.06, 22.37, 31.75, 0.68, -0.11, -0.72, 0.00
6   , 9.60, -1.42, -0.72, 0.01, -0.04, 0.01, -35.06, 22.37, 31.75, 0.68, -0.11, -0.73, 0.00
7   , 9.60, -1.33, -0.67, 0.02, -0.04, 0.00, -35.06, 22.37, 31.75, 0.68, -0.11, -0.73, 0.00
8   , 9.61, -1.32, -0.67, 0.03, -0.04, 0.01, -35.06, 22.37, 31.75, 0.68, -0.11, -0.73, 0.00
9   , 9.61, -1.36, -0.69, 0.05, -0.05, 0.01, -35.88, 23.50, 31.06, 0.68, -0.11, -0.73, 0.00
10   , 9.61, -1.36, -0.69, 0.06, -0.05, 0.01, -35.88, 23.50, 31.06, 0.68, -0.11, -0.73, 0.00
11   , 9.59, -1.36, -0.70, 0.07, -0.05, 0.02, -35.88, 23.50, 31.06, 0.68, -0.11, -0.73, 0.00
12   , 9.61, -1.44, -0.63, 0.08, -0.05, 0.02, -35.88, 23.50, 31.06, 0.68, -0.11, -0.73, 0.00
13   , 9.57, -1.51, -0.63, 0.08, -0.04, 0.02, -35.88, 23.50, 31.06, 0.68, -0.11, -0.73, 0.00
14   , 9.70, -1.52, -0.70, 0.07, -0.04, 0.01, -21.50, 14.00, 20.88, 0.68, -0.11, -0.73, 0.00
15   , 9.62, -1.60, -0.69, 0.06, -0.06, 0.01, -21.50, 14.00, 20.88, 0.68, -0.11, -0.73, 0.00
16   , 9.59, -1.59, -0.70, 0.05, -0.06, 0.02, -21.50, 14.00, 20.88, 0.68, -0.11, -0.73, 0.00
17   , 9.58, -1.62, -0.64, 0.01, -0.06, 0.01, -21.50, 14.00, 20.88, 0.68, -0.11, -0.73, 0.00
18   , 9.62, -1.65, -0.56, 0.01, -0.06, 0.01, -21.50, 14.00, 20.88, 0.68, -0.11, -0.73, 0.00
19   , 9.66, -1.69, -0.57, -0.00, -0.07, 0.01, -21.37, 14.00, 19.69, 0.68, -0.11, -0.73, 0.00
20   , 9.67, -1.71, -0.55, -0.01, -0.07, 0.01, -21.37, 14.00, 19.69, 0.68, -0.11, -0.73, 0.00
21   , 9.60, -1.59, -0.63, -0.04, -0.06, -0.00, -21.37, 14.00, 19.69, 0.68, -0.11, -0.73, 0.00
22   , 9.53, -1.44, -0.64, -0.04, -0.06, -0.00, -21.37, 14.00, 19.69, 0.68, -0.11, -0.73, 0.00
23   , 9.50, -1.39, -0.59, -0.03, -0.05, -0.02, -21.37, 14.00, 19.69, 0.68, -0.11, -0.73, 0.00
24   , 9.48, -1.37, -0.59, -0.03, -0.03, -0.02, -21.37, 13.88, 19.87, 0.68, -0.11, -0.73, 0.00
25   , 9.48, -1.37, -0.59, -0.03, -0.03, -0.02, -21.37, 13.88, 19.87, 0.68, -0.11, -0.73, 0.00
26   , 9.61, -1.33, -0.66, -0.02, -0.03, -0.02, -21.37, 13.88, 19.87, 0.68, -0.11, -0.73, 0.00
27   , 9.65, -1.34, -0.69, -0.02, -0.03, -0.02, -21.37, 13.88, 19.87, 0.68, -0.11, -0.73, 0.00
28   , 9.59, -1.29, -0.76, -0.02, -0.03, -0.03, -21.37, 13.88, 19.87, 0.68, -0.11, -0.73, 0.00
29   , 9.57, -1.27, -0.77, 0.00, -0.02, -0.02, -21.75, 13.50, 18.56, 0.68, -0.11, -0.73, 0.00
30   , 9.58, -1.31, -0.79, 0.03, -0.02, -0.03, -21.75, 13.50, 18.56, 0.68, -0.11, -0.73, 0.00
31   , 9.59, -1.34, -0.84, 0.04, -0.03, -0.02, -21.75, 13.50, 18.56, 0.68, -0.11, -0.73, 0.00
32   , 9.63, -1.46, -0.84, 0.05, -0.03, -0.01, -21.75, 13.50, 18.56, 0.68, -0.11, -0.73, 0.00
33   , 9.67, -1.54, -0.83, 0.05, -0.03, 0.00, -21.75, 13.50, 18.56, 0.68, -0.11, -0.73, 0.00
34   , 9.67, -1.54, -0.83, 0.04, -0.03, 0.01, -21.25, 14.00, 21.00, 0.68, -0.11, -0.73, 0.00
35   , 9.56, -1.65, -0.89, 0.02, -0.04, 0.01, -21.25, 14.00, 21.00, 0.68, -0.11, -0.73, 0.00
36   , 9.51, -1.51, -0.90, 0.02, -0.06, 0.01, -21.25, 14.00, 21.00, 0.68, -0.11, -0.73, 0.00
37   , 9.51, -1.51, -0.90, 0.02, -0.06, 0.00, -21.25, 14.00, 21.00, 0.68, -0.11, -0.73, 0.00
38   , 9.56, -1.35, -0.73, 0.02, -0.05, -0.00, -21.25, 14.00, 21.00, 0.68, -0.11, -0.73, 0.00
39   , 9.56, -1.35, -0.73, 0.02, -0.05, -0.00, -21.00, 14.25, 19.37, 0.68, -0.11, -0.73, 0.00
40   , 9.62, -1.25, -0.61, 0.04, -0.03, -0.02, -21.00, 14.25, 19.37, 0.68, -0.11, -0.73, 0.00
41   , 9.62, -1.25, -0.61, 0.04, -0.03, -0.02, -21.00, 14.25, 19.37, 0.68, -0.11, -0.73, 0.00
42   , 9.56, -1.21, -0.64, 0.05, -0.03, -0.03, -21.00, 14.25, 19.37, 0.68, -0.11, -0.73, 0.00
43   , 9.62, -1.40, -0.61, 0.03, -0.02, -0.01, -20.69, 15.00, 19.75, 0.68, -0.11, -0.73, 0.00
44   , 9.62, -1.40, -0.61, 0.03, -0.02, -0.01, -20.69, 15.00, 19.75, 0.68, -0.11, -0.73, 0.00
45   , 9.66, -1.44, -0.76, 0.02, -0.03, -0.01, -20.69, 15.00, 19.75, 0.68, -0.11, -0.73, 0.00
46   , 9.61, -1.42, -0.78, 0.01, -0.03, -0.01, -20.69, 15.00, 19.75, 0.68, -0.11, -0.73, 0.00
47   , 9.57, -1.38, -0.81, 0.02, -0.03, 0.00, -20.69, 15.00, 19.75, 0.68, -0.11, -0.73, 0.00
48   , 9.57, -1.38, -0.81, 0.02, -0.03, 0.00, -20.25, 13.88, 19.50, 0.68, -0.11, -0.73, 0.00
49   , 9.60, -1.28, -0.79, 0.03, -0.02, -0.01, -20.25, 13.88, 19.50, 0.67, -0.11, -0.73, 0.00
50   , 9.61, -1.31, -0.81, 0.04, -0.01, -0.00, -20.25, 13.88, 19.50, 0.67, -0.11, -0.73, 0.00
51   , 9.61, -1.34, -0.80, 0.03, -0.02, -0.01, -20.25, 13.88, 19.50, 0.67, -0.11, -0.73, 0.00
52   , 9.59, -1.39, -0.81, 0.03, -0.02, -0.01, -20.25, 13.88, 19.50, 0.67, -0.11, -0.73, 0.00
53   , 9.55, -1.38, -0.79, 0.01, -0.02, -0.01, -21.37, 14.25, 19.87, 0.67, -0.11, -0.73, 0.00
54   , 9.54, -1.38, -0.80, 0.00, -0.02, -0.00, -21.37, 14.25, 19.87, 0.67, -0.11, -0.73, 0.00
55   , 9.61, -1.47, -0.84, 0.00, -0.01, -0.00, -21.37, 14.25, 19.87, 0.67, -0.11, -0.73, 0.00
56   , 9.64, -1.54, -0.86, 0.00, -0.01, -0.00, -21.37, 14.25, 19.87, 0.67, -0.11, -0.73, 0.00
57   , 9.64, -1.54, -0.89, -0.00, -0.02, -0.00, -21.37, 14.25, 19.87, 0.67, -0.11, -0.73, 0.00
58   , 9.64, -1.57, -0.93, -0.01, -0.02, 0.00, -21.37, 13.88, 19.56, 0.67, -0.11, -0.73, 0.00
59   , 9.53, -1.56, -0.91, -0.02, -0.02, 0.00, -21.37, 13.88, 19.56, 0.67, -0.11, -0.73, 0.00
60   , 9.62, -1.60, -1.00, -0.03, -0.01, -0.00, -21.37, 13.88, 19.56, 0.67, -0.11, -0.73, 0.00
61   , 9.69, -1.55, -0.96, -0.04, -0.02, -0.00, -21.37, 13.88, 19.56, 0.67, -0.11, -0.73, 0.00
62   , 9.66, -1.37, -0.93, -0.04, -0.03, -0.00, -21.37, 13.88, 19.56, 0.67, -0.11, -0.73, 0.00
63   , 9.61, -1.30, -0.98, -0.05, -0.03, -0.01, -21.00, 14.56, 20.69, 0.67, -0.11, -0.73, 0.00
64   , 9.54, -1.25, -0.97, -0.05, -0.03, -0.02, -21.00, 14.56, 20.69, 0.67, -0.11, -0.73, 0.00
65   , 9.52, -1.28, -0.94, -0.04, -0.04, -0.02, -21.00, 14.56, 20.69, 0.67, -0.11, -0.73, 0.00
66   , 9.64, -1.34, -0.89, -0.03, -0.04, -0.01, -21.00, 14.56, 20.69, 0.67, -0.11, -0.73, 0.00
67   , 9.68, -1.38, -0.88, -0.03, -0.04, -0.01, -21.00, 14.56, 20.69, 0.67, -0.11, -0.73, 0.00
68   , 9.66, -1.42, -0.87, -0.04, -0.05, -0.01, -21.50, 13.75, 21.00, 0.67, -0.11, -0.73, 0.00
69   , 9.66, -1.42, -0.87, -0.04, -0.05, -0.01, -21.50, 13.75, 21.00, 0.67, -0.11, -0.73, 0.00
70   , 9.56, -1.41, -0.92, -0.06, -0.05, 0.00, -21.50, 13.75, 21.00, 0.67, -0.11, -0.73, 0.00
71   , 9.63, -1.35, -0.87, -0.06, -0.06, 0.01, -21.50, 13.75, 21.00, 0.67, -0.11, -0.73, 0.00
72   , 9.67, -1.37, -0.82, -0.05, -0.06, 0.01, -21.50, 13.75, 21.00, 0.67, -0.11, -0.73, 0.00
73   , 9.55, -1.34, -0.80, -0.05, -0.06, 0.01, -20.75, 14.50, 20.25, 0.67, -0.11, -0.73, 0.00
74   , 9.54, -1.36, -0.78, -0.05, -0.05, 0.01, -20.75, 14.50, 20.25, 0.67, -0.11, -0.73, 0.00
75   , 9.59, -1.36, -0.79, -0.05, -0.05, 0.00, -20.75, 14.50, 20.25, 0.67, -0.11, -0.73, 0.00
76   , 9.61, -1.35, -0.76, -0.04, -0.05, 0.01, -20.75, 14.50, 20.25, 0.67, -0.11, -0.73, 0.00
77   , 9.56, -1.35, -0.76, -0.04, -0.06, 0.01, -20.75, 14.50, 20.25, 0.67, -0.11, -0.73, 0.00
78   , 9.60, -1.31, -0.74, -0.04, -0.05, 0.00, -21.87, 13.75, 19.87, 0.67, -0.11, -0.73, 0.00
79   , 9.61, -1.30, -0.68, -0.03, -0.05, 0.00, -21.87, 13.75, 19.87, 0.67, -0.11, -0.73, 0.00
80   , 9.57, -1.37, -0.77, -0.02, -0.05, 0.01, -21.87, 13.75, 19.87, 0.67, -0.11, -0.73, 0.00
81   , 9.54, -1.44, -0.80, -0.01, -0.05, 0.00, -21.87, 13.75, 19.87, 0.67, -0.11, -0.73, 0.00
82   , 9.60, -1.47, -0.84, -0.00, -0.06, 0.00, -21.87, 13.75, 19.87, 0.67, -0.11, -0.73, 0.00
83   , 9.60, -1.53, -0.82, -0.01, -0.07, 0.01, -20.75, 13.75, 19.75, 0.67, -0.11, -0.73, 0.00
84   , 9.60, -1.53, -0.82, -0.02, -0.07, 0.02, -20.75, 13.75, 19.75, 0.67, -0.11, -0.73, 0.00
85   , 9.56, -1.52, -0.96, -0.04, -0.06, 0.02, -20.75, 13.75, 19.75, 0.67, -0.11, -0.73, 0.00
86   , 9.60, -1.24, -0.90, -0.05, -0.05, 0.00, -20.75, 13.75, 19.75, 0.67, -0.11, -0.73, 0.00
87   , 9.60, -1.24, -0.90, -0.05, -0.05, 0.00, -20.75, 13.75, 19.75, 0.67, -0.11, -0.73, 0.00
88   , 9.64, -1.27, -0.86, -0.02, -0.06, -0.00, -21.06, 13.38, 21.50, 0.67, -0.11, -0.73, 0.00
89   , 9.73, -1.45, -0.90, -0.02, -0.06, -0.00, -21.06, 13.38, 21.50, 0.67, -0.11, -0.73, 0.00
90   , 9.92, -2.03, -0.92, -0.07, -0.06, 0.03, -21.06, 13.38, 21.50, 0.67, -0.11, -0.73, 0.00
91   , 9.92, -2.03, -0.92, -0.07, -0.06, 0.03, -21.06, 13.38, 21.50, 0.67, -0.11, -0.73, -0.00
92   , 9.54, -1.91, -1.14, -0.12, -0.05, 0.04, -21.06, 13.38, 21.50, 0.67, -0.11, -0.73, -0.00
93   , 9.15, -1.63, -1.25, -0.17, -0.05, 0.03, -20.88, 13.06, 19.87, 0.67, -0.11, -0.74, -0.00
94   , 9.26, -0.89, -1.04, -0.20, -0.08, -0.01, -20.88, 13.06, 19.87, 0.67, -0.11, -0.74, -0.00
95   , 9.50, -0.70, -0.92, -0.16, -0.09, -0.03, -20.88, 13.06, 19.87, 0.67, -0.12, -0.74, -0.00
96   , 9.65, -0.75, -0.87, -0.08, -0.07, -0.03, -20.88, 13.06, 19.87, 0.67, -0.12, -0.74, -0.00
97   , 9.84, -0.88, -0.87, -0.02, -0.07, -0.02, -20.88, 13.06, 19.87, 0.67, -0.12, -0.74, -0.00
98   , 9.64, -1.39, -0.94, 0.01, -0.08, -0.02, -20.75, 13.38, 19.87, 0.67, -0.11, -0.74, -0.00
99   , 9.48, -1.54, -0.96, -0.01, -0.09, -0.03, -20.75, 13.38, 19.87, 0.67, -0.11, -0.74, -0.00
100   , 9.49, -1.12, -0.94, -0.01, -0.03, -0.02, -20.75, 13.38, 19.87, 0.67, -0.11, -0.74, -0.00
101   , 9.62, -1.10, -0.93, -0.01, -0.03, -0.02, -20.75, 13.38, 19.87, 0.67, -0.11, -0.74, -0.00
102   , 9.67, -1.16, -1.01, 0.08, -0.07, -0.01, -20.25, 13.38, 20.25, 0.67, -0.11, -0.74, -0.00
103   , 9.66, -1.26, -1.16, 0.08, -0.07, -0.01, -20.25, 13.38, 20.25, 0.67, -0.11, -0.74, -0.00
104   , 9.61, -1.35, -1.26, 0.09, -0.09, 0.01, -20.25, 13.38, 20.25, 0.67, -0.11, -0.74, -0.00
105   , 9.49, -1.28, -1.23, 0.10, -0.09, 0.03, -20.25, 13.38, 20.25, 0.66, -0.11, -0.74, -0.00
106   , 9.50, -1.23, -1.12, 0.10, -0.07, 0.02, -20.25, 13.38, 20.25, 0.66, -0.11, -0.74, -0.00
107   , 9.70, -1.40, -1.02, 0.11, -0.06, 0.00, -21.00, 13.00, 21.19, 0.66, -0.11, -0.74, -0.00
108   , 9.68, -1.64, -1.04, 0.12, -0.05, -0.00, -21.00, 13.00, 21.19, 0.66, -0.11, -0.74, -0.00
109   , 9.55, -1.71, -1.04, 0.12, -0.06, 0.02, -21.00, 13.00, 21.19, 0.66, -0.11, -0.74, 0.00
110   , 9.46, -1.72, -1.03, 0.08, -0.06, 0.05, -21.00, 13.00, 21.19, 0.66, -0.11, -0.74, 0.00
111   , 9.61, -1.60, -0.99, 0.03, -0.06, 0.04, -21.00, 13.00, 21.19, 0.66, -0.11, -0.74, 0.00
112   , 9.59, -1.47, -0.92, -0.01, -0.04, 0.03, -21.06, 14.19, 21.06, 0.66, -0.11, -0.74, 0.00
113   , 9.59, -1.47, -0.92, -0.03, -0.03, 0.02, -21.06, 14.19, 21.06, 0.66, -0.11, -0.74, 0.00
114   , 9.51, -1.33, -0.90, -0.03, -0.02, 0.00, -21.06, 14.19, 21.06, 0.66, -0.11, -0.74, 0.00
