Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.36, 0.72, 1.47, 0.00, -0.01, 0.00, -14.87, 4.25, 24.25, 0.76, 0.05, -0.65, 0.00
1   , 9.39, 0.74, 1.51, 0.00, -0.01, 0.00, -14.87, 4.25, 24.25, 0.76, 0.05, -0.65, 0.00
2   , 9.40, 0.76, 1.47, 0.02, -0.02, 0.00, -14.87, 4.25, 24.25, 0.76, 0.05, -0.65, 0.00
3   , 9.37, 0.72, 1.42, 0.04, -0.02, 0.00, -14.87, 4.25, 24.25, 0.76, 0.05, -0.65, 0.00
4   , 9.23, 0.57, 1.30, 0.05, -0.02, -0.00, -14.87, 4.25, 24.25, 0.76, 0.05, -0.65, 0.00
5   , 9.23, 0.57, 1.30, 0.05, -0.02, 0.00, -14.87, 4.25, 24.25, 0.76, 0.05, -0.65, 0.00
6   , 9.29, 0.54, 1.20, 0.03, -0.03, -0.00, -15.69, 3.50, 24.56, 0.76, 0.05, -0.65, 0.00
7   , 9.29, 0.54, 1.20, 0.03, -0.03, -0.00, -15.69, 3.50, 24.56, 0.76, 0.05, -0.65, 0.00
8   , 9.39, 0.83, 1.09, 0.01, -0.02, -0.01, -15.69, 3.50, 24.56, 0.76, 0.05, -0.65, 0.00
9   , 9.39, 0.91, 1.09, 0.00, -0.01, -0.00, -15.69, 3.50, 24.56, 0.76, 0.05, -0.65, 0.00
10   , 9.39, 0.91, 1.09, 0.00, -0.01, -0.00, -15.69, 3.50, 24.56, 0.76, 0.05, -0.65, 0.00
11   , 9.23, 0.93, 1.05, 0.04, 0.01, 0.01, -16.25, 4.06, 24.00, 0.76, 0.05, -0.65, 0.00
12   , 9.23, 0.93, 1.05, 0.04, 0.01, 0.01, -16.25, 4.06, 24.00, 0.76, 0.05, -0.65, 0.00
13   , 9.29, 0.83, 1.21, 0.04, 0.01, 0.01, -16.25, 4.06, 24.00, 0.76, 0.05, -0.65, 0.00
14   , 9.45, 0.77, 1.25, 0.05, 0.02, 0.01, -16.25, 4.06, 24.00, 0.76, 0.05, -0.65, 0.00
15   , 9.46, 0.75, 1.35, 0.05, 0.01, 0.01, -16.25, 4.06, 24.00, 0.76, 0.05, -0.65, 0.00
16   , 9.39, 0.70, 1.36, 0.04, 0.01, 0.01, -16.25, 4.06, 24.00, 0.76, 0.05, -0.65, 0.00
17   , 9.26, 0.62, 1.40, 0.04, 0.02, 0.01, -13.88, 4.50, 23.50, 0.76, 0.05, -0.65, 0.00
18   , 9.28, 0.54, 1.39, 0.04, 0.02, 0.01, -13.88, 4.50, 23.50, 0.76, 0.05, -0.65, 0.00
19   , 9.29, 0.46, 1.26, 0.05, 0.02, 0.01, -13.88, 4.50, 23.50, 0.76, 0.05, -0.65, 0.00
20   , 9.28, 0.50, 1.23, 0.04, 0.01, 0.00, -13.88, 4.50, 23.50, 0.76, 0.05, -0.65, 0.00
21   , 9.28, 0.50, 1.23, 0.02, 0.01, 0.00, -13.88, 4.50, 23.50, 0.76, 0.05, -0.65, 0.00
22   , 9.33, 0.53, 1.24, -0.02, 0.01, -0.01, -15.56, 4.37, 24.75, 0.76, 0.05, -0.65, 0.00
23   , 9.33, 0.53, 1.24, -0.02, 0.01, -0.01, -15.56, 4.37, 24.75, 0.76, 0.05, -0.65, 0.00
24   , 9.32, 0.79, 1.29, -0.05, 0.01, -0.01, -15.56, 4.37, 24.75, 0.76, 0.05, -0.65, 0.00
25   , 9.32, 0.80, 1.33, -0.05, 0.01, -0.00, -15.56, 4.37, 24.75, 0.76, 0.05, -0.65, 0.00
26   , 9.32, 0.80, 1.33, -0.05, 0.01, -0.00, -15.56, 4.37, 24.75, 0.76, 0.05, -0.65, 0.00
27   , 9.29, 0.75, 1.36, -0.03, 0.01, -0.00, -15.06, 4.00, 23.87, 0.76, 0.05, -0.65, 0.00
