Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.15, 0.52, -2.62, 0.00, 0.01, -0.00, -42.56, 0.00, 26.87, 0.60, 0.04, -0.80, -0.00
1   , 9.11, 0.55, -2.65, -0.00, -0.01, -0.01, -42.56, 0.00, 26.87, 0.60, 0.04, -0.80, -0.00
2   , 9.11, 0.55, -2.65, -0.01, -0.01, -0.01, -42.56, 0.00, 26.87, 0.60, 0.04, -0.80, -0.00
3   , 9.20, 0.62, -2.60, -0.02, -0.01, -0.00, -42.56, 0.00, 26.87, 0.60, 0.04, -0.80, -0.00
4   , 9.21, 0.61, -2.60, -0.02, -0.00, 0.00, -42.25, -1.06, 26.50, 0.60, 0.04, -0.80, -0.00
5   , 9.20, 0.58, -2.61, -0.01, -0.00, 0.01, -42.25, -1.06, 26.50, 0.60, 0.04, -0.80, -0.00
6   , 9.15, 0.62, -2.64, -0.01, -0.01, 0.01, -42.25, -1.06, 26.50, 0.60, 0.04, -0.80, -0.00
7   , 9.15, 0.62, -2.64, -0.02, -0.02, 0.01, -42.25, -1.06, 26.50, 0.60, 0.04, -0.80, -0.00
8   , 9.12, 0.72, -2.61, -0.01, -0.00, 0.00, -42.25, -1.06, 26.50, 0.60, 0.04, -0.80, -0.00
9   , 9.12, 0.72, -2.61, 0.01, 0.00, -0.00, -41.50, -1.06, 26.50, 0.60, 0.04, -0.80, -0.00
10   , 9.15, 0.70, -2.63, 0.01, 0.00, -0.00, -41.50, -1.06, 26.50, 0.60, 0.04, -0.80, -0.00
11   , 9.15, 0.58, -2.63, 0.02, 0.00, -0.01, -41.50, -1.06, 26.50, 0.60, 0.04, -0.80, -0.00
12   , 9.15, 0.58, -2.63, 0.02, 0.00, -0.01, -41.50, -1.06, 26.50, 0.60, 0.04, -0.80, -0.00
13   , 9.16, 0.54, -2.62, 0.03, 0.01, -0.01, -41.50, -1.06, 26.50, 0.60, 0.04, -0.80, -0.00
14   , 9.16, 0.53, -2.60, 0.03, -0.00, -0.00, -41.50, -0.37, 26.87, 0.60, 0.04, -0.80, -0.00
15   , 9.18, 0.51, -2.62, 0.03, -0.00, -0.00, -41.50, -0.37, 26.87, 0.60, 0.04, -0.80, -0.00
16   , 9.17, 0.46, -2.63, -0.00, -0.01, 0.01, -41.50, -0.37, 26.87, 0.60, 0.04, -0.80, -0.00
17   , 9.18, 0.53, -2.68, -0.00, -0.01, 0.01, -41.50, -0.37, 26.87, 0.60, 0.04, -0.80, -0.00
