Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 8.94, 0.79, 2.58, -0.01, -0.02, 0.03, -24.25, -12.00, -31.37, 0.80, 0.07, -0.59, 0.00
1   , 8.96, 0.80, 2.67, -0.02, -0.02, 0.03, -24.25, -12.00, -31.37, 0.80, 0.07, -0.59, 0.00
2   , 8.95, 0.83, 2.67, -0.02, -0.02, 0.02, -24.25, -12.00, -31.37, 0.80, 0.07, -0.59, 0.00
3   , 8.93, 0.84, 2.70, -0.01, -0.02, 0.01, -24.25, -11.50, -31.19, 0.80, 0.07, -0.59, 0.00
4   , 8.85, 0.82, 2.69, -0.01, -0.01, 0.01, -24.25, -11.50, -31.19, 0.80, 0.07, -0.59, 0.00
5   , 8.85, 0.82, 2.69, -0.01, -0.01, 0.01, -24.25, -11.50, -31.19, 0.80, 0.07, -0.59, 0.00
6   , 8.81, 0.83, 2.66, -0.01, -0.01, 0.00, -24.25, -11.50, -31.19, 0.80, 0.07, -0.59, 0.00
7   , 8.85, 0.82, 2.62, -0.00, -0.02, 0.01, -24.25, -11.50, -31.19, 0.80, 0.07, -0.59, 0.00
8   , 8.96, 0.87, 2.59, 0.00, -0.02, 0.01, -24.00, -11.50, -30.00, 0.80, 0.07, -0.59, 0.00
9   , 8.95, 0.89, 2.60, 0.00, -0.01, 0.00, -24.00, -11.50, -30.00, 0.80, 0.07, -0.59, 0.00
10   , 8.95, 0.89, 2.60, -0.00, -0.01, 0.01, -24.00, -11.50, -30.00, 0.80, 0.07, -0.59, 0.00
11   , 8.95, 0.94, 2.67, -0.01, -0.01, 0.01, -24.00, -11.50, -30.00, 0.80, 0.07, -0.59, 0.00
12   , 8.89, 0.94, 2.69, -0.01, -0.01, 0.01, -24.00, -11.50, -30.00, 0.80, 0.07, -0.59, 0.00
13   , 8.87, 0.93, 2.67, -0.01, -0.02, 0.01, -24.00, -12.56, -31.56, 0.80, 0.07, -0.59, 0.00
14   , 8.84, 0.91, 2.64, -0.01, -0.03, 0.01, -24.00, -12.56, -31.56, 0.80, 0.07, -0.59, 0.00
15   , 8.84, 0.91, 2.64, -0.01, -0.02, 0.01, -24.00, -12.56, -31.56, 0.80, 0.07, -0.59, 0.00
16   , 8.89, 0.83, 2.63, -0.01, -0.01, 0.00, -24.00, -12.56, -31.56, 0.80, 0.07, -0.59, 0.00
17   , 8.89, 0.81, 2.66, -0.02, 0.00, -0.00, -24.00, -12.56, -31.56, 0.80, 0.07, -0.59, 0.00
18   , 8.82, 0.86, 2.58, -0.02, 0.03, -0.01, -24.00, -11.88, -30.75, 0.80, 0.07, -0.59, 0.00
19   , 8.93, 0.86, 2.68, -0.04, 0.02, -0.00, -24.00, -11.88, -30.75, 0.80, 0.07, -0.59, 0.00
20   , 8.99, 0.88, 2.68, -0.04, 0.01, -0.01, -24.00, -11.88, -30.75, 0.80, 0.06, -0.59, 0.00
21   , 8.95, 0.90, 2.70, -0.04, -0.01, -0.01, -24.00, -11.88, -30.75, 0.80, 0.06, -0.59, 0.00
22   , 8.95, 0.90, 2.70, -0.05, -0.01, -0.02, -24.00, -11.88, -30.75, 0.80, 0.06, -0.59, 0.00
23   , 8.82, 0.90, 2.66, -0.05, -0.00, -0.02, -24.25, -11.88, -29.56, 0.80, 0.06, -0.59, 0.00
24   , 8.82, 0.90, 2.66, -0.05, -0.00, -0.02, -24.25, -11.88, -29.56, 0.80, 0.06, -0.59, -0.00
25   , 8.91, 0.91, 2.63, -0.06, 0.02, -0.02, -24.25, -11.88, -29.56, 0.80, 0.06, -0.59, -0.00
26   , 8.86, 0.94, 2.68, -0.06, 0.03, -0.03, -24.25, -11.88, -29.56, 0.80, 0.06, -0.59, -0.00
27   , 8.90, 0.97, 2.71, -0.06, 0.04, -0.03, -24.25, -11.88, -29.56, 0.80, 0.06, -0.59, -0.00
28   , 8.93, 0.96, 2.80, -0.06, 0.03, -0.03, -23.56, -11.88, -31.25, 0.80, 0.06, -0.59, -0.00
29   , 8.87, 0.94, 2.82, -0.06, 0.02, -0.03, -23.56, -11.88, -31.25, 0.80, 0.06, -0.59, -0.00
30   , 8.81, 0.91, 2.86, -0.06, 0.02, -0.03, -23.56, -11.88, -31.25, 0.80, 0.06, -0.59, -0.00
31   , 8.74, 0.89, 2.89, -0.07, 0.02, -0.03, -23.56, -11.88, -31.25, 0.80, 0.06, -0.59, -0.00
32   , 8.72, 0.92, 2.86, -0.07, 0.01, -0.02, -23.56, -11.88, -31.25, 0.80, 0.06, -0.59, -0.00
33   , 8.75, 0.96, 2.82, -0.07, 0.00, -0.02, -24.19, -11.88, -30.75, 0.80, 0.06, -0.59, -0.00
34   , 8.75, 1.00, 2.84, -0.06, -0.00, -0.02, -24.19, -11.88, -30.75, 0.80, 0.06, -0.59, -0.00
35   , 8.85, 1.01, 2.82, -0.06, -0.00, -0.02, -24.19, -11.88, -30.75, 0.80, 0.06, -0.59, -0.00
36   , 8.83, 1.00, 2.82, -0.06, -0.00, -0.01, -24.19, -11.88, -30.75, 0.80, 0.06, -0.59, -0.00
37   , 8.82, 0.97, 2.83, -0.04, -0.01, -0.01, -24.19, -11.88, -30.75, 0.80, 0.06, -0.59, -0.00
38   , 8.80, 0.98, 2.82, -0.03, -0.00, -0.01, -23.19, -13.00, -32.06, 0.80, 0.06, -0.59, -0.00
39   , 8.80, 0.98, 2.82, -0.01, 0.01, -0.01, -23.19, -13.00, -32.06, 0.80, 0.06, -0.59, -0.00
40   , 8.83, 1.00, 2.69, -0.00, 0.01, 0.00, -23.19, -13.00, -32.06, 0.80, 0.06, -0.59, -0.00
41   , 8.84, 1.00, 2.71, -0.00, 0.01, -0.00, -23.19, -13.00, -32.06, 0.80, 0.06, -0.59, -0.00
42   , 8.89, 0.93, 2.76, 0.00, 0.01, 0.00, -24.19, -12.56, -30.56, 0.80, 0.06, -0.59, -0.00
43   , 8.96, 0.89, 2.78, 0.00, 0.01, 0.01, -24.19, -12.56, -30.56, 0.80, 0.06, -0.59, -0.00
44   , 8.92, 0.80, 2.79, -0.00, 0.00, 0.00, -24.19, -12.56, -30.56, 0.80, 0.06, -0.59, -0.00
45   , 8.92, 0.80, 2.79, -0.00, -0.01, 0.00, -24.19, -12.56, -30.56, 0.80, 0.06, -0.59, -0.00
46   , 8.87, 0.81, 2.76, 0.00, -0.02, 0.00, -24.19, -12.56, -30.56, 0.80, 0.06, -0.59, -0.00
47   , 8.87, 0.81, 2.76, -0.00, -0.02, 0.00, -23.87, -11.88, -30.25, 0.80, 0.06, -0.59, -0.00
48   , 8.90, 0.89, 2.71, -0.01, -0.01, -0.00, -23.87, -11.88, -30.25, 0.80, 0.06, -0.59, -0.00
49   , 8.91, 0.90, 2.73, -0.01, -0.00, -0.00, -23.87, -11.88, -30.25, 0.80, 0.06, -0.59, -0.00
50   , 8.91, 0.92, 2.73, -0.02, -0.01, -0.01, -23.87, -11.88, -30.25, 0.80, 0.06, -0.59, -0.00
51   , 8.84, 0.93, 2.74, -0.02, -0.01, -0.01, -23.87, -11.88, -30.25, 0.80, 0.06, -0.59, -0.00
52   , 8.82, 0.93, 2.77, -0.02, -0.01, -0.00, -24.19, -11.50, -30.56, 0.80, 0.06, -0.59, -0.00
53   , 8.79, 0.96, 2.79, -0.02, -0.01, -0.00, -24.19, -11.50, -30.56, 0.80, 0.06, -0.59, -0.00
