Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.46, -1.72, -0.44, 0.00, -0.06, 0.01, -20.75, 28.38, 29.69, 0.69, -0.13, -0.71, -0.00
1   , 9.44, -1.80, -0.55, 0.00, -0.06, 0.01, -20.75, 28.38, 29.69, 0.69, -0.13, -0.71, -0.00
2   , 9.44, -1.80, -0.55, 0.00, -0.06, 0.01, -20.75, 28.38, 29.69, 0.69, -0.13, -0.71, -0.00
3   , 9.54, -1.87, -0.75, -0.00, -0.03, 0.02, -20.75, 28.38, 29.69, 0.69, -0.13, -0.71, -0.00
4   , 9.47, -1.85, -0.73, -0.01, -0.02, 0.01, -20.75, 28.38, 29.69, 0.69, -0.13, -0.71, -0.00
5   , 9.43, -1.83, -0.80, -0.01, -0.01, -0.00, -10.75, 17.00, 18.87, 0.69, -0.13, -0.71, -0.00
6   , 9.42, -1.77, -0.79, -0.01, 0.01, -0.01, -10.75, 17.00, 18.87, 0.69, -0.13, -0.71, -0.00
7   , 9.42, -1.82, -0.81, -0.00, 0.02, -0.01, -10.75, 17.00, 18.87, 0.69, -0.13, -0.71, -0.00
8   , 9.39, -1.90, -0.84, 0.00, 0.03, -0.01, -10.75, 17.00, 18.87, 0.69, -0.13, -0.71, -0.00
9   , 9.39, -1.90, -0.83, 0.01, 0.05, -0.02, -10.75, 17.00, 18.87, 0.69, -0.13, -0.71, -0.00
10   , 9.50, -1.93, -0.72, 0.01, 0.05, -0.03, -11.19, 16.56, 18.87, 0.69, -0.13, -0.71, -0.00
11   , 9.56, -1.87, -0.61, 0.00, 0.06, -0.03, -11.19, 16.56, 18.87, 0.69, -0.13, -0.71, -0.00
12   , 9.54, -1.83, -0.52, -0.01, 0.08, -0.03, -11.19, 16.56, 18.87, 0.69, -0.13, -0.71, -0.00
13   , 9.44, -1.69, -0.36, -0.01, 0.08, -0.03, -11.19, 16.56, 18.87, 0.69, -0.13, -0.71, -0.00
14   , 9.49, -1.62, -0.38, -0.00, 0.09, -0.03, -11.19, 16.56, 18.87, 0.69, -0.13, -0.71, -0.00
15   , 9.48, -1.58, -0.37, 0.01, 0.09, -0.03, -11.00, 17.00, 19.50, 0.69, -0.13, -0.71, -0.00
16   , 9.48, -1.58, -0.37, 0.02, 0.10, -0.02, -11.00, 17.00, 19.50, 0.70, -0.13, -0.71, -0.00
17   , 9.44, -1.74, -0.33, 0.03, 0.10, -0.02, -11.00, 17.00, 19.50, 0.70, -0.13, -0.71, -0.00
18   , 9.45, -1.84, -0.30, 0.03, 0.11, -0.03, -11.00, 17.00, 19.50, 0.70, -0.13, -0.71, -0.00
19   , 9.49, -1.78, -0.24, 0.01, 0.12, -0.03, -11.00, 17.00, 19.50, 0.70, -0.13, -0.71, -0.00
20   , 9.50, -1.70, -0.25, -0.00, 0.12, -0.03, -12.25, 16.56, 18.50, 0.70, -0.13, -0.71, -0.00
21   , 9.49, -1.41, -0.26, -0.01, 0.12, -0.03, -12.25, 16.56, 18.50, 0.70, -0.13, -0.70, -0.00
22   , 9.50, -1.25, -0.32, 0.01, 0.12, -0.02, -12.25, 16.56, 18.50, 0.70, -0.13, -0.70, -0.00
23   , 9.50, -1.25, -0.32, 0.04, 0.12, -0.01, -12.25, 16.56, 18.50, 0.70, -0.13, -0.70, -0.00
24   , 9.54, -1.61, -0.45, 0.06, 0.13, -0.01, -12.25, 16.56, 18.50, 0.70, -0.13, -0.70, -0.00
25   , 9.54, -1.61, -0.45, 0.06, 0.13, -0.01, -11.50, 17.00, 18.00, 0.70, -0.13, -0.70, -0.00
26   , 9.51, -1.96, -0.45, 0.08, 0.15, -0.00, -11.50, 17.00, 18.00, 0.70, -0.13, -0.70, -0.00
