Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.50, -2.13, -1.76, 0.00, -0.02, -0.01, -32.25, 26.37, 33.69, 0.64, -0.18, -0.75, 0.00
1   , 9.44, -2.07, -1.68, 0.00, -0.02, -0.01, -32.25, 26.37, 33.69, 0.64, -0.18, -0.75, 0.00
2   , 9.42, -2.15, -1.64, 0.00, -0.01, -0.01, -32.25, 26.37, 33.69, 0.64, -0.18, -0.75, 0.00
3   , 9.47, -2.14, -1.72, 0.00, -0.01, -0.00, -32.25, 26.37, 33.69, 0.64, -0.18, -0.75, 0.00
4   , 9.46, -2.17, -1.69, 0.00, -0.02, -0.00, -32.25, 26.37, 32.50, 0.64, -0.18, -0.75, 0.00
5   , 9.46, -2.17, -1.69, 0.00, -0.02, -0.00, -32.25, 26.37, 32.50, 0.64, -0.18, -0.75, 0.00
6   , 9.43, -2.25, -1.69, -0.01, -0.01, 0.01, -32.25, 26.37, 32.50, 0.64, -0.18, -0.75, 0.00
7   , 9.41, -2.13, -1.75, -0.03, -0.02, 0.01, -32.25, 26.37, 32.50, 0.64, -0.18, -0.75, 0.00
8   , 9.37, -2.09, -1.76, -0.04, -0.02, 0.00, -32.25, 26.37, 32.50, 0.64, -0.18, -0.75, 0.00
9   , 9.33, -2.10, -1.78, -0.03, -0.01, -0.00, -32.25, 26.75, 34.06, 0.64, -0.18, -0.75, 0.00
10   , 9.45, -2.09, -1.79, -0.03, -0.01, -0.00, -32.25, 26.75, 34.06, 0.64, -0.18, -0.75, -0.00
11   , 9.49, -2.06, -1.81, -0.03, -0.00, 0.00, -32.25, 26.75, 34.06, 0.64, -0.18, -0.75, -0.00
12   , 9.49, -2.11, -1.80, -0.01, -0.01, 0.01, -32.25, 26.75, 34.06, 0.64, -0.18, -0.75, -0.00
13   , 9.47, -2.05, -1.76, -0.01, -0.01, 0.01, -32.25, 26.75, 34.06, 0.64, -0.18, -0.75, -0.00
14   , 9.43, -2.13, -1.76, -0.01, -0.02, 0.02, -19.69, 16.00, 20.37, 0.64, -0.18, -0.75, -0.00
15   , 9.42, -2.18, -1.78, -0.01, -0.02, 0.02, -19.69, 16.00, 20.37, 0.64, -0.18, -0.75, -0.00
16   , 9.40, -2.24, -1.83, -0.01, -0.02, 0.03, -19.69, 16.00, 20.37, 0.64, -0.18, -0.75, -0.00
17   , 9.34, -2.26, -1.84, -0.01, -0.02, 0.03, -19.69, 16.00, 20.37, 0.64, -0.18, -0.75, 0.00
18   , 9.38, -2.20, -1.84, -0.02, -0.02, 0.03, -19.69, 16.00, 20.37, 0.64, -0.18, -0.75, 0.00
19   , 9.42, -2.16, -1.87, -0.03, -0.01, 0.02, -19.25, 16.37, 21.56, 0.64, -0.18, -0.75, -0.00
20   , 9.48, -2.14, -1.81, -0.03, -0.01, 0.01, -19.25, 16.37, 21.56, 0.64, -0.18, -0.75, -0.00
21   , 9.46, -2.10, -1.76, -0.03, -0.01, 0.01, -19.25, 16.37, 21.56, 0.64, -0.18, -0.75, -0.00
22   , 9.46, -2.09, -1.73, -0.03, -0.01, 0.01, -19.25, 16.37, 21.56, 0.64, -0.18, -0.75, -0.00
