Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.57, 0.00, -0.57, 0.00, -0.01, -0.02, -21.25, 9.69, 47.25, 0.69, -0.01, -0.73, 0.00
1   , 9.57, 0.00, -0.57, 0.00, -0.01, -0.02, -21.25, 9.69, 47.25, 0.69, -0.01, -0.73, 0.00
2   , 9.58, 0.04, -0.58, 0.01, -0.01, -0.02, -21.25, 9.69, 47.25, 0.69, -0.01, -0.73, 0.00
3   , 9.55, 0.02, -0.61, 0.01, -0.00, -0.01, -21.25, 9.69, 47.25, 0.69, -0.01, -0.73, 0.00
4   , 9.50, -0.05, -0.65, 0.01, -0.00, -0.01, -21.25, 9.69, 47.25, 0.69, -0.01, -0.73, 0.00
5   , 9.52, -0.08, -0.64, -0.01, -0.00, -0.01, -21.25, 9.69, 47.25, 0.69, -0.01, -0.73, 0.00
6   , 9.53, -0.06, -0.67, -0.02, 0.00, -0.01, -21.25, 9.69, 46.06, 0.69, -0.01, -0.73, 0.00
7   , 9.58, 0.00, -0.73, -0.02, 0.01, -0.01, -21.25, 9.69, 46.06, 0.69, -0.01, -0.73, 0.00
8   , 9.58, 0.00, -0.73, -0.01, 0.01, -0.00, -21.25, 9.69, 46.06, 0.69, -0.01, -0.73, 0.00
9   , 9.54, 0.03, -0.65, 0.01, 0.02, 0.00, -21.25, 9.69, 46.06, 0.69, -0.01, -0.73, 0.00
10   , 9.50, 0.00, -0.69, 0.02, 0.02, 0.01, -21.25, 9.69, 46.06, 0.69, -0.01, -0.73, 0.00
11   , 9.52, -0.06, -0.66, 0.02, 0.02, 0.01, -22.37, 9.69, 45.69, 0.69, -0.01, -0.73, 0.00
12   , 9.53, -0.11, -0.57, 0.01, 0.02, 0.01, -22.37, 9.69, 45.69, 0.69, -0.01, -0.73, 0.00
13   , 9.53, -0.11, -0.57, -0.01, 0.03, 0.01, -22.37, 9.69, 45.69, 0.69, -0.01, -0.73, 0.00
14   , 9.56, -0.17, -0.56, -0.03, 0.03, 0.01, -22.37, 9.69, 45.69, 0.69, -0.01, -0.72, 0.00
15   , 9.53, -0.11, -0.49, -0.04, 0.03, 0.01, -22.37, 9.69, 45.69, 0.69, -0.01, -0.72, 0.00
16   , 9.54, -0.11, -0.48, -0.04, 0.03, 0.01, -21.25, 10.06, 46.06, 0.69, -0.01, -0.72, 0.00
17   , 9.55, -0.04, -0.45, -0.04, 0.03, 0.01, -21.25, 10.06, 46.06, 0.69, -0.01, -0.72, 0.00
18   , 9.54, -0.11, -0.42, -0.03, 0.03, 0.01, -21.25, 10.06, 46.06, 0.69, -0.01, -0.72, 0.00
19   , 9.52, -0.11, -0.43, -0.02, 0.03, 0.01, -21.25, 10.06, 46.06, 0.69, -0.01, -0.72, 0.00
20   , 9.54, -0.13, -0.42, -0.02, 0.03, 0.01, -21.25, 10.06, 46.06, 0.69, -0.01, -0.72, 0.00
21   , 9.54, -0.12, -0.43, -0.02, 0.03, 0.01, -13.25, 5.75, 28.50, 0.69, -0.01, -0.72, 0.00
22   , 9.54, -0.12, -0.43, -0.02, 0.02, 0.01, -13.25, 5.75, 28.50, 0.69, -0.01, -0.72, 0.00
23   , 9.59, -0.11, -0.43, -0.01, 0.02, 0.01, -13.25, 5.75, 28.50, 0.69, -0.01, -0.72, 0.00
24   , 9.60, -0.12, -0.42, -0.01, 0.02, 0.01, -13.25, 5.75, 28.50, 0.69, -0.01, -0.72, 0.00
25   , 9.58, -0.15, -0.41, -0.02, 0.02, 0.01, -13.25, 5.75, 28.50, 0.69, -0.01, -0.72, -0.00
26   , 9.54, -0.04, -0.41, -0.03, 0.01, 0.01, -13.88, 5.75, 29.00, 0.69, -0.01, -0.72, -0.00
