Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.51, -0.12, 0.10, -0.04, 0.00, -0.00, -46.37, 5.19, 13.50, 0.73, -0.02, -0.68, -0.00
1   , 9.45, -0.10, 0.13, -0.06, -0.00, -0.01, -46.37, 5.19, 13.50, 0.73, -0.02, -0.68, -0.00
2   , 9.39, -0.14, 0.15, -0.05, -0.01, -0.02, -46.37, 5.19, 13.50, 0.73, -0.02, -0.69, -0.01
3   , 9.38, -0.22, 0.25, -0.05, -0.02, -0.03, -46.37, 5.19, 13.50, 0.73, -0.02, -0.69, -0.01
4   , 9.38, -0.22, 0.25, -0.04, -0.01, -0.03, -27.87, 2.37, 9.75, 0.73, -0.02, -0.69, -0.01
5   , 9.39, -0.35, 0.38, -0.04, -0.01, -0.02, -27.87, 2.37, 9.75, 0.73, -0.02, -0.69, -0.01
6   , 9.44, -0.40, 0.29, -0.03, -0.01, -0.02, -27.87, 2.37, 9.75, 0.73, -0.02, -0.69, -0.01
7   , 9.41, -0.45, 0.37, -0.04, -0.02, -0.01, -27.87, 2.37, 9.75, 0.73, -0.02, -0.69, -0.01
8   , 9.31, -0.53, 0.43, -0.04, -0.02, -0.01, -27.87, 2.37, 9.75, 0.73, -0.02, -0.69, -0.01
9   , 9.35, -0.41, 0.39, -0.05, -0.02, -0.00, -28.19, 3.25, 9.88, 0.73, -0.02, -0.69, -0.01
10   , 9.40, -0.27, 0.32, -0.06, -0.02, -0.00, -28.19, 3.25, 9.88, 0.73, -0.02, -0.69, -0.01
11   , 9.47, -0.14, 0.30, -0.07, -0.02, -0.01, -28.19, 3.25, 9.88, 0.73, -0.02, -0.69, -0.01
12   , 9.45, -0.13, 0.32, -0.07, -0.02, -0.01, -28.19, 3.25, 9.88, 0.73, -0.02, -0.69, -0.01
13   , 9.43, -0.09, 0.35, -0.06, -0.02, -0.01, -28.19, 3.25, 9.88, 0.73, -0.02, -0.69, -0.01
14   , 9.41, -0.07, 0.35, -0.04, -0.02, -0.01, -28.06, 2.87, 9.25, 0.73, -0.02, -0.69, -0.01
15   , 9.44, 0.00, 0.35, -0.03, -0.03, -0.01, -28.06, 2.87, 9.25, 0.73, -0.02, -0.69, -0.01
16   , 9.42, -0.06, 0.36, -0.00, -0.02, -0.01, -28.06, 2.87, 9.25, 0.73, -0.02, -0.69, -0.01
17   , 9.36, -0.18, 0.33, 0.03, -0.00, -0.00, -28.06, 2.87, 9.25, 0.73, -0.02, -0.69, -0.01
18   , 9.36, -0.18, 0.33, 0.04, 0.01, -0.00, -28.06, 2.87, 9.25, 0.73, -0.02, -0.69, -0.01
