Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.31, -0.11, 2.34, -0.05, -0.05, -0.01, -41.37, 18.06, 18.00, 0.78, -0.03, -0.62, -0.01
1   , 9.30, -0.14, 2.34, -0.04, -0.07, -0.00, -41.37, 18.06, 18.00, 0.78, -0.03, -0.62, -0.01
2   , 9.27, -0.18, 2.35, -0.04, -0.08, -0.00, -41.37, 18.06, 18.00, 0.78, -0.03, -0.62, -0.01
3   , 9.21, -0.15, 2.37, -0.03, -0.07, 0.00, -41.75, 17.75, 18.00, 0.78, -0.03, -0.62, -0.01
4   , 9.21, -0.15, 2.37, -0.03, -0.05, 0.00, -41.75, 17.75, 18.00, 0.78, -0.03, -0.62, -0.01
5   , 9.13, -0.19, 2.24, -0.02, -0.03, -0.00, -41.75, 17.75, 18.00, 0.78, -0.03, -0.62, -0.01
6   , 9.16, -0.19, 2.22, -0.01, -0.03, -0.00, -41.75, 17.75, 18.00, 0.78, -0.03, -0.62, -0.01
7   , 9.21, -0.22, 2.19, -0.01, -0.02, -0.00, -41.75, 17.75, 18.00, 0.78, -0.03, -0.62, -0.01
8   , 9.23, -0.22, 2.20, 0.00, -0.01, -0.00, -41.75, 17.37, 18.75, 0.78, -0.03, -0.62, -0.01
9   , 9.27, -0.21, 2.24, -0.00, -0.01, -0.00, -41.75, 17.37, 18.75, 0.78, -0.03, -0.62, -0.01
10   , 9.30, -0.23, 2.24, -0.01, 0.00, -0.01, -41.75, 17.37, 18.75, 0.78, -0.03, -0.62, -0.01
11   , 9.27, -0.24, 2.27, -0.01, -0.00, 0.00, -41.75, 17.37, 18.75, 0.78, -0.03, -0.62, -0.01
12   , 9.26, -0.23, 2.27, -0.01, -0.01, -0.00, -41.75, 17.37, 18.75, 0.78, -0.03, -0.62, -0.01
13   , 9.27, -0.23, 2.28, -0.01, -0.00, -0.00, -41.75, 17.37, 19.19, 0.78, -0.03, -0.62, -0.01
14   , 9.26, -0.24, 2.28, -0.01, 0.00, -0.00, -41.75, 17.37, 19.19, 0.78, -0.03, -0.62, -0.01
15   , 9.24, -0.23, 2.23, -0.01, 0.00, 0.00, -41.75, 17.37, 19.19, 0.78, -0.03, -0.62, -0.01
16   , 9.24, -0.23, 2.23, -0.01, -0.00, 0.01, -41.75, 17.37, 19.19, 0.78, -0.03, -0.62, -0.01
17   , 9.21, -0.17, 2.14, -0.00, -0.00, 0.01, -41.75, 17.37, 19.19, 0.78, -0.03, -0.62, -0.01
18   , 9.24, -0.18, 2.17, -0.00, -0.00, 0.01, -42.06, 17.75, 20.00, 0.78, -0.03, -0.62, -0.01
19   , 9.27, -0.21, 2.16, -0.01, 0.01, 0.01, -42.06, 17.75, 20.00, 0.78, -0.03, -0.62, -0.01
20   , 9.24, -0.20, 2.19, -0.01, 0.02, 0.01, -42.06, 17.75, 20.00, 0.78, -0.03, -0.62, -0.01
21   , 9.25, -0.22, 2.23, -0.01, 0.02, 0.00, -42.06, 17.75, 20.00, 0.78, -0.03, -0.62, -0.01
22   , 9.26, -0.18, 2.20, -0.01, 0.02, 0.00, -42.06, 17.75, 20.00, 0.78, -0.03, -0.62, -0.01
23   , 9.26, -0.19, 2.22, 0.01, -0.00, -0.00, -42.06, 17.37, 19.56, 0.78, -0.03, -0.62, -0.01
24   , 9.29, -0.18, 2.19, 0.01, -0.00, -0.00, -42.06, 17.37, 19.56, 0.78, -0.03, -0.62, -0.01
25   , 9.33, -0.16, 2.19, 0.02, -0.01, -0.00, -42.06, 17.37, 19.56, 0.78, -0.03, -0.62, -0.01
26   , 9.34, -0.16, 2.21, 0.02, -0.01, -0.00, -42.06, 17.37, 19.56, 0.78, -0.03, -0.62, -0.01
27   , 9.31, -0.15, 2.21, 0.02, -0.02, -0.00, -42.06, 17.37, 19.56, 0.78, -0.03, -0.62, -0.01
28   , 9.30, -0.12, 2.19, 0.02, -0.02, 0.00, -41.75, 18.50, 18.75, 0.78, -0.03, -0.62, -0.01
29   , 9.25, -0.15, 2.10, 0.02, -0.02, 0.01, -41.75, 18.50, 18.75, 0.78, -0.03, -0.62, -0.01
30   , 9.26, -0.18, 2.07, 0.02, -0.02, 0.01, -41.75, 18.50, 18.75, 0.78, -0.03, -0.62, -0.01
31   , 9.25, -0.20, 2.10, 0.01, -0.01, 0.01, -41.75, 18.50, 18.75, 0.78, -0.03, -0.62, -0.01
32   , 9.31, -0.23, 2.15, 0.00, -0.00, 0.01, -41.75, 18.50, 18.75, 0.78, -0.03, -0.62, -0.01
33   , 9.31, -0.22, 2.16, -0.00, 0.00, 0.01, -41.37, 18.06, 19.19, 0.78, -0.03, -0.62, -0.01
