Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.53, -0.54, -1.13, -0.01, 0.02, -0.01, -11.69, 13.38, 20.00, 0.67, -0.04, -0.74, -0.00
1   , 9.53, -0.54, -1.13, -0.01, 0.02, -0.01, -11.69, 13.38, 20.00, 0.67, -0.04, -0.74, -0.00
2   , 9.55, -0.48, -1.14, -0.02, 0.03, -0.01, -11.69, 13.38, 20.00, 0.67, -0.04, -0.74, -0.00
3   , 9.54, -0.50, -1.10, -0.02, 0.03, -0.01, -11.69, 13.38, 20.00, 0.67, -0.04, -0.74, -0.00
4   , 9.52, -0.51, -1.06, -0.02, 0.03, -0.01, -11.69, 13.38, 20.00, 0.67, -0.04, -0.74, -0.00
5   , 9.62, -0.54, -1.04, -0.02, 0.03, -0.01, -13.19, 12.25, 20.25, 0.67, -0.04, -0.74, -0.00
6   , 9.65, -0.56, -1.00, -0.03, 0.03, -0.01, -13.19, 12.25, 20.25, 0.67, -0.04, -0.74, -0.00
7   , 9.65, -0.56, -1.00, -0.04, 0.02, -0.01, -13.19, 12.25, 20.25, 0.67, -0.04, -0.74, -0.00
8   , 9.52, -0.54, -0.99, -0.06, 0.02, -0.01, -13.19, 12.25, 20.25, 0.67, -0.04, -0.74, -0.00
9   , 9.54, -0.47, -0.95, -0.06, 0.01, -0.01, -13.19, 12.25, 20.25, 0.67, -0.04, -0.74, -0.00
10   , 9.57, -0.43, -0.93, -0.03, 0.01, -0.00, -13.19, 12.69, 21.19, 0.67, -0.04, -0.74, -0.00
11   , 9.57, -0.42, -0.88, -0.00, 0.02, -0.00, -13.19, 12.69, 21.19, 0.67, -0.04, -0.74, -0.00
12   , 9.51, -0.50, -0.92, 0.00, 0.02, -0.01, -13.19, 12.69, 21.19, 0.67, -0.04, -0.74, -0.00
13   , 9.53, -0.52, -0.92, 0.01, 0.02, -0.00, -13.19, 12.69, 21.19, 0.67, -0.04, -0.74, -0.00
14   , 9.57, -0.49, -0.90, 0.01, 0.02, -0.00, -12.37, 13.06, 21.06, 0.67, -0.04, -0.74, -0.00
15   , 9.58, -0.48, -0.92, 0.02, 0.02, 0.00, -12.37, 13.06, 21.06, 0.67, -0.04, -0.74, -0.00
16   , 9.55, -0.60, -0.93, 0.01, 0.03, -0.00, -12.37, 13.06, 21.06, 0.67, -0.04, -0.74, -0.00
17   , 9.52, -0.64, -0.96, 0.01, 0.03, -0.00, -12.37, 13.06, 21.06, 0.67, -0.04, -0.74, -0.00
18   , 9.55, -0.58, -0.95, -0.02, 0.02, -0.00, -12.37, 13.06, 21.06, 0.67, -0.04, -0.74, -0.00
19   , 9.56, -0.53, -0.92, -0.03, 0.02, 0.00, -12.37, 13.06, 21.06, 0.67, -0.04, -0.74, -0.00
20   , 9.56, -0.53, -0.92, -0.05, 0.02, -0.00, -13.88, 11.88, 21.06, 0.67, -0.04, -0.74, -0.00
21   , 9.63, -0.45, -0.88, -0.04, 0.01, 0.00, -13.88, 11.88, 21.06, 0.67, -0.04, -0.74, -0.00
22   , 9.64, -0.42, -0.87, -0.02, 0.01, 0.00, -13.88, 11.88, 21.06, 0.67, -0.04, -0.74, -0.00
23   , 9.60, -0.52, -0.82, -0.01, 0.01, 0.00, -13.88, 11.88, 21.06, 0.67, -0.04, -0.74, -0.00
24   , 9.58, -0.57, -0.82, -0.01, 0.00, 0.00, -13.88, 11.88, 21.06, 0.67, -0.04, -0.74, -0.00
25   , 9.58, -0.53, -0.79, -0.02, -0.01, 0.01, -12.75, 12.37, 22.25, 0.67, -0.04, -0.74, -0.00
26   , 9.57, -0.56, -0.81, -0.02, -0.01, 0.01, -12.75, 12.37, 22.25, 0.67, -0.04, -0.74, -0.00
27   , 9.56, -0.55, -0.90, -0.03, -0.01, 0.01, -12.75, 12.37, 22.25, 0.67, -0.04, -0.74, -0.00
28   , 9.57, -0.57, -0.89, -0.03, -0.01, 0.01, -12.75, 12.37, 22.25, 0.67, -0.04, -0.74, -0.00
29   , 9.55, -0.55, -0.90, -0.04, -0.02, 0.01, -12.75, 12.37, 22.25, 0.67, -0.04, -0.74, -0.00
30   , 9.60, -0.49, -0.90, -0.05, -0.01, 0.00, -12.75, 12.37, 20.37, 0.67, -0.04, -0.74, -0.00
31   , 9.61, -0.48, -0.95, -0.05, -0.02, 0.01, -12.75, 12.37, 20.37, 0.67, -0.04, -0.74, -0.00
32   , 9.59, -0.46, -0.93, -0.04, -0.02, 0.01, -12.75, 12.37, 20.37, 0.67, -0.04, -0.74, -0.00
33   , 9.56, -0.45, -0.93, -0.03, -0.02, 0.01, -12.75, 12.37, 20.37, 0.67, -0.04, -0.74, -0.00
34   , 9.54, -0.50, -0.93, -0.01, -0.03, 0.01, -12.75, 12.37, 20.37, 0.67, -0.04, -0.74, -0.00
35   , 9.57, -0.52, -1.00, -0.01, -0.03, 0.02, -12.37, 13.06, 22.00, 0.67, -0.04, -0.74, -0.00
36   , 9.57, -0.52, -1.00, -0.01, -0.03, 0.01, -12.37, 13.06, 22.00, 0.67, -0.04, -0.74, -0.00
37   , 9.56, -0.54, -1.02, -0.02, -0.03, 0.01, -12.37, 13.06, 22.00, 0.67, -0.04, -0.74, -0.00
38   , 9.52, -0.52, -1.02, -0.03, -0.02, 0.01, -12.37, 13.06, 22.00, 0.67, -0.04, -0.74, -0.00
39   , 9.54, -0.50, -1.04, -0.03, -0.03, 0.01, -12.37, 13.06, 22.00, 0.67, -0.05, -0.74, -0.00
40   , 9.54, -0.50, -1.04, -0.02, -0.02, 0.01, -13.56, 13.06, 21.00, 0.67, -0.05, -0.74, -0.00
41   , 9.55, -0.55, -1.09, -0.01, -0.02, 0.01, -13.56, 13.06, 21.00, 0.67, -0.05, -0.74, -0.00
42   , 9.57, -0.53, -0.99, -0.00, -0.02, 0.01, -11.69, 12.00, 20.69, 0.67, -0.05, -0.74, -0.01
43   , 9.53, -0.56, -1.01, 0.00, -0.02, 0.01, -11.69, 12.00, 20.69, 0.67, -0.05, -0.74, -0.01
44   , 9.53, -0.56, -1.01, 0.00, -0.02, 0.01, -11.69, 12.00, 20.69, 0.67, -0.05, -0.74, -0.01
45   , 9.53, -0.56, -1.05, -0.00, -0.01, 0.01, -11.00, 12.37, 20.25, 0.67, -0.05, -0.74, -0.01
46   , 9.53, -0.58, -1.07, -0.01, -0.02, 0.01, -11.00, 12.37, 20.25, 0.67, -0.05, -0.74, -0.01
47   , 9.55, -0.56, -1.08, -0.01, -0.01, 0.01, -11.00, 12.37, 20.25, 0.67, -0.05, -0.74, -0.01
48   , 9.55, -0.56, -1.09, -0.01, -0.01, 0.01, -11.00, 12.37, 20.25, 0.67, -0.05, -0.74, -0.01
49   , 9.56, -0.55, -1.12, -0.00, -0.01, 0.00, -11.00, 12.37, 20.25, 0.67, -0.05, -0.74, -0.01
50   , 9.53, -0.60, -1.09, 0.00, -0.00, 0.00, -12.06, 12.37, 21.00, 0.67, -0.05, -0.74, -0.01
51   , 9.55, -0.62, -1.10, 0.00, 0.01, 0.00, -12.06, 12.37, 21.00, 0.67, -0.05, -0.74, -0.01
52   , 9.56, -0.69, -1.11, -0.02, 0.01, 0.00, -12.06, 12.37, 21.00, 0.67, -0.05, -0.74, -0.01
53   , 9.58, -0.67, -1.09, -0.02, 0.01, 0.00, -12.06, 12.37, 21.00, 0.67, -0.05, -0.74, -0.01
54   , 9.59, -0.62, -1.09, -0.04, 0.01, -0.01, -12.06, 12.37, 21.00, 0.67, -0.05, -0.74, -0.01
55   , 9.54, -0.56, -1.03, -0.06, 0.01, -0.01, -12.06, 13.06, 20.69, 0.67, -0.05, -0.74, -0.01
56   , 9.53, -0.51, -1.03, -0.07, 0.01, -0.01, -12.06, 13.06, 20.69, 0.67, -0.05, -0.74, -0.01
57   , 9.58, -0.46, -0.94, -0.07, 0.00, -0.01, -12.06, 13.06, 20.69, 0.67, -0.05, -0.74, -0.01
58   , 9.61, -0.40, -0.93, -0.06, 0.00, -0.01, -12.06, 13.06, 20.69, 0.67, -0.05, -0.74, -0.01
59   , 9.57, -0.43, -0.93, -0.04, -0.00, -0.00, -11.69, 12.37, 20.25, 0.67, -0.05, -0.74, -0.01
60   , 9.56, -0.47, -0.94, -0.03, -0.00, -0.00, -11.69, 12.37, 20.25, 0.67, -0.05, -0.74, -0.01
61   , 9.55, -0.56, -0.98, -0.02, 0.00, -0.00, -11.69, 12.37, 20.25, 0.67, -0.05, -0.74, -0.01
62   , 9.57, -0.57, -0.98, -0.01, -0.00, -0.00, -11.69, 12.37, 20.25, 0.67, -0.05, -0.74, -0.01
63   , 9.58, -0.63, -0.98, -0.01, -0.01, -0.00, -11.69, 12.37, 20.25, 0.67, -0.05, -0.74, -0.01
64   , 9.56, -0.58, -0.96, -0.02, -0.00, -0.00, -11.69, 12.37, 20.25, 0.67, -0.05, -0.74, -0.01
65   , 9.53, -0.51, -0.98, -0.02, -0.00, -0.01, -13.56, 12.37, 20.75, 0.67, -0.05, -0.74, -0.01
66   , 9.55, -0.53, -0.98, -0.02, -0.01, -0.00, -13.56, 12.37, 20.75, 0.67, -0.05, -0.74, -0.01
67   , 9.57, -0.48, -0.97, -0.01, -0.01, -0.00, -13.56, 12.37, 20.75, 0.67, -0.05, -0.74, -0.01
68   , 9.59, -0.55, -0.98, 0.01, -0.01, -0.00, -13.56, 12.37, 20.75, 0.67, -0.05, -0.74, -0.01
69   , 9.56, -0.53, -0.96, 0.01, -0.01, -0.00, -13.56, 12.37, 20.75, 0.67, -0.05, -0.74, -0.01
70   , 9.55, -0.50, -0.97, 0.02, -0.01, -0.00, -12.06, 13.50, 22.25, 0.67, -0.05, -0.74, -0.01
