Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.55, -0.40, -0.44, -0.13, 0.46, 0.08, -31.25, -17.87, -35.25, 0.66, -0.04, -0.75, -0.02
1   , 9.59, -0.46, -0.36, -0.10, 0.43, 0.08, -31.25, -17.87, -35.25, 0.66, -0.04, -0.75, -0.02
2   , 9.46, -0.52, -0.36, -0.10, 0.43, 0.09, -31.25, -17.87, -35.25, 0.66, -0.04, -0.75, -0.02
3   , 9.33, -0.53, -0.36, -0.11, 0.43, 0.09, -31.25, -17.87, -35.25, 0.66, -0.04, -0.75, -0.02
4   , 9.30, -0.50, -0.34, -0.11, 0.42, 0.08, -20.19, -10.88, -21.50, 0.67, -0.04, -0.74, -0.02
5   , 9.31, -0.48, -0.33, -0.09, 0.41, 0.07, -20.19, -10.88, -21.50, 0.67, -0.04, -0.74, -0.02
6   , 9.31, -0.48, -0.33, -0.08, 0.41, 0.08, -20.19, -10.88, -21.50, 0.67, -0.04, -0.74, -0.02
7   , 9.53, -0.46, -0.29, -0.08, 0.39, 0.09, -20.19, -10.88, -21.50, 0.67, -0.05, -0.74, -0.02
8   , 9.47, -0.30, -0.31, -0.08, 0.37, 0.10, -20.19, -10.88, -21.50, 0.67, -0.05, -0.74, -0.02
9   , 9.33, -0.28, -0.12, -0.07, 0.36, 0.09, -20.19, -11.19, -22.06, 0.67, -0.05, -0.74, -0.02
10   , 9.54, -0.41, -0.23, -0.03, 0.35, 0.08, -20.19, -11.19, -22.06, 0.67, -0.05, -0.74, -0.02
11   , 9.68, -0.37, -0.21, 0.00, 0.32, 0.09, -20.19, -11.19, -22.06, 0.68, -0.05, -0.73, -0.02
12   , 9.48, -0.24, -0.07, 0.02, 0.32, 0.10, -20.19, -11.19, -22.06, 0.68, -0.05, -0.73, -0.02
13   , 9.35, -0.43, 0.07, 0.03, 0.33, 0.09, -19.87, -10.38, -22.00, 0.68, -0.05, -0.73, -0.02
14   , 9.53, -0.60, 0.10, 0.06, 0.32, 0.07, -19.87, -10.38, -22.00, 0.68, -0.05, -0.73, -0.02
15   , 9.61, -0.63, 0.18, 0.12, 0.32, 0.10, -19.87, -10.38, -22.00, 0.68, -0.05, -0.73, -0.02
16   , 9.42, -0.44, 0.13, 0.12, 0.32, 0.10, -19.87, -10.38, -22.00, 0.68, -0.05, -0.73, -0.02
17   , 9.35, -0.51, 0.16, 0.14, 0.31, 0.09, -19.87, -10.38, -22.00, 0.68, -0.05, -0.73, -0.02
18   , 9.34, -0.46, 0.22, 0.16, 0.29, 0.09, -19.87, -10.38, -22.00, 0.69, -0.05, -0.73, -0.02
19   , 9.43, -0.36, 0.45, 0.19, 0.30, 0.10, -19.56, -10.88, -21.50, 0.69, -0.05, -0.72, -0.01
20   , 9.56, -0.44, 0.47, 0.21, 0.29, 0.10, -19.56, -10.88, -21.50, 0.69, -0.05, -0.72, -0.01
21   , 9.56, -0.53, 0.55, 0.23, 0.28, 0.10, -19.56, -10.88, -21.50, 0.69, -0.05, -0.72, -0.01
22   , 9.37, -0.56, 0.64, 0.25, 0.27, 0.10, -19.56, -10.88, -21.50, 0.69, -0.05, -0.72, -0.01
23   , 9.26, -0.69, 0.77, 0.28, 0.26, 0.09, -19.56, -10.88, -21.50, 0.69, -0.04, -0.72, -0.01
24   , 9.26, -0.69, 0.77, 0.28, 0.26, 0.09, -20.19, -10.56, -22.00, 0.69, -0.04, -0.72, -0.01
25   , 9.70, -1.15, 0.94, 0.28, 0.29, 0.07, -20.19, -10.56, -22.00, 0.69, -0.04, -0.72, -0.01
26   , 9.57, -1.29, 1.00, 0.25, 0.31, 0.08, -20.19, -10.56, -22.00, 0.69, -0.04, -0.72, -0.01
27   , 9.57, -1.29, 1.00, 0.20, 0.33, 0.08, -20.19, -10.56, -22.00, 0.70, -0.04, -0.72, -0.01
28   , 9.39, -1.20, 1.17, 0.14, 0.37, 0.06, -20.19, -10.56, -22.00, 0.70, -0.04, -0.72, -0.00
29   , 9.39, -1.20, 1.17, 0.14, 0.37, 0.06, -20.25, -10.00, -22.19, 0.70, -0.04, -0.71, -0.00
30   , 9.42, -1.09, 1.04, 0.07, 0.40, 0.04, -20.25, -10.00, -22.19, 0.70, -0.04, -0.71, -0.00
31   , 9.43, -1.10, 0.94, 0.04, 0.38, 0.03, -20.25, -10.00, -22.19, 0.70, -0.04, -0.71, -0.00
32   , 9.39, -1.01, 0.89, 0.03, 0.35, 0.03, -20.25, -10.00, -22.19, 0.71, -0.04, -0.71, -0.00
33   , 9.33, -0.98, 0.80, 0.01, 0.32, 0.01, -20.25, -10.00, -22.19, 0.71, -0.04, -0.71, -0.00
34   , 9.39, -1.03, 0.79, -0.00, 0.28, 0.00, -21.00, -10.38, -21.75, 0.71, -0.04, -0.70, -0.00
35   , 9.37, -1.05, 0.82, -0.01, 0.26, -0.00, -21.00, -10.38, -21.75, 0.71, -0.04, -0.70, -0.00
36   , 9.35, -0.81, 0.77, -0.02, 0.24, -0.00, -21.00, -10.38, -21.75, 0.71, -0.04, -0.70, -0.00
37   , 9.40, -0.67, 0.79, -0.02, 0.23, -0.01, -21.00, -10.38, -21.75, 0.71, -0.04, -0.70, -0.00
38   , 9.51, -0.55, 0.75, 0.01, 0.21, -0.01, -21.00, -10.38, -21.75, 0.71, -0.04, -0.70, -0.00
39   , 9.49, -0.43, 0.78, 0.04, 0.19, -0.01, -21.37, -9.38, -21.00, 0.71, -0.04, -0.70, -0.00
40   , 9.49, -0.43, 0.78, 0.07, 0.17, -0.02, -21.37, -9.38, -21.00, 0.71, -0.04, -0.70, -0.00
41   , 9.41, -0.83, 0.50, 0.10, 0.14, -0.03, -21.37, -9.38, -21.00, 0.72, -0.04, -0.70, -0.00
42   , 9.38, -0.78, 0.45, 0.10, 0.10, -0.02, -21.37, -9.38, -21.00, 0.72, -0.04, -0.70, -0.00
43   , 9.38, -0.78, 0.45, 0.10, 0.10, -0.02, -21.37, -10.25, -20.37, 0.72, -0.04, -0.70, 0.00
44   , 9.51, -0.82, 0.46, 0.04, 0.07, -0.02, -21.37, -10.25, -20.37, 0.72, -0.04, -0.70, 0.00
45   , 9.53, -0.76, 0.47, 0.00, 0.06, -0.01, -21.37, -10.25, -20.37, 0.72, -0.04, -0.70, 0.00
46   , 9.51, -0.67, 0.60, -0.03, 0.05, -0.00, -21.37, -10.25, -20.37, 0.72, -0.04, -0.70, -0.00
47   , 9.50, -0.73, 0.73, -0.07, 0.07, -0.01, -21.37, -10.25, -20.37, 0.72, -0.04, -0.70, -0.00
48   , 9.46, -0.81, 0.76, -0.12, 0.08, -0.01, -21.25, -10.25, -20.25, 0.72, -0.04, -0.69, -0.00
49   , 9.33, -0.70, 0.85, -0.14, 0.09, -0.01, -21.25, -10.25, -20.25, 0.72, -0.04, -0.69, -0.00
50   , 9.36, -0.61, 0.93, -0.17, 0.11, -0.01, -21.25, -10.25, -20.25, 0.72, -0.04, -0.69, -0.00
51   , 9.41, -0.46, 0.98, -0.18, 0.13, -0.01, -21.25, -10.25, -20.25, 0.72, -0.04, -0.69, -0.00
52   , 9.34, -0.38, 1.00, -0.16, 0.13, -0.01, -21.25, -10.25, -20.25, 0.72, -0.05, -0.69, -0.00
53   , 9.28, -0.39, 0.99, -0.13, 0.11, -0.02, -23.00, -10.50, -20.25, 0.72, -0.05, -0.69, -0.00
54   , 9.34, -0.43, 0.87, -0.09, 0.10, -0.02, -23.00, -10.50, -20.25, 0.72, -0.05, -0.69, -0.00
55   , 9.39, -0.47, 0.80, -0.06, 0.08, -0.02, -23.00, -10.50, -20.25, 0.72, -0.05, -0.69, -0.00
56   , 9.35, -0.49, 0.67, -0.02, 0.04, -0.02, -23.00, -10.50, -20.25, 0.72, -0.05, -0.69, -0.00
57   , 9.37, -0.55, 0.61, 0.01, 0.00, -0.02, -23.00, -10.50, -20.25, 0.72, -0.05, -0.69, -0.00
58   , 9.42, -0.64, 0.60, 0.03, -0.03, -0.03, -22.75, -10.88, -19.56, 0.72, -0.05, -0.69, -0.00
59   , 9.42, -0.64, 0.60, 0.03, -0.05, -0.03, -22.75, -10.88, -19.56, 0.72, -0.05, -0.69, -0.00
60   , 9.41, -0.92, 0.81, 0.01, -0.04, -0.03, -22.75, -10.88, -19.56, 0.72, -0.05, -0.69, -0.00
61   , 9.36, -0.86, 0.84, -0.01, -0.04, -0.03, -22.75, -10.88, -19.56, 0.72, -0.05, -0.69, -0.00
62   , 9.36, -0.86, 0.84, -0.04, -0.03, -0.04, -22.75, -10.88, -19.56, 0.72, -0.05, -0.69, -0.00
63   , 9.35, -0.44, 0.90, -0.07, -0.03, -0.04, -23.25, -10.25, -20.00, 0.72, -0.05, -0.69, -0.01
64   , 9.35, -0.44, 0.90, -0.10, -0.04, -0.04, -23.25, -10.25, -20.00, 0.72, -0.05, -0.69, -0.01
65   , 9.29, -0.45, 0.94, -0.13, -0.06, -0.04, -23.25, -10.25, -20.00, 0.72, -0.05, -0.69, -0.01
66   , 9.24, -0.59, 0.86, -0.12, -0.07, -0.05, -23.25, -10.25, -20.00, 0.72, -0.05, -0.69, -0.01
67   , 9.29, -0.61, 0.88, -0.10, -0.09, -0.05, -23.25, -10.25, -20.00, 0.72, -0.05, -0.69, -0.01
68   , 9.38, -0.61, 0.81, -0.09, -0.08, -0.05, -23.19, -10.25, -20.00, 0.72, -0.05, -0.69, -0.01
69   , 9.40, -0.55, 0.72, -0.08, -0.07, -0.04, -23.19, -10.25, -20.00, 0.72, -0.05, -0.69, -0.01
70   , 9.39, -0.41, 0.55, -0.06, -0.06, -0.04, -23.19, -10.25, -20.00, 0.72, -0.05, -0.69, -0.01
71   , 9.42, -0.36, 0.44, -0.04, -0.07, -0.04, -23.19, -10.25, -20.00, 0.72, -0.05, -0.69, -0.01
72   , 9.46, -0.33, 0.35, -0.01, -0.09, -0.04, -23.19, -10.25, -20.00, 0.72, -0.05, -0.69, -0.01
73   , 9.53, -0.37, 0.30, 0.04, -0.10, -0.04, -23.75, -11.00, -18.69, 0.72, -0.05, -0.69, -0.01
74   , 9.53, -0.44, 0.29, 0.08, -0.11, -0.03, -23.75, -11.00, -18.69, 0.72, -0.05, -0.70, -0.01
75   , 9.50, -0.51, 0.25, 0.10, -0.11, -0.03, -23.75, -11.00, -18.69, 0.72, -0.05, -0.70, -0.01
76   , 9.50, -0.51, 0.25, 0.10, -0.12, -0.03, -23.75, -11.00, -18.69, 0.72, -0.05, -0.70, -0.01
77   , 9.39, -0.46, 0.32, 0.09, -0.12, -0.03, -23.75, -11.00, -18.69, 0.72, -0.04, -0.70, -0.01
78   , 9.39, -0.46, 0.32, 0.09, -0.12, -0.03, -23.00, -11.38, -17.69, 0.72, -0.04, -0.70, -0.01
79   , 9.43, -0.61, 0.38, 0.03, -0.10, -0.03, -23.00, -11.38, -17.69, 0.72, -0.04, -0.70, -0.01
80   , 9.43, -0.61, 0.38, -0.00, -0.08, -0.03, -23.00, -11.38, -17.69, 0.72, -0.04, -0.70, -0.01
81   , 9.39, -0.62, 0.43, -0.05, -0.06, -0.03, -23.00, -11.38, -17.69, 0.72, -0.04, -0.70, -0.01
82   , 9.39, -0.58, 0.39, -0.08, -0.04, -0.03, -23.00, -11.38, -17.69, 0.72, -0.04, -0.70, -0.01
83   , 9.48, -0.49, 0.40, -0.10, -0.01, -0.03, -23.38, -10.50, -17.69, 0.72, -0.04, -0.70, -0.01
84   , 9.50, -0.52, 0.46, -0.13, 0.02, -0.03, -23.38, -10.50, -17.69, 0.72, -0.05, -0.70, -0.01
85   , 9.50, -0.52, 0.46, -0.13, 0.02, -0.03, -23.38, -10.50, -17.69, 0.72, -0.05, -0.70, -0.01
86   , 9.41, -0.45, 0.40, -0.14, 0.03, -0.02, -23.38, -10.50, -17.69, 0.72, -0.05, -0.70, -0.01
87   , 9.40, -0.40, 0.41, -0.12, 0.03, -0.01, -23.38, -10.50, -17.69, 0.72, -0.05, -0.70, -0.01
88   , 9.45, -0.34, 0.46, -0.09, 0.03, -0.01, -23.00, -10.88, -18.06, 0.72, -0.05, -0.70, -0.01
89   , 9.48, -0.35, 0.48, -0.05, 0.02, -0.00, -23.00, -10.88, -18.06, 0.72, -0.05, -0.70, -0.01
90   , 9.45, -0.44, 0.40, -0.03, 0.01, -0.00, -23.00, -10.88, -18.06, 0.72, -0.05, -0.70, -0.01
91   , 9.42, -0.54, 0.37, -0.01, -0.00, -0.00, -23.00, -10.88, -18.06, 0.72, -0.05, -0.70, -0.01
92   , 9.40, -0.55, 0.38, 0.01, -0.01, -0.01, -23.00, -10.88, -18.06, 0.72, -0.05, -0.70, -0.01
93   , 9.40, -0.55, 0.38, 0.02, -0.02, -0.01, -23.75, -10.88, -18.50, 0.72, -0.05, -0.70, -0.01
94   , 9.39, -0.63, 0.44, 0.00, -0.03, -0.01, -23.75, -10.88, -18.50, 0.72, -0.05, -0.70, -0.01
95   , 9.37, -0.64, 0.47, -0.02, -0.04, -0.01, -23.75, -10.88, -18.50, 0.72, -0.05, -0.70, -0.01
96   , 9.39, -0.62, 0.50, -0.05, -0.04, -0.02, -23.75, -10.88, -18.50, 0.72, -0.05, -0.70, -0.01
97   , 9.39, -0.56, 0.55, -0.07, -0.03, -0.02, -23.75, -10.88, -18.50, 0.72, -0.05, -0.70, -0.01
98   , 9.40, -0.49, 0.57, -0.08, -0.03, -0.02, -23.00, -10.88, -18.50, 0.72, -0.05, -0.70, -0.01
99   , 9.39, -0.44, 0.59, -0.10, -0.01, -0.02, -23.00, -10.88, -18.50, 0.72, -0.05, -0.70, -0.01
100   , 9.41, -0.34, 0.49, -0.12, -0.02, -0.02, -23.00, -10.88, -18.50, 0.72, -0.05, -0.70, -0.01
101   , 9.41, -0.34, 0.49, -0.12, -0.02, -0.02, -23.00, -10.88, -18.50, 0.72, -0.05, -0.70, -0.01
102   , 9.50, -0.36, 0.45, -0.07, -0.02, -0.01, -23.38, -10.88, -18.50, 0.72, -0.05, -0.70, -0.01
103   , 9.46, -0.43, 0.41, -0.07, -0.02, -0.01, -23.38, -10.88, -18.50, 0.72, -0.05, -0.70, -0.01
104   , 9.43, -0.42, 0.37, -0.03, -0.02, -0.00, -23.38, -10.88, -18.50, 0.72, -0.05, -0.70, -0.01
105   , 9.39, -0.35, 0.35, 0.00, -0.03, 0.00, -23.38, -10.88, -18.50, 0.72, -0.05, -0.70, -0.01
106   , 9.40, -0.40, 0.44, 0.02, -0.03, 0.00, -23.38, -10.88, -18.50, 0.72, -0.05, -0.70, -0.01
107   , 9.39, -0.45, 0.54, 0.03, -0.03, 0.00, -23.38, -10.88, -18.37, 0.72, -0.05, -0.70, -0.01
108   , 9.39, -0.48, 0.54, 0.01, -0.02, 0.01, -23.38, -10.88, -18.37, 0.72, -0.05, -0.70, -0.01
109   , 9.36, -0.42, 0.40, -0.00, -0.03, 0.01, -23.38, -10.88, -18.37, 0.72, -0.05, -0.70, -0.01
110   , 9.38, -0.36, 0.41, 0.00, -0.02, 0.01, -23.38, -10.88, -18.37, 0.72, -0.05, -0.70, -0.01
111   , 9.39, -0.34, 0.46, 0.01, 0.00, 0.00, -23.38, -11.75, -17.19, 0.72, -0.05, -0.70, -0.01
112   , 9.39, -0.45, 0.46, 0.01, 0.00, 0.00, -23.38, -11.75, -17.19, 0.72, -0.05, -0.70, -0.01
113   , 9.43, -0.65, 0.35, 0.00, -0.00, 0.00, -23.38, -11.75, -17.19, 0.72, -0.05, -0.70, -0.01
