Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.38, -0.16, 1.41, -0.04, 0.04, -0.01, -20.06, -0.75, 6.87, 0.75, -0.02, -0.66, -0.00
1   , 9.38, -0.16, 1.41, -0.05, 0.03, -0.01, -20.75, -0.37, 5.69, 0.75, -0.02, -0.66, -0.00
2   , 9.32, -0.13, 1.55, -0.06, 0.03, -0.02, -20.75, -0.37, 5.69, 0.75, -0.02, -0.66, -0.00
3   , 9.36, -0.08, 1.52, -0.07, 0.03, -0.02, -20.75, -0.37, 5.69, 0.75, -0.02, -0.66, -0.00
4   , 9.36, -0.08, 1.52, -0.07, 0.03, -0.02, -20.75, -0.37, 5.69, 0.75, -0.02, -0.66, -0.00
5   , 9.42, 0.00, 1.53, -0.07, 0.02, -0.02, -20.75, -0.37, 5.69, 0.75, -0.02, -0.66, -0.01
6   , 9.42, 0.00, 1.53, -0.07, 0.02, -0.02, -10.50, -0.56, 4.25, 0.75, -0.02, -0.66, -0.01
7   , 9.35, 0.01, 1.59, -0.05, 0.02, -0.02, -10.50, -0.56, 4.25, 0.75, -0.02, -0.66, -0.01
8   , 9.36, -0.08, 1.54, -0.03, 0.01, -0.02, -10.50, -0.56, 4.25, 0.75, -0.02, -0.66, -0.01
9   , 9.35, -0.07, 1.58, -0.04, 0.01, -0.02, -10.50, -0.56, 4.25, 0.75, -0.02, -0.66, -0.01
10   , 9.28, 0.00, 1.58, -0.05, 0.01, -0.02, -10.50, -0.56, 4.25, 0.75, -0.02, -0.66, -0.01
11   , 9.28, 0.05, 1.67, -0.04, 0.00, -0.02, -11.06, -0.19, 3.25, 0.75, -0.02, -0.66, -0.01
12   , 9.36, 0.11, 1.62, -0.02, 0.00, -0.02, -11.06, -0.19, 3.25, 0.75, -0.02, -0.66, -0.01
13   , 9.46, 0.05, 1.75, -0.00, -0.00, -0.01, -11.06, -0.19, 3.25, 0.75, -0.02, -0.66, -0.01
