Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.28, -1.54, 0.43, 0.05, -0.02, 0.02, -45.75, -13.38, -15.38, 0.73, -0.09, -0.68, 0.01
1   , 9.32, -1.58, 0.42, 0.05, -0.02, 0.02, -45.75, -13.38, -15.38, 0.73, -0.09, -0.68, 0.01
2   , 9.34, -1.62, 0.30, 0.04, -0.02, 0.02, -45.75, -13.38, -15.38, 0.73, -0.09, -0.68, 0.01
3   , 9.31, -1.67, 0.28, 0.03, -0.02, 0.02, -28.69, -8.19, -7.87, 0.73, -0.09, -0.68, 0.01
4   , 9.32, -1.62, 0.29, 0.01, -0.01, 0.02, -28.69, -8.19, -7.87, 0.73, -0.09, -0.68, 0.01
5   , 9.35, -1.56, 0.23, 0.00, 0.01, 0.01, -28.69, -8.19, -7.87, 0.72, -0.09, -0.68, 0.01
6   , 9.36, -1.50, 0.24, -0.01, 0.00, 0.01, -28.69, -8.19, -7.87, 0.72, -0.09, -0.68, 0.01
7   , 9.32, -1.47, 0.27, -0.02, -0.00, 0.00, -28.69, -8.19, -7.87, 0.72, -0.09, -0.68, 0.01
8   , 9.32, -1.47, 0.27, -0.04, 0.00, 0.00, -28.69, -8.19, -7.87, 0.72, -0.09, -0.68, 0.01
9   , 9.35, -1.33, 0.27, -0.04, 0.02, 0.00, -27.50, -7.75, -8.69, 0.72, -0.09, -0.68, 0.01
10   , 9.35, -1.33, 0.27, -0.04, 0.02, 0.00, -27.50, -7.75, -8.69, 0.72, -0.09, -0.68, 0.01
11   , 9.39, -1.59, 0.24, -0.04, 0.02, -0.00, -27.50, -7.75, -8.69, 0.72, -0.09, -0.68, 0.01
12   , 9.35, -1.58, 0.24, -0.05, 0.03, -0.01, -27.50, -7.75, -8.69, 0.72, -0.09, -0.68, 0.01
13   , 9.35, -1.57, 0.18, -0.04, 0.03, -0.01, -27.50, -7.75, -8.69, 0.72, -0.09, -0.68, 0.01
14   , 9.35, -1.57, 0.18, -0.04, 0.02, -0.01, -28.56, -8.50, -7.50, 0.72, -0.09, -0.68, 0.01
15   , 9.35, -1.51, 0.28, -0.04, 0.02, -0.01, -28.56, -8.50, -7.50, 0.72, -0.09, -0.68, 0.01
16   , 9.35, -1.46, 0.24, -0.04, 0.01, -0.01, -28.56, -8.50, -7.50, 0.72, -0.09, -0.68, 0.01
17   , 9.29, -1.41, 0.22, -0.03, 0.01, 0.00, -28.56, -8.50, -7.50, 0.72, -0.09, -0.68, 0.01
18   , 9.30, -1.41, 0.18, -0.03, 0.03, 0.00, -28.56, -8.50, -7.50, 0.72, -0.09, -0.68, 0.01
19   , 9.34, -1.42, 0.18, -0.02, 0.03, 0.00, -28.69, -8.38, -8.88, 0.72, -0.09, -0.68, 0.01
20   , 9.38, -1.42, 0.17, -0.01, 0.05, -0.01, -28.69, -8.38, -8.88, 0.72, -0.09, -0.68, 0.01
21   , 9.41, -1.57, 0.20, -0.00, 0.04, -0.00, -28.69, -8.38, -8.88, 0.72, -0.09, -0.68, 0.01
22   , 9.40, -1.62, 0.24, -0.01, 0.02, -0.00, -28.69, -8.38, -8.88, 0.72, -0.09, -0.68, 0.01
23   , 9.40, -1.62, 0.24, -0.02, 0.02, -0.00, -28.69, -8.38, -8.88, 0.72, -0.09, -0.68, 0.01
24   , 9.35, -1.58, 0.26, -0.02, 0.02, -0.00, -27.87, -8.75, -8.50, 0.72, -0.10, -0.68, 0.01
25   , 9.31, -1.42, 0.32, -0.01, 0.03, -0.00, -27.87, -8.75, -8.50, 0.72, -0.10, -0.68, 0.01
26   , 9.28, -1.36, 0.38, -0.01, 0.01, -0.00, -27.87, -8.75, -8.50, 0.72, -0.10, -0.68, 0.01
27   , 9.34, -1.29, 0.35, -0.00, 0.01, 0.00, -27.87, -8.75, -8.50, 0.72, -0.10, -0.68, 0.01
28   , 9.37, -1.33, 0.35, 0.00, 0.01, 0.00, -27.87, -8.75, -8.50, 0.72, -0.10, -0.68, 0.01
29   , 9.40, -1.38, 0.28, 0.01, 0.03, 0.00, -27.87, -9.88, -9.69, 0.72, -0.10, -0.68, 0.01
