Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.44, -0.26, 1.36, -0.02, 0.01, -0.01, -34.75, 7.25, -9.75, 0.76, -0.01, -0.65, 0.00
1   , 9.46, -0.23, 1.38, -0.03, 0.01, -0.01, -34.75, 7.25, -9.75, 0.76, -0.01, -0.65, 0.00
2   , 9.46, -0.23, 1.38, -0.03, 0.02, -0.01, -34.75, 7.25, -9.75, 0.76, -0.01, -0.65, 0.00
3   , 9.47, -0.16, 1.41, -0.03, 0.02, -0.01, -34.75, 7.25, -9.75, 0.76, -0.01, -0.65, 0.00
4   , 9.51, -0.17, 1.40, -0.04, 0.01, -0.01, -34.75, 6.50, -11.75, 0.76, -0.01, -0.65, 0.00
5   , 9.50, -0.18, 1.38, -0.04, 0.01, -0.01, -34.75, 6.50, -11.75, 0.76, -0.01, -0.65, -0.00
6   , 9.51, -0.21, 1.35, -0.05, -0.00, -0.01, -34.75, 6.50, -11.75, 0.76, -0.01, -0.65, -0.00
7   , 9.51, -0.21, 1.35, -0.05, -0.01, -0.01, -34.75, 6.50, -11.75, 0.76, -0.01, -0.65, -0.00
8   , 9.50, -0.23, 1.47, -0.06, -0.01, -0.01, -34.75, 6.50, -11.75, 0.76, -0.01, -0.65, -0.00
9   , 9.50, -0.23, 1.47, -0.06, -0.01, -0.01, -34.75, 6.06, -9.38, 0.76, -0.01, -0.65, -0.00
10   , 9.51, -0.13, 1.56, -0.05, -0.02, -0.01, -34.75, 6.06, -9.38, 0.76, -0.01, -0.65, -0.00
11   , 9.42, -0.05, 1.46, -0.04, -0.04, -0.00, -34.75, 6.06, -9.38, 0.76, -0.01, -0.65, -0.00
12   , 9.38, -0.03, 1.47, -0.04, -0.06, -0.00, -34.75, 6.06, -9.38, 0.76, -0.01, -0.65, -0.00
13   , 9.34, 0.00, 1.44, -0.03, -0.06, -0.00, -34.75, 6.06, -9.38, 0.76, -0.01, -0.65, -0.00
14   , 9.34, -0.03, 1.37, -0.02, -0.04, -0.00, -21.87, 4.06, -6.87, 0.76, -0.01, -0.65, -0.00
15   , 9.34, -0.08, 1.35, -0.01, -0.03, 0.00, -21.87, 4.06, -6.87, 0.76, -0.01, -0.65, -0.00
16   , 9.35, -0.08, 1.32, 0.00, -0.02, 0.01, -21.87, 4.06, -6.87, 0.76, -0.01, -0.65, -0.00
17   , 9.37, -0.12, 1.29, 0.02, -0.01, 0.01, -21.87, 4.06, -6.87, 0.76, -0.01, -0.65, -0.00
18   , 9.39, -0.13, 1.37, 0.03, -0.01, 0.01, -21.87, 4.06, -6.87, 0.76, -0.01, -0.65, -0.00
19   , 9.39, -0.14, 1.39, 0.04, 0.00, 0.01, -21.56, 4.37, -5.87, 0.76, -0.01, -0.65, -0.00
20   , 9.39, -0.14, 1.39, 0.05, 0.02, 0.01, -21.56, 4.37, -5.87, 0.76, -0.01, -0.65, -0.00
21   , 9.44, -0.20, 1.53, 0.06, 0.03, 0.01, -21.56, 4.37, -5.87, 0.76, -0.01, -0.65, -0.00
22   , 9.48, -0.20, 1.55, 0.06, 0.03, 0.01, -21.56, 4.37, -5.87, 0.76, -0.01, -0.65, -0.00
23   , 9.49, -0.21, 1.54, 0.06, 0.03, 0.01, -21.56, 4.37, -5.87, 0.76, -0.01, -0.65, -0.00
24   , 9.47, -0.22, 1.50, 0.05, 0.03, 0.01, -22.25, 4.25, -4.69, 0.76, -0.01, -0.65, -0.00
25   , 9.43, -0.24, 1.48, 0.05, 0.03, 0.01, -22.25, 4.25, -4.69, 0.76, -0.01, -0.65, 0.00
26   , 9.41, -0.27, 1.43, 0.04, 0.03, 0.02, -22.25, 4.25, -4.69, 0.76, -0.01, -0.65, 0.00
27   , 9.41, -0.27, 1.43, 0.04, 0.03, 0.02, -22.25, 4.25, -4.69, 0.76, -0.01, -0.65, 0.00
28   , 9.36, -0.26, 1.36, 0.04, 0.04, 0.01, -22.25, 4.25, -4.69, 0.76, -0.01, -0.65, 0.00
29   , 9.36, -0.26, 1.36, 0.04, 0.04, 0.01, -21.00, 3.50, -6.00, 0.76, -0.01, -0.65, 0.00
30   , 9.37, -0.20, 1.39, 0.04, 0.05, 0.01, -21.00, 3.50, -6.00, 0.76, -0.01, -0.65, 0.00
31   , 9.37, -0.20, 1.39, 0.04, 0.05, 0.00, -21.00, 3.50, -6.00, 0.76, -0.01, -0.65, 0.00
32   , 9.42, -0.17, 1.42, 0.04, 0.05, 0.00, -21.00, 3.50, -6.00, 0.76, -0.01, -0.65, 0.00
33   , 9.47, -0.16, 1.42, 0.04, 0.06, 0.00, -21.00, 3.50, -6.00, 0.76, -0.01, -0.65, 0.00
34   , 9.50, -0.16, 1.39, 0.04, 0.06, 0.00, -21.37, 4.25, -5.56, 0.76, -0.01, -0.65, 0.00
35   , 9.53, -0.18, 1.38, 0.04, 0.05, 0.01, -21.37, 4.25, -5.56, 0.76, -0.01, -0.65, 0.00
36   , 9.53, -0.18, 1.36, 0.04, 0.05, 0.01, -21.37, 4.25, -5.56, 0.76, -0.01, -0.65, 0.00
37   , 9.49, -0.18, 1.37, 0.04, 0.04, 0.01, -21.37, 4.25, -5.56, 0.76, -0.01, -0.65, 0.00
38   , 9.49, -0.18, 1.37, 0.03, 0.03, 0.01, -21.37, 4.25, -5.56, 0.76, -0.01, -0.65, 0.00
39   , 9.41, -0.19, 1.35, 0.03, 0.03, 0.01, -20.69, 3.50, -6.37, 0.76, -0.01, -0.65, 0.00
40   , 9.41, -0.19, 1.35, 0.03, 0.03, 0.01, -20.69, 3.50, -6.37, 0.76, -0.01, -0.65, 0.00
41   , 9.44, -0.17, 1.36, 0.03, 0.04, 0.01, -20.69, 3.50, -6.37, 0.76, -0.01, -0.65, 0.00
42   , 9.49, -0.19, 1.39, 0.04, 0.03, 0.01, -20.69, 3.50, -6.37, 0.76, -0.01, -0.65, 0.00
43   , 9.54, -0.17, 1.41, 0.04, 0.03, 0.00, -20.69, 3.50, -6.37, 0.76, -0.01, -0.65, 0.00
44   , 9.52, -0.20, 1.39, 0.04, 0.03, -0.00, -21.50, 3.87, -6.00, 0.76, -0.01, -0.65, 0.00
45   , 9.40, -0.19, 1.38, 0.04, 0.02, -0.00, -21.50, 3.87, -6.00, 0.76, -0.01, -0.65, 0.00
46   , 9.40, -0.18, 1.39, 0.04, 0.02, -0.00, -21.50, 3.87, -6.00, 0.76, -0.01, -0.65, 0.00
47   , 9.41, -0.18, 1.38, 0.04, 0.02, -0.00, -21.50, 3.87, -6.00, 0.76, -0.01, -0.65, 0.00
48   , 9.43, -0.18, 1.40, 0.04, 0.03, 0.00, -21.06, 4.69, -6.37, 0.76, -0.01, -0.65, 0.00
49   , 9.45, -0.19, 1.42, 0.04, 0.03, 0.00, -21.06, 4.69, -6.37, 0.76, -0.01, -0.65, 0.00
50   , 9.47, -0.18, 1.40, 0.04, 0.03, 0.00, -21.06, 4.69, -6.37, 0.76, -0.01, -0.65, 0.00
51   , 9.48, -0.20, 1.43, 0.04, 0.02, 0.00, -21.06, 4.69, -6.37, 0.76, -0.01, -0.65, 0.00
52   , 9.48, -0.20, 1.43, 0.04, 0.02, 0.01, -21.06, 4.69, -6.37, 0.76, -0.01, -0.65, 0.00
