Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.47, -1.66, 0.33, 0.03, 0.01, 0.02, -23.25, 10.88, -0.37, 0.72, -0.12, -0.68, -0.00
1   , 9.44, -1.65, 0.38, 0.03, 0.01, 0.02, -23.25, 10.88, -0.37, 0.72, -0.12, -0.68, -0.00
2   , 9.43, -1.62, 0.35, 0.03, 0.01, 0.01, -23.25, 10.88, -0.37, 0.72, -0.12, -0.68, -0.00
3   , 9.42, -1.59, 0.34, 0.03, 0.01, 0.01, -23.25, 10.88, -0.37, 0.72, -0.12, -0.68, -0.00
4   , 9.45, -1.59, 0.39, 0.02, 0.00, 0.01, -23.25, 10.88, -0.37, 0.72, -0.12, -0.68, -0.00
5   , 9.45, -1.57, 0.34, 0.02, 0.00, 0.01, -23.25, 10.88, -0.37, 0.72, -0.12, -0.68, -0.00
6   , 9.47, -1.53, 0.37, 0.00, 0.00, 0.01, -14.19, 7.06, 1.25, 0.72, -0.12, -0.68, -0.00
7   , 9.47, -1.53, 0.37, 0.01, 0.00, 0.01, -14.19, 7.06, 1.25, 0.72, -0.12, -0.68, -0.00
8   , 9.53, -1.62, 0.39, 0.01, 0.00, 0.01, -14.19, 7.06, 1.25, 0.72, -0.12, -0.68, -0.00
9   , 9.44, -1.65, 0.42, 0.01, 0.00, 0.01, -14.19, 7.06, 1.25, 0.72, -0.12, -0.68, -0.00
10   , 9.44, -1.65, 0.42, 0.01, 0.00, 0.01, -14.19, 7.06, 1.25, 0.72, -0.12, -0.68, 0.00
11   , 9.33, -1.60, 0.39, 0.01, 0.00, 0.01, -13.38, 6.25, -0.56, 0.72, -0.12, -0.68, 0.00
12   , 9.39, -1.58, 0.30, 0.02, 0.00, 0.01, -13.38, 6.25, -0.56, 0.72, -0.12, -0.68, 0.00
13   , 9.46, -1.59, 0.29, 0.03, -0.00, 0.02, -13.38, 6.25, -0.56, 0.72, -0.12, -0.68, 0.00
14   , 9.51, -1.58, 0.30, 0.03, -0.00, 0.01, -13.38, 6.25, -0.56, 0.72, -0.12, -0.68, 0.00
15   , 9.51, -1.58, 0.30, 0.03, -0.00, 0.01, -13.38, 6.25, -0.56, 0.72, -0.12, -0.68, 0.00
16   , 9.36, -1.62, 0.34, 0.02, 0.00, 0.01, -13.75, 6.69, 0.56, 0.72, -0.12, -0.68, 0.00
17   , 9.39, -1.61, 0.35, 0.01, 0.00, 0.00, -13.75, 6.69, 0.56, 0.72, -0.12, -0.68, 0.00
18   , 9.39, -1.61, 0.35, 0.01, 0.00, 0.00, -13.75, 6.69, 0.56, 0.72, -0.12, -0.68, 0.00
19   , 9.51, -1.56, 0.41, 0.00, -0.00, 0.01, -13.75, 6.69, 0.56, 0.72, -0.12, -0.68, 0.00
20   , 9.48, -1.50, 0.41, 0.01, 0.00, 0.01, -13.75, 6.69, 0.56, 0.72, -0.12, -0.68, 0.00
21   , 9.46, -1.55, 0.42, 0.02, -0.00, 0.02, -13.38, 7.06, 0.19, 0.72, -0.12, -0.68, 0.00
22   , 9.39, -1.58, 0.41, 0.03, 0.00, 0.02, -13.38, 7.06, 0.19, 0.72, -0.12, -0.68, 0.00
23   , 9.39, -1.58, 0.41, 0.04, 0.00, 0.02, -13.38, 7.06, 0.19, 0.72, -0.12, -0.68, 0.00
24   , 9.45, -1.63, 0.31, 0.04, -0.00, 0.02, -13.38, 7.06, 0.19, 0.72, -0.12, -0.68, 0.00
25   , 9.49, -1.67, 0.32, 0.05, 0.00, 0.02, -13.38, 7.06, 0.19, 0.72, -0.12, -0.68, 0.00
26   , 9.49, -1.81, 0.36, 0.04, -0.00, 0.01, -13.38, 7.37, 1.25, 0.72, -0.12, -0.68, 0.00
27   , 9.26, -1.80, 0.38, 0.02, 0.00, 0.00, -13.38, 7.37, 1.25, 0.72, -0.12, -0.68, 0.00
28   , 9.32, -1.76, 0.34, 0.00, 0.00, -0.01, -13.38, 7.37, 1.25, 0.72, -0.12, -0.68, 0.00
29   , 9.56, -1.73, 0.37, -0.02, 0.00, -0.00, -13.38, 7.37, 1.25, 0.72, -0.12, -0.68, 0.00
30   , 9.56, -1.73, 0.37, -0.03, -0.00, -0.01, -13.38, 7.37, 1.25, 0.72, -0.12, -0.68, 0.00
31   , 9.46, -1.43, 0.42, -0.04, 0.01, -0.01, -13.50, 6.00, 1.00, 0.72, -0.12, -0.68, 0.00
32   , 9.46, -1.43, 0.42, -0.04, 0.01, -0.01, -13.50, 6.00, 1.00, 0.72, -0.12, -0.68, 0.00
33   , 9.36, -1.25, 0.42, 0.00, 0.00, 0.01, -13.50, 6.00, 1.00, 0.72, -0.12, -0.68, 0.00
34   , 9.43, -1.33, 0.45, 0.03, -0.01, 0.02, -13.50, 6.00, 1.00, 0.72, -0.12, -0.68, 0.00
35   , 9.43, -1.33, 0.45, 0.05, -0.00, 0.02, -13.50, 6.00, 1.00, 0.72, -0.12, -0.68, 0.00
36   , 9.33, -1.88, 0.33, 0.06, -0.00, 0.02, -13.88, 7.19, -0.19, 0.72, -0.12, -0.68, 0.00
