Timestamp_us,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatW,QuatX,QuatY,QuatZ
1439912, 9.57,-0.67,-0.14,0.05,0.11,-0.02,-24.37,18.87,36.75,0.69,-0.05,-0.72,-0.00
1446835, 9.57,-0.67,-0.14,0.02,0.09,-0.01,-24.37,18.87,36.75,0.69,-0.05,-0.72,-0.00
1451949, 9.52,-0.62,-0.11,0.02,0.09,-0.01,-24.37,18.87,36.75,0.69,-0.05,-0.72,-0.00
1459822, 9.50,-0.61,-0.23,-0.00,0.08,-0.01,-24.37,18.87,36.75,0.69,-0.05,-0.72,-0.00
1474475, 9.51,-0.60,-0.35,-0.02,0.08,-0.01,-14.19,12.25,22.50,0.69,-0.05,-0.72,-0.00
1479468, 9.42,-0.56,-0.52,-0.03,0.08,-0.01,-14.19,12.25,22.50,0.69,-0.05,-0.72,-0.00
1485154, 9.42,-0.56,-0.52,-0.03,0.08,-0.01,-14.19,12.25,22.50,0.69,-0.05,-0.72,-0.00
1491332, 9.39,-0.52,-0.41,-0.01,0.10,-0.01,-14.19,12.25,22.50,0.69,-0.05,-0.72,-0.00
1498954, 9.49,-0.53,-0.23,0.06,0.11,-0.01,-14.19,12.25,22.50,0.69,-0.05,-0.72,-0.00
1514072, 9.61,-0.56,0.03,0.15,0.11,-0.02,-14.19,12.25,22.50,0.69,-0.05,-0.72,-0.00
1518518, 9.61,-0.56,0.03,0.21,0.11,-0.02,-13.75,11.69,22.25,0.69,-0.05,-0.72,-0.00
1522969, 9.78,-0.94,0.35,0.21,0.11,-0.02,-13.75,11.69,22.25,0.69,-0.05,-0.72,-0.00
1537584, 9.80,-1.20,0.44,0.10,0.06,-0.02,-13.75,11.69,22.25,0.69,-0.05,-0.72,0.00
1542604, 9.74,-1.33,0.55,0.10,0.06,-0.02,-13.75,11.69,22.25,0.69,-0.05,-0.72,0.00
1550319, 9.56,-1.04,0.38,-0.04,0.02,-0.02,-13.75,11.69,22.25,0.69,-0.05,-0.72,0.00
1556509, 9.56,-1.04,0.38,-0.15,-0.01,-0.02,-13.75,11.69,22.25,0.69,-0.05,-0.72,-0.00
1562286, 9.54,-0.76,0.26,-0.15,-0.01,-0.02,-13.75,11.69,22.25,0.69,-0.05,-0.72,-0.00
1576938, 9.60,-0.50,0.10,-0.19,-0.04,-0.01,-15.38,11.19,21.37,0.69,-0.05,-0.72,-0.00
1581607, 9.70,-0.29,0.00,-0.15,-0.04,-0.01,-15.38,11.19,21.37,0.69,-0.05,-0.72,-0.00
1589458, 9.61,-0.25,-0.18,-0.05,-0.04,-0.01,-15.38,11.19,21.37,0.69,-0.05,-0.72,-0.00
1594585, 9.61,-0.25,-0.18,-0.05,-0.04,-0.01,-15.38,11.19,21.37,0.69,-0.05,-0.72,-0.00
1601265, 9.55,-0.48,-0.21,0.06,-0.03,-0.01,-15.38,11.19,21.37,0.69,-0.05,-0.72,-0.00
1608559, 9.49,-0.75,-0.22,0.11,-0.02,-0.00,-15.38,11.19,21.37,0.69,-0.05,-0.72,-0.00
1623542, 9.51,-0.99,-0.28,0.07,-0.02,-0.00,-14.56,11.00,21.37,0.69,-0.05,-0.72,-0.00
1627989, 9.51,-0.99,-0.28,-0.04,-0.02,0.00,-14.56,11.00,21.37,0.69,-0.05,-0.72,-0.00
1632805, 9.64,-1.15,-0.35,-0.04,-0.02,0.00,-14.56,11.00,21.37,0.69,-0.05,-0.72,-0.00
1640381, 9.59,-1.01,-0.43,-0.18,-0.02,-0.00,-14.56,11.00,21.37,0.69,-0.05,-0.72,-0.00
1656516, 9.46,-0.68,-0.46,-0.27,-0.02,0.00,-14.56,11.00,21.37,0.69,-0.05,-0.72,-0.00
1662498, 9.42,-0.42,-0.49,-0.27,-0.02,0.00,-14.56,11.00,21.37,0.69,-0.05,-0.72,-0.00
1666949, 9.42,-0.42,-0.49,-0.27,-0.02,0.00,-14.19,11.00,21.50,0.69,-0.05,-0.72,-0.00
1681828, 9.55,-0.22,-0.63,-0.05,0.02,0.00,-14.19,11.00,21.50,0.69,-0.05,-0.72,-0.00
1689703, 9.44,-0.36,-0.68,0.08,0.05,0.01,-14.19,11.00,21.50,0.69,-0.05,-0.72,-0.00
1694669, 9.44,-0.36,-0.68,0.08,0.05,0.01,-14.19,11.00,21.50,0.69,-0.05,-0.72,-0.00
1701541, 9.39,-0.70,-0.62,0.17,0.08,0.01,-14.19,11.00,21.50,0.69,-0.05,-0.72,-0.00
1708644, 9.47,-0.70,-0.55,0.20,0.10,0.01,-14.19,11.00,21.50,0.69,-0.05,-0.72,-0.00
1723789, 9.53,-0.71,-0.39,0.21,0.13,0.00,-14.87,11.38,21.75,0.69,-0.05,-0.72,-0.00
1728244, 9.53,-0.71,-0.39,0.19,0.14,-0.00,-14.87,11.38,21.75,0.69,-0.05,-0.72,-0.00
1732947, 9.60,-0.80,-0.27,0.19,0.14,-0.00,-14.87,11.38,21.75,0.69,-0.05,-0.72,-0.00
1740425, 9.70,-1.15,0.00,0.14,0.13,-0.01,-14.87,11.38,21.75,0.69,-0.05,-0.72,-0.00
1756337, 9.60,-1.18,0.07,0.05,0.12,-0.01,-14.87,11.38,21.75,0.69,-0.05,-0.72,-0.00
1762682, 9.53,-1.10,0.15,-0.06,0.10,-0.01,-14.87,11.38,21.75,0.69,-0.05,-0.72,-0.00
1767135, 9.53,-1.10,0.15,-0.06,0.10,-0.01,-14.87,11.38,21.75,0.69,-0.05,-0.72,-0.00
1782009, 9.64,-0.38,0.17,-0.09,0.08,-0.02,-14.56,11.75,21.37,0.69,-0.05,-0.72,-0.00
1789399, 9.58,-0.34,0.11,0.01,0.08,-0.02,-14.56,11.75,21.37,0.69,-0.05,-0.72,-0.00
1793914, 9.58,-0.34,0.11,0.01,0.08,-0.02,-14.56,11.75,21.37,0.69,-0.05,-0.72,-0.00
1801464, 9.53,-0.48,0.05,0.11,0.08,-0.01,-14.56,11.75,21.37,0.69,-0.05,-0.72,-0.00
1807950, 9.53,-0.48,0.05,0.17,0.08,-0.01,-14.56,11.75,21.37,0.69,-0.05,-0.72,-0.00
1823658, 9.59,-0.77,0.01,0.17,0.08,-0.01,-15.56,12.19,20.69,0.69,-0.05,-0.72,-0.00
1840550, 9.61,-0.71,0.06,0.09,0.06,-0.01,-15.56,12.19,20.69,0.70,-0.05,-0.72,-0.00
1845053, 9.61,-0.71,0.06,0.09,0.06,-0.01,-15.56,12.19,20.69,0.70,-0.05,-0.72,-0.00
1852020, 9.57,-0.61,0.08,0.06,0.06,-0.01,-15.56,12.19,20.69,0.70,-0.05,-0.72,-0.00
1857926, 9.57,-0.61,0.08,0.04,0.04,-0.01,-15.56,12.19,20.69,0.70,-0.05,-0.72,0.00
1863589, 9.52,-0.72,0.01,0.04,0.04,-0.01,-15.56,12.19,20.69,0.70,-0.05,-0.72,0.00
1878266, 9.54,-0.74,0.07,0.01,0.04,-0.01,-15.69,11.69,19.56,0.70,-0.05,-0.72,0.00
1882905, 9.60,-0.68,0.09,-0.01,0.03,-0.01,-15.69,11.69,19.56,0.70,-0.05,-0.72,0.00
1888384, 9.60,-0.68,0.09,-0.01,0.03,-0.01,-15.69,11.69,19.56,0.70,-0.05,-0.72,0.00
1893719, 9.61,-0.56,0.00,-0.01,0.03,-0.01,-15.69,11.69,19.56,0.70,-0.05,-0.72,0.00
1901055, 9.54,-0.61,0.00,-0.00,0.03,-0.01,-15.69,11.69,19.56,0.70,-0.05,-0.72,0.00
1915687, 9.53,-0.61,0.05,0.01,0.02,0.00,-15.69,11.69,19.56,0.70,-0.05,-0.72,0.00
1920146, 9.57,-0.57,0.05,0.04,0.02,-0.00,-15.06,11.75,20.88,0.70,-0.05,-0.72,0.00
1924585, 9.57,-0.57,0.05,0.04,0.02,-0.00,-15.06,11.75,20.88,0.70,-0.05,-0.72,0.00
1939212, 9.63,-0.72,0.10,0.08,0.02,-0.00,-15.06,11.75,20.88,0.70,-0.05,-0.71,0.00
1944263, 9.64,-0.80,0.10,0.08,0.02,-0.00,-15.06,11.75,20.88,0.70,-0.05,-0.71,0.00
1951611, 9.58,-0.79,0.07,0.05,0.01,-0.00,-15.06,11.75,20.88,0.70,-0.05,-0.71,0.00
1956474, 9.58,-0.79,0.07,0.05,0.01,-0.00,-15.06,11.75,20.88,0.70,-0.05,-0.71,0.00
1963207, 9.52,-0.74,0.10,0.01,0.01,-0.00,-15.06,11.75,20.88,0.70,-0.05,-0.71,0.00
1977878, 9.61,-0.69,0.06,-0.03,-0.01,-0.00,-15.06,10.38,20.50,0.70,-0.05,-0.71,0.00
1983703, 9.62,-0.66,0.00,-0.03,-0.01,-0.00,-15.06,10.38,20.50,0.70,-0.05,-0.71,0.00
1991116, 9.57,-0.64,-0.02,-0.03,-0.01,-0.00,-15.06,10.38,20.50,0.70,-0.05,-0.71,0.00
1995557, 9.57,-0.64,-0.02,-0.03,-0.01,-0.00,-15.06,10.38,20.50,0.70,-0.05,-0.71,0.00
2002723, 9.50,-0.49,0.00,-0.03,-0.01,-0.00,-15.06,10.38,20.50,0.70,-0.05,-0.71,0.00
2018862, 9.55,-0.49,-0.08,-0.00,0.00,0.00,-14.00,11.06,19.25,0.70,-0.05,-0.71,0.00
2023527, 9.61,-0.53,-0.05,0.05,0.01,0.00,-14.00,11.06,19.25,0.70,-0.05,-0.71,0.00
2027974, 9.61,-0.53,-0.05,0.05,0.01,0.00,-14.00,11.06,19.25,0.70,-0.05,-0.71,0.00
2042854, 9.54,-0.78,-0.05,0.08,0.01,0.00,-14.00,11.06,19.25,0.70,-0.05,-0.71,0.00
2048925, 9.54,-0.78,-0.05,0.08,0.02,-0.00,-14.00,11.06,19.25,0.70,-0.05,-0.71,0.00
2054407, 9.55,-0.77,0.00,0.08,0.02,-0.00,-14.00,11.06,19.25,0.70,-0.05,-0.71,0.00
2061787, 9.58,-0.79,0.08,0.08,0.02,-0.00,-14.00,11.06,19.25,0.70,-0.05,-0.71,0.00
2076411, 9.59,-0.92,0.05,0.06,0.01,-0.00,-15.00,11.19,20.37,0.70,-0.05,-0.71,0.00
2080862, 9.57,-0.86,0.03,0.01,0.01,-0.00,-15.00,11.19,20.37,0.70,-0.05,-0.71,0.00
2085305, 9.57,-0.86,0.03,0.01,0.01,-0.00,-15.00,11.19,20.37,0.70,-0.05,-0.71,0.00
2091971, 9.59,-0.71,0.04,-0.03,-0.00,-0.01,-15.00,11.19,20.37,0.70,-0.05,-0.71,0.00
2107220, 9.59,-0.56,0.04,-0.02,-0.00,-0.01,-15.00,11.19,20.37,0.70,-0.05,-0.71,0.00
2113957, 9.50,-0.59,0.00,0.02,-0.00,-0.01,-15.00,11.19,20.37,0.70,-0.05,-0.71,0.00
