Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.48, -0.66, 0.71, -0.02, 0.00, -0.00, -14.75, 8.75, 25.37, 0.73, -0.05, -0.68, -0.00
1   , 9.49, -0.62, 0.69, -0.02, 0.00, -0.00, -14.75, 8.75, 25.37, 0.73, -0.05, -0.68, -0.00
2   , 9.49, -0.62, 0.69, -0.02, 0.00, -0.00, -14.75, 8.75, 25.37, 0.73, -0.05, -0.68, -0.00
3   , 9.48, -0.60, 0.64, -0.03, 0.00, -0.01, -14.75, 8.75, 25.37, 0.73, -0.05, -0.68, -0.00
4   , 9.48, -0.60, 0.61, -0.03, 0.00, -0.01, -14.75, 8.75, 25.37, 0.73, -0.05, -0.68, -0.00
5   , 9.48, -0.64, 0.61, -0.03, 0.01, -0.00, -14.00, 8.75, 25.37, 0.73, -0.05, -0.68, -0.00
6   , 9.48, -0.62, 0.67, -0.03, 0.01, -0.00, -14.00, 8.75, 25.37, 0.73, -0.05, -0.68, -0.00
7   , 9.50, -0.58, 0.65, -0.03, 0.00, -0.00, -14.00, 8.75, 25.37, 0.73, -0.05, -0.68, -0.00
8   , 9.47, -0.60, 0.71, -0.03, 0.01, -0.01, -14.00, 8.75, 25.37, 0.73, -0.05, -0.68, -0.00
9   , 9.47, -0.60, 0.71, -0.03, 0.01, -0.00, -14.00, 8.75, 25.37, 0.73, -0.05, -0.68, -0.00
10   , 9.49, -0.61, 0.72, -0.03, 0.01, -0.00, -14.00, 9.25, 25.56, 0.73, -0.05, -0.68, -0.00
11   , 9.49, -0.61, 0.72, -0.03, 0.01, -0.00, -14.00, 9.25, 25.56, 0.73, -0.05, -0.68, -0.00
12   , 9.50, -0.59, 0.67, -0.03, 0.01, -0.00, -14.00, 9.25, 25.56, 0.73, -0.05, -0.68, -0.00
13   , 9.47, -0.57, 0.73, -0.03, 0.01, -0.00, -14.00, 9.25, 25.56, 0.73, -0.05, -0.68, -0.00
14   , 9.48, -0.58, 0.75, -0.03, 0.01, -0.00, -14.00, 9.25, 25.56, 0.73, -0.05, -0.68, -0.00
15   , 9.48, -0.56, 0.76, -0.04, 0.01, -0.00, -13.69, 8.88, 25.88, 0.73, -0.05, -0.68, -0.00
16   , 9.48, -0.57, 0.74, -0.04, 0.01, -0.00, -13.69, 8.88, 25.88, 0.73, -0.05, -0.68, -0.00
17   , 9.51, -0.57, 0.76, -0.03, 0.01, -0.00, -13.69, 8.88, 25.88, 0.73, -0.05, -0.68, -0.00
18   , 9.51, -0.57, 0.78, -0.03, 0.01, -0.00, -13.69, 8.88, 25.88, 0.73, -0.05, -0.68, -0.00
19   , 9.48, -0.55, 0.84, -0.03, 0.01, -0.00, -13.69, 8.88, 25.88, 0.73, -0.05, -0.68, -0.00
20   , 9.50, -0.55, 0.83, -0.02, 0.01, -0.00, -13.06, 8.88, 25.75, 0.73, -0.05, -0.68, -0.00
21   , 9.46, -0.60, 0.84, -0.02, 0.01, -0.00, -13.06, 8.88, 25.75, 0.73, -0.05, -0.68, -0.00
22   , 9.48, -0.60, 0.79, -0.01, 0.01, -0.00, -13.06, 8.88, 25.75, 0.73, -0.05, -0.68, -0.00
23   , 9.52, -0.63, 0.80, -0.01, 0.01, 0.00, -13.06, 8.88, 25.75, 0.73, -0.05, -0.68, -0.00
24   , 9.50, -0.61, 0.79, -0.01, 0.00, -0.00, -13.06, 8.88, 25.75, 0.73, -0.05, -0.68, -0.00
25   , 9.49, -0.59, 0.78, -0.02, -0.00, -0.00, -14.87, 8.88, 25.37, 0.73, -0.05, -0.68, -0.00
26   , 9.44, -0.60, 0.76, -0.02, -0.00, -0.00, -14.87, 8.88, 25.37, 0.73, -0.05, -0.68, -0.00
27   , 9.52, -0.59, 0.76, -0.02, -0.00, -0.00, -14.87, 8.88, 25.37, 0.73, -0.05, -0.68, -0.00
28   , 9.52, -0.61, 0.77, -0.02, -0.00, -0.01, -14.87, 8.88, 25.37, 0.73, -0.05, -0.68, -0.00
29   , 9.51, -0.62, 0.77, -0.03, -0.00, -0.01, -14.87, 8.88, 25.37, 0.73, -0.05, -0.68, -0.00
30   , 9.48, -0.61, 0.77, -0.05, -0.00, -0.01, -13.06, 9.25, 25.00, 0.73, -0.05, -0.68, -0.00
31   , 9.50, -0.63, 0.75, -0.05, -0.00, -0.01, -13.06, 9.25, 25.00, 0.73, -0.05, -0.68, -0.00
32   , 9.49, -0.68, 0.70, -0.05, -0.00, -0.01, -13.06, 9.25, 25.00, 0.73, -0.05, -0.68, -0.00
33   , 9.49, -0.71, 0.70, -0.04, 0.00, -0.02, -13.06, 9.25, 25.00, 0.73, -0.05, -0.68, -0.00
34   , 9.45, -0.73, 0.66, -0.05, 0.00, -0.02, -13.06, 9.25, 25.00, 0.73, -0.05, -0.68, -0.00
35   , 9.46, -0.69, 0.68, -0.06, -0.00, -0.02, -14.06, 8.75, 25.37, 0.73, -0.05, -0.68, -0.00
36   , 9.46, -0.69, 0.68, -0.06, -0.00, -0.02, -14.06, 8.75, 25.37, 0.73, -0.05, -0.68, -0.00
37   , 9.46, -0.71, 0.69, -0.06, 0.00, -0.02, -14.06, 8.75, 25.37, 0.73, -0.05, -0.68, -0.01
38   , 9.47, -0.73, 0.68, -0.06, -0.00, -0.02, -14.06, 8.75, 25.37, 0.73, -0.05, -0.68, -0.01
39   , 9.44, -0.72, 0.67, -0.05, -0.00, -0.02, -14.06, 8.75, 25.37, 0.73, -0.05, -0.68, -0.01
40   , 9.44, -0.72, 0.69, -0.06, 0.00, -0.03, -13.75, 8.88, 24.56, 0.73, -0.05, -0.68, -0.01
41   , 9.48, -0.70, 0.65, -0.06, 0.00, -0.03, -13.75, 8.88, 24.56, 0.73, -0.05, -0.68, -0.01
42   , 9.50, -0.54, 0.61, -0.07, 0.01, -0.03, -13.75, 8.88, 24.56, 0.73, -0.05, -0.68, -0.01
43   , 9.50, -0.60, 0.68, -0.04, 0.02, -0.03, -14.06, 9.19, 25.75, 0.73, -0.05, -0.68, -0.01
44   , 9.50, -0.60, 0.68, -0.04, 0.02, -0.03, -14.06, 9.19, 25.75, 0.73, -0.05, -0.68, -0.01
45   , 9.49, -0.62, 0.71, -0.06, 0.03, -0.03, -14.06, 9.19, 25.75, 0.73, -0.05, -0.68, -0.01
46   , 9.49, -0.62, 0.71, -0.06, 0.03, -0.03, -14.06, 9.19, 25.75, 0.73, -0.05, -0.68, -0.01
