Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.39, -0.80, 0.26, 0.02, 0.05, 0.01, -46.25, 3.25, 17.37, 0.72, -0.06, -0.69, 0.01
1   , 9.42, -0.67, 0.12, 0.00, 0.04, 0.01, -46.25, 3.25, 17.37, 0.72, -0.06, -0.69, 0.01
2   , 9.44, -0.58, 0.14, -0.02, 0.03, 0.01, -46.25, 3.25, 17.37, 0.72, -0.06, -0.69, 0.01
3   , 9.51, -0.52, 0.16, -0.04, 0.03, 0.01, -46.25, 3.25, 17.37, 0.72, -0.06, -0.69, 0.01
4   , 9.51, -0.52, 0.16, -0.04, 0.04, 0.00, -27.75, 1.25, 9.75, 0.72, -0.06, -0.69, 0.01
5   , 9.47, -0.42, 0.00, -0.04, 0.04, -0.00, -27.75, 1.25, 9.75, 0.72, -0.06, -0.69, 0.01
6   , 9.39, -0.46, -0.06, -0.03, 0.04, -0.00, -27.75, 1.25, 9.75, 0.72, -0.06, -0.69, 0.01
7   , 9.39, -0.46, -0.06, -0.01, 0.03, -0.01, -27.75, 1.25, 9.75, 0.72, -0.07, -0.69, 0.01
8   , 9.50, -0.50, 0.05, -0.00, 0.02, -0.00, -27.75, 1.25, 9.75, 0.72, -0.06, -0.69, 0.01
9   , 9.50, -0.50, 0.05, -0.00, 0.02, -0.00, -27.75, 1.25, 9.75, 0.72, -0.06, -0.69, 0.01
10   , 9.52, -0.53, 0.21, 0.02, 0.02, -0.00, -27.69, 2.50, 10.69, 0.72, -0.06, -0.69, 0.01
11   , 9.52, -0.53, 0.21, 0.02, 0.00, -0.01, -27.69, 2.50, 10.69, 0.72, -0.06, -0.69, 0.01
12   , 9.34, -0.64, 0.42, 0.03, -0.00, -0.01, -27.69, 2.50, 10.69, 0.72, -0.06, -0.69, 0.01
13   , 9.33, -0.62, 0.44, 0.03, -0.01, -0.00, -27.69, 2.50, 10.69, 0.72, -0.06, -0.69, 0.01
14   , 9.33, -0.60, 0.50, 0.02, -0.00, 0.00, -28.50, 2.37, 13.00, 0.72, -0.06, -0.69, 0.01
