Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 8.75, -1.56, 3.62, 0.06, 0.05, 0.03, -41.37, 21.00, 14.25, 0.83, -0.10, -0.55, 0.00
1   , 8.70, -1.54, 3.53, 0.06, 0.05, 0.03, -41.37, 21.00, 14.25, 0.83, -0.10, -0.55, 0.00
2   , 8.70, -1.54, 3.55, 0.06, 0.06, 0.02, -41.37, 21.00, 14.25, 0.83, -0.10, -0.55, 0.00
3   , 8.71, -1.54, 3.55, 0.06, 0.07, 0.02, -41.37, 21.00, 14.25, 0.83, -0.10, -0.55, 0.00
4   , 8.78, -1.54, 3.62, 0.06, 0.05, 0.02, -40.56, 21.37, 14.25, 0.83, -0.10, -0.55, 0.00
5   , 8.77, -1.54, 3.67, 0.06, 0.04, 0.02, -40.56, 21.37, 14.25, 0.83, -0.10, -0.55, 0.00
6   , 8.75, -1.57, 3.68, 0.05, 0.03, 0.02, -40.56, 21.37, 14.25, 0.83, -0.10, -0.55, 0.00
7   , 8.75, -1.59, 3.67, 0.04, 0.03, 0.03, -40.56, 21.37, 14.25, 0.83, -0.10, -0.55, 0.00
8   , 8.74, -1.59, 3.63, 0.03, 0.03, 0.03, -40.56, 21.37, 14.25, 0.83, -0.10, -0.55, 0.00
9   , 8.74, -1.59, 3.63, 0.03, 0.03, 0.03, -41.69, 21.37, 14.69, 0.83, -0.09, -0.55, 0.00
10   , 8.77, -1.57, 3.60, 0.04, 0.03, 0.02, -41.69, 21.37, 14.69, 0.83, -0.09, -0.55, 0.00
11   , 8.77, -1.55, 3.62, 0.04, 0.04, 0.02, -41.69, 21.37, 14.69, 0.83, -0.09, -0.55, 0.00
12   , 8.72, -1.53, 3.63, 0.04, 0.04, 0.02, -41.69, 21.37, 14.69, 0.83, -0.09, -0.55, 0.00
13   , 8.71, -1.55, 3.66, 0.04, 0.05, 0.02, -41.69, 21.37, 14.69, 0.83, -0.09, -0.55, 0.00
14   , 8.69, -1.54, 3.69, 0.04, 0.06, 0.01, -24.69, 12.69, 8.56, 0.83, -0.09, -0.55, 0.00
15   , 8.68, -1.57, 3.70, 0.03, 0.06, 0.01, -24.69, 12.69, 8.56, 0.83, -0.09, -0.55, 0.00
16   , 8.68, -1.57, 3.70, 0.03, 0.06, 0.01, -24.69, 12.69, 8.56, 0.83, -0.09, -0.55, 0.00
17   , 8.67, -1.58, 3.73, 0.02, 0.06, 0.01, -24.69, 12.69, 8.56, 0.83, -0.09, -0.55, 0.00
18   , 8.72, -1.58, 3.74, 0.01, 0.06, 0.01, -24.69, 12.69, 8.56, 0.83, -0.09, -0.55, 0.00
19   , 8.76, -1.58, 3.73, 0.00, 0.05, 0.02, -25.06, 12.25, 8.56, 0.83, -0.09, -0.55, 0.00
20   , 8.76, -1.58, 3.77, -0.01, 0.06, 0.01, -25.06, 12.25, 8.56, 0.83, -0.09, -0.55, 0.00
21   , 8.75, -1.58, 3.73, -0.01, 0.05, 0.01, -25.06, 12.25, 8.56, 0.83, -0.09, -0.55, 0.00
22   , 8.66, -1.52, 3.71, -0.01, 0.04, 0.00, -25.06, 12.25, 8.56, 0.83, -0.09, -0.55, 0.00
23   , 8.66, -1.52, 3.71, -0.01, 0.04, -0.01, -25.06, 12.25, 8.56, 0.83, -0.09, -0.55, 0.00
24   , 8.62, -1.47, 3.70, -0.01, 0.03, -0.01, -24.19, 12.37, 7.37, 0.83, -0.09, -0.55, 0.00
25   , 8.62, -1.47, 3.70, -0.01, 0.03, -0.01, -24.19, 12.37, 7.37, 0.83, -0.09, -0.55, 0.00
26   , 8.66, -1.44, 3.82, -0.01, 0.03, -0.01, -24.19, 12.37, 7.37, 0.83, -0.09, -0.55, 0.00
27   , 8.67, -1.47, 3.81, -0.02, 0.03, -0.01, -24.19, 12.37, 7.37, 0.83, -0.09, -0.55, 0.00
28   , 8.68, -1.49, 3.79, -0.02, 0.03, -0.01, -24.19, 12.37, 7.37, 0.83, -0.09, -0.55, 0.00
29   , 8.68, -1.49, 3.79, -0.02, 0.03, -0.01, -25.06, 12.69, 7.37, 0.83, -0.09, -0.55, 0.00
30   , 8.69, -1.48, 3.70, -0.02, 0.03, -0.01, -25.06, 12.69, 7.37, 0.83, -0.09, -0.55, 0.00
31   , 8.73, -1.47, 3.66, -0.02, 0.02, -0.02, -25.06, 12.69, 7.37, 0.83, -0.09, -0.55, 0.00
32   , 8.71, -1.48, 3.73, -0.02, 0.03, -0.02, -25.06, 12.69, 7.37, 0.83, -0.09, -0.55, 0.00
33   , 8.74, -1.50, 3.77, -0.01, 0.04, -0.02, -25.06, 12.69, 7.37, 0.83, -0.09, -0.55, 0.00
34   , 8.74, -1.51, 3.76, -0.01, 0.05, -0.03, -24.00, 13.06, 7.50, 0.83, -0.09, -0.55, 0.00
35   , 8.74, -1.51, 3.76, -0.01, 0.05, -0.02, -24.00, 13.06, 7.50, 0.83, -0.09, -0.55, 0.00
36   , 8.73, -1.51, 3.75, -0.01, 0.04, -0.02, -24.00, 13.06, 7.50, 0.83, -0.09, -0.54, 0.00
37   , 8.68, -1.50, 3.76, -0.02, 0.03, -0.02, -24.00, 13.06, 7.50, 0.83, -0.09, -0.54, 0.00
38   , 8.68, -1.50, 3.76, -0.02, 0.02, -0.02, -24.00, 13.06, 7.50, 0.83, -0.09, -0.54, 0.00
39   , 8.67, -1.56, 3.79, -0.03, 0.02, -0.02, -25.06, 12.37, 8.25, 0.83, -0.09, -0.54, 0.00
