Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ
0   , 9.40, 1.29, -0.56, -0.06, -0.02, -0.02, -32.00, -27.25, -34.88, 0.69, 0.09, -0.72, 0.00
1   , 9.39, 1.22, -0.59, -0.04, -0.03, -0.02, -32.00, -27.25, -34.88, 0.69, 0.09, -0.72, 0.00
2   , 9.37, 1.22, -0.63, -0.02, -0.03, -0.02, -32.00, -27.25, -34.88, 0.69, 0.09, -0.72, 0.00
3   , 9.43, 1.25, -0.60, -0.01, -0.05, -0.02, -32.00, -27.25, -34.88, 0.69, 0.09, -0.72, 0.00
4   , 9.60, 1.26, -0.60, -0.01, -0.05, -0.03, -19.87, -16.00, -21.25, 0.69, 0.09, -0.72, 0.00
5   , 9.50, 1.18, -0.59, -0.02, -0.04, -0.03, -19.87, -16.00, -21.25, 0.69, 0.09, -0.72, 0.00
6   , 9.33, 1.10, -0.65, -0.04, -0.04, -0.04, -19.87, -16.00, -21.25, 0.69, 0.09, -0.72, 0.00
7   , 9.27, 1.16, -0.65, -0.06, -0.03, -0.04, -19.87, -16.00, -21.25, 0.69, 0.09, -0.72, 0.00
8   , 9.29, 1.27, -0.65, -0.07, -0.03, -0.03, -19.87, -16.00, -21.25, 0.69, 0.09, -0.72, 0.00
9   , 9.33, 1.40, -0.66, -0.05, -0.02, -0.03, -19.69, -16.00, -20.25, 0.69, 0.09, -0.72, 0.00
10   , 9.33, 1.40, -0.66, -0.02, -0.02, -0.03, -19.69, -16.00, -20.25, 0.69, 0.09, -0.72, -0.00
11   , 9.39, 1.56, -0.63, 0.00, -0.02, -0.03, -19.69, -16.00, -20.25, 0.69, 0.09, -0.72, -0.00
12   , 9.41, 1.52, -0.64, 0.03, -0.01, -0.02, -19.69, -16.00, -20.25, 0.69, 0.09, -0.72, -0.00
13   , 9.41, 1.52, -0.64, 0.05, -0.01, -0.01, -19.69, -16.00, -20.25, 0.68, 0.09, -0.72, -0.00
14   , 9.36, 1.29, -0.69, 0.05, -0.01, -0.01, -19.19, -16.19, -20.06, 0.68, 0.09, -0.72, 0.00
15   , 9.36, 1.29, -0.69, 0.05, -0.01, -0.01, -19.19, -16.19, -20.06, 0.68, 0.09, -0.72, 0.00
16   , 9.34, 1.22, -0.66, 0.03, -0.01, -0.02, -19.19, -16.19, -20.06, 0.68, 0.09, -0.72, 0.00
17   , 9.29, 1.31, -0.54, 0.02, -0.01, -0.02, -19.19, -16.19, -20.06, 0.68, 0.09, -0.72, 0.00
18   , 9.32, 1.32, -0.47, 0.02, -0.02, -0.02, -19.19, -16.19, -20.06, 0.68, 0.09, -0.72, 0.00
19   , 9.34, 1.31, -0.41, 0.03, -0.02, -0.02, -19.56, -15.56, -19.69, 0.68, 0.09, -0.72, 0.00
20   , 9.32, 1.26, -0.35, 0.04, -0.02, -0.02, -19.56, -15.56, -19.69, 0.68, 0.10, -0.72, 0.00
21   , 9.27, 1.14, -0.38, 0.03, -0.02, -0.02, -19.56, -15.56, -19.69, 0.68, 0.10, -0.72, 0.00
22   , 9.29, 1.11, -0.38, 0.02, -0.02, -0.02, -19.56, -15.56, -19.69, 0.68, 0.10, -0.72, 0.00
23   , 9.32, 1.11, -0.36, 0.01, -0.02, -0.02, -19.56, -15.56, -19.69, 0.68, 0.10, -0.72, 0.00
24   , 9.38, 1.19, -0.34, -0.00, -0.01, -0.03, -18.50, -16.19, -20.19, 0.68, 0.10, -0.72, 0.00
25   , 9.40, 1.24, -0.39, -0.01, -0.01, -0.03, -18.50, -16.19, -20.19, 0.68, 0.10, -0.72, 0.00
26   , 9.38, 1.30, -0.42, -0.01, -0.01, -0.03, -18.50, -16.19, -20.19, 0.68, 0.10, -0.72, -0.00
27   , 9.39, 1.35, -0.44, 0.01, -0.01, -0.04, -18.50, -16.19, -20.19, 0.68, 0.10, -0.72, -0.00
28   , 9.39, 1.36, -0.52, 0.03, 0.01, -0.04, -18.50, -16.19, -20.19, 0.68, 0.10, -0.72, -0.00
29   , 9.41, 1.35, -0.64, 0.04, 0.01, -0.03, -18.87, -15.56, -19.75, 0.68, 0.10, -0.72, -0.00
30   , 9.41, 1.35, -0.64, 0.04, 0.02, -0.03, -18.87, -15.56, -19.75, 0.68, 0.10, -0.72, -0.00
31   , 9.32, 1.31, -0.80, 0.02, 0.02, -0.03, -18.87, -15.56, -19.75, 0.68, 0.10, -0.72, -0.00
32   , 9.29, 1.34, -0.87, -0.01, 0.03, -0.03, -18.87, -15.56, -19.75, 0.68, 0.10, -0.72, -0.00
33   , 9.28, 1.37, -0.87, -0.04, 0.03, -0.02, -18.87, -15.56, -19.75, 0.69, 0.10, -0.72, -0.00
34   , 9.33, 1.51, -0.82, -0.05, 0.03, -0.02, -18.87, -15.25, -19.00, 0.69, 0.10, -0.72, -0.00
35   , 9.34, 1.52, -0.87, -0.05, 0.03, -0.02, -18.87, -15.25, -19.00, 0.69, 0.10, -0.72, -0.00
36   , 9.32, 1.53, -0.88, -0.04, 0.03, -0.02, -18.87, -15.25, -19.00, 0.69, 0.10, -0.72, -0.00
37   , 9.32, 1.53, -0.88, -0.02, 0.03, -0.02, -18.87, -15.25, -19.00, 0.69, 0.10, -0.72, -0.00
38   , 9.36, 1.50, -0.88, -0.01, 0.02, -0.02, -18.87, -15.25, -19.00, 0.69, 0.10, -0.72, -0.00
39   , 9.36, 1.50, -0.88, 0.01, 0.02, -0.03, -19.25, -16.00, -20.56, 0.68, 0.10, -0.72, -0.00
40   , 9.38, 1.33, -0.94, 0.03, 0.02, -0.02, -19.25, -16.00, -20.56, 0.68, 0.10, -0.72, -0.00
41   , 9.36, 1.32, -0.92, 0.03, 0.02, -0.03, -19.25, -16.00, -20.56, 0.68, 0.10, -0.72, -0.00
42   , 9.36, 1.33, -0.67, -0.03, 0.05, -0.03, -19.25, -16.00, -20.56, 0.69, 0.10, -0.72, -0.00
43   , 9.38, 1.31, -0.54, -0.06, 0.08, -0.03, -19.25, -16.25, -19.75, 0.69, 0.10, -0.72, -0.00
44   , 9.36, 1.31, -0.42, -0.09, 0.11, -0.02, -19.25, -16.25, -19.75, 0.69, 0.10, -0.72, -0.00
45   , 9.28, 1.39, -0.36, -0.12, 0.14, -0.01, -19.25, -16.25, -19.75, 0.69, 0.10, -0.72, -0.00
46   , 9.20, 1.46, -0.33, -0.13, 0.16, -0.01, -19.25, -16.25, -19.75, 0.69, 0.10, -0.72, -0.00
47   , 9.20, 1.50, -0.38, -0.13, 0.18, -0.00, -19.25, -16.25, -19.75, 0.69, 0.10, -0.72, -0.00
48   , 9.20, 1.50, -0.38, -0.12, 0.20, 0.01, -18.87, -15.69, -21.00, 0.69, 0.10, -0.72, -0.00
49   , 9.24, 1.58, -0.54, -0.10, 0.20, 0.03, -18.87, -15.69, -21.00, 0.69, 0.10, -0.72, -0.00
50   , 9.22, 1.56, -0.68, -0.08, 0.21, 0.03, -18.87, -15.69, -21.00, 0.69, 0.10, -0.72, -0.00
51   , 9.26, 1.55, -0.75, -0.06, 0.21, 0.03, -18.87, -15.69, -21.00, 0.69, 0.09, -0.72, -0.00
52   , 9.37, 1.59, -0.76, -0.04, 0.20, 0.05, -18.87, -15.69, -21.00, 0.69, 0.09, -0.72, -0.00
53   , 9.45, 1.58, -0.78, -0.03, 0.21, 0.06, -19.69, -16.00, -20.56, 0.69, 0.09, -0.72, -0.00
