Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatW,QuatX,QuatY,QuatZ
1,00:00:05.684,IMU7,1.82,3.53,-9.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,00:00:05.684,IMU5,6.81,-0.44,7.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,00:00:05.684,IMU1,9.34,1.36,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,00:00:05.688,IMU7,1.74,3.49,-9.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,00:00:05.688,IMU5,6.85,-0.44,7.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,00:00:05.688,IMU1,9.3,1.36,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,00:00:05.693,IMU7,1.78,3.49,-9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,00:00:05.693,IMU5,6.85,-0.48,7.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,00:00:05.693,IMU1,9.26,1.32,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,00:00:05.912,IMU7,1.78,3.53,-9.2,0.03,0.0,0.0,21.62,4.0,30.38,0.47,0.86,0.2,0.01
53,00:00:05.912,IMU5,6.81,-0.44,7.03,0.0,0.0,0.0,5.81,-11.75,-34.81,0.31,-0.22,0.79,0.48
53,00:00:05.912,IMU1,9.34,1.28,3.08,-0.01,0.0,0.0,-19.06,13.69,-27.38,0.28,-0.52,0.28,0.76
54,00:00:05.918,IMU7,1.78,3.53,-9.2,0.03,0.0,0.0,21.62,4.0,30.38,0.47,0.86,0.2,0.01
54,00:00:05.918,IMU5,6.81,-0.44,7.03,0.0,0.0,0.0,5.81,-11.75,-34.81,0.31,-0.22,0.79,0.48
54,00:00:05.918,IMU1,9.34,1.28,3.08,0.0,-0.0,0.0,-19.06,13.69,-27.38,0.28,-0.52,0.28,0.76
55,00:00:05.921,IMU7,1.78,3.53,-9.2,0.01,0.0,0.0,21.62,4.0,30.38,0.47,0.86,0.2,0.01
55,00:00:05.921,IMU5,6.81,-0.44,7.03,0.0,0.0,0.0,5.81,-11.75,-34.81,0.31,-0.22,0.79,0.48
55,00:00:05.921,IMU1,9.34,1.28,3.08,0.0,-0.0,0.0,-19.06,13.69,-27.38,0.28,-0.52,0.28,0.76
56,00:00:05.927,IMU7,1.78,3.53,-9.2,0.01,0.0,0.0,21.62,4.0,30.38,0.47,0.86,0.2,0.01
56,00:00:05.927,IMU5,6.81,-0.44,7.03,0.0,0.0,0.0,6.56,-13.44,-33.88,0.31,-0.22,0.79,0.48
56,00:00:05.927,IMU1,9.3,1.32,3.12,0.0,-0.0,0.0,-19.06,13.69,-27.38,0.28,-0.52,0.28,0.76
