Timestamp, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, QuatW, QuatX, QuatY, QuatZ,Time_s,GlobalAx,GlobalAy,GlobalAz,Stationary,VelX,VelY,VelZ
0,9.6,-1.12,-0.43,-0.04,0.09,-0.0,-21.06,23.25,35.06,0.7,-0.08,-0.71,-0.01,0.0,0.20893999999999954,-0.20421800000000007,-0.1339320000000015,True,0.0,0.0,0.0
1,9.52,-1.16,-0.44,-0.05,0.1,-0.0,-21.06,23.25,35.06,0.7,-0.08,-0.71,-0.01,0.001,0.21438399999999957,-0.25295199999999984,-0.20946400000000054,True,0.0,0.0,0.0
2,9.44,-1.18,-0.45,-0.05,0.11,-0.0,-21.06,23.25,35.06,0.7,-0.09,-0.71,-0.01,0.002,0.2215819999999994,-0.1521800000000001,-0.26777900000000265,True,0.0,0.0,0.0
3,9.51,-1.19,-0.35,-0.06,0.12,-0.01,-21.06,23.25,35.06,0.7,-0.09,-0.71,-0.01,0.003,0.12051699999999935,-0.14005299999999982,-0.19916500000000248,True,0.0,0.0,0.0
4,9.61,-1.17,-0.27,-0.05,0.13,-0.01,-21.06,23.25,35.06,0.7,-0.09,-0.71,-0.01,0.004,0.043366999999999406,-0.09773899999999996,-0.10358900000000126,True,0.0,0.0,0.0
5,9.61,-1.15,-0.18,-0.06,0.14,-0.01,-13.69,15.0,19.06,0.7,-0.09,-0.71,-0.01,0.005,-0.04309500000000058,-0.06540299999999984,-0.10781400000000119,True,0.0,0.0,0.0
6,9.46,-1.13,-0.21,-0.07,0.15,-0.01,-13.69,15.0,19.06,0.7,-0.09,-0.71,-0.01,0.006,-0.009578000000000586,-0.06696099999999985,-0.258757000000001,True,0.0,0.0,0.0
7,9.47,-1.11,-0.19,-0.07,0.16,-0.02,-13.69,15.0,19.06,0.7,-0.09,-0.71,-0.01,0.007,-0.026647000000000587,-0.04330099999999987,-0.2514770000000013,True,0.0,0.0,0.0
8,9.55,-1.03,-0.22,-0.06,0.16,-0.02,-13.69,15.0,19.06,0.7,-0.09,-0.71,-0.01,0.008,0.013974999999999405,0.040469000000000185,-0.18009400000000042,True,0.0,0.0,0.0
9,9.58,-1.04,-0.27,-0.06,0.17,-0.02,-13.69,15.0,19.06,0.7,-0.09,-0.71,-0.01,0.009,0.06198399999999937,0.027013999999999927,-0.14799700000000016,True,0.0,0.0,0.0
