Count,Timestamp,IMU,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,QuatW,QuatX,QuatY,QuatZ
5540,00:00:35.067,IMU1,0.38,-0.03,9.79,0.0,0.0,0.0,33.38,-16.94,-41.5,0.02,-0.01,0.79,0.61
5540,00:00:35.067,IMU2,0.24,0.11,9.79,0.0,0.0,0.0,27.69,-30.5,-47.56,0.01,0.0,0.78,0.63
5540,00:00:35.067,IMU3,0.28,0.12,9.73,0.0,0.0,0.0,17.81,-19.19,-37.38,0.01,-0.01,0.79,0.61
5540,00:00:35.067,IMU4,0.31,0.1,9.84,0.0,0.0,0.0,7.12,-3.69,-21.69,0.02,-0.01,0.81,0.58
6391,00:00:35.070,IMU5,0.03,0.29,9.79,0.0,0.0,-0.0,30.94,-15.06,-20.0,0.01,0.01,0.73,0.68
6391,00:00:35.070,IMU6,0.22,0.09,9.82,0.0,0.0,0.0,26.19,-12.75,-15.19,0.01,-0.01,0.77,0.63
6391,00:00:35.070,IMU7,0.5,0.11,9.75,0.0,0.0,0.0,19.19,-12.75,-18.31,0.03,-0.01,0.7,0.72
5541,00:00:35.071,IMU1,0.38,-0.03,9.79,0.0,0.0,0.0,33.38,-16.94,-41.5,0.02,-0.01,0.79,0.61
5541,00:00:35.071,IMU2,0.24,0.11,9.79,0.0,0.0,0.0,27.69,-30.5,-47.56,0.01,0.0,0.78,0.63
5541,00:00:35.071,IMU3,0.2,0.16,9.73,0.0,0.0,0.0,17.81,-19.19,-37.38,0.01,-0.01,0.79,0.61
5541,00:00:35.071,IMU4,0.31,0.1,9.84,0.0,0.0,0.0,7.12,-3.69,-21.69,0.02,-0.01,0.81,0.58
6392,00:00:35.074,IMU5,0.03,0.29,9.79,0.0,0.0,-0.0,30.94,-15.06,-20.0,0.01,0.01,0.73,0.68
6392,00:00:35.074,IMU6,0.22,0.09,9.82,0.0,0.0,0.0,26.19,-12.75,-15.19,0.01,-0.01,0.77,0.63
6392,00:00:35.074,IMU7,0.54,0.19,9.79,0.0,0.0,0.0,19.19,-12.75,-18.31,0.03,-0.01,0.7,0.72
5542,00:00:35.075,IMU1,0.38,-0.03,9.79,0.0,0.0,0.0,33.38,-16.94,-41.5,0.02,-0.01,0.79,0.61
5542,00:00:35.075,IMU2,0.24,0.11,9.79,0.0,0.0,0.0,27.69,-30.5,-47.56,0.01,0.0,0.78,0.63
5542,00:00:35.075,IMU3,0.2,0.16,9.73,0.0,0.0,0.0,17.81,-19.19,-37.38,0.01,-0.01,0.79,0.61
5542,00:00:35.075,IMU4,0.31,0.1,9.84,0.0,0.0,0.0,5.94,-5.75,-20.88,0.02,-0.01,0.81,0.58
6393,00:00:35.078,IMU5,0.03,0.29,9.79,0.0,-0.0,0.0,30.94,-15.06,-20.0,0.01,0.01,0.73,0.68
6393,00:00:35.078,IMU6,0.22,0.09,9.82,0.0,0.0,0.0,26.19,-12.75,-15.19,0.01,-0.01,0.77,0.63
6393,00:00:35.078,IMU7,0.54,0.19,9.79,0.0,0.0,0.0,18.81,-11.38,-19.06,0.03,-0.01,0.7,0.72
5543,00:00:35.081,IMU1,0.38,-0.03,9.79,0.0,0.0,0.0,33.38,-16.94,-41.5,0.02,-0.01,0.79,0.61
5543,00:00:35.081,IMU2,0.24,0.11,9.79,0.0,0.0,0.0,27.69,-30.5,-47.56,0.01,0.0,0.78,0.63
